გამოსხივება	გამო სხივ ებ ა
დაადეს	და ა დეს
ოსტატად	ოსტატ ად
ინდუიზმის	ინდუ ი ზმის
გენ	გენ
ტრაპიზონში	ტრაპი ზონ ში
აადვილებდა	აადვილ ებდა
თანხები	თანხ ები
საგრაფოები	სა გრაფ ოებ ი
სათვისტომოს	სა თვის ტომ ოს
დროშაზე	დროშ აზე
კოორდინატების	კოორდინ ა ტ ების
დააფუძნეს	და ა ფუძნ ეს
ნბა	ნბ ა
პროცესორი	პროცე ს ორი
რელიგიასა	რელიგი ა სა
საიმისოდ	სა ი მი ს ოდ
ფრაქციების	ფრაქც ი ები ს
ქომაგი	ქო მაგი
დოგმების	დოგმ ების
ტექნიკური	ტექნიკ ური
დასავლეთიდან	და სა ვლეთ იდან
გადაწყდა	გადა წყ და
განიერია	გან იერი ა
ჩინეთის	ჩინ ეთის
მხარგრძელებთა	მხარ გრძელ ებ თა
შეებრძოლება	შეე ბრძოლ ება
ცამეტი	ცამეტ ი
ღვინისა	ღვინ ისა
ორგანიზმიდან	ორგანიზ მ იდან
კლანური	კლან ური
მოსულა	მო სულა
დიდებული	დიდებულ ი
ტრიბუნალი	ტრიბუ ნა ლი
ძვალს	ძვალ ს
დაძლეული	და ძლ ეული
შეთქმულებმა	შე თქმულებ მა
აცილებული	ა ცილებ ული
ანრიმ	ანრი მ
ბატისტას	ბატისტ ას
ჯული	ჯ ული
დაისი	და ის ი
ისჯებოდა	ის ჯ ებოდა
ტერმინების	ტერმინ ების
გაიფანტნენ	გა ი ფანტ ნენ
აპიანე	ა პიან ე
ნიშნავს	ნიშნავ ს
ჩართულობას	ჩართ ულ ობას
აღმნიშვნელ	აღმ ნიშვნ ელ
მიმდევარია	მიმდევ არია
ფანჩატურია	ფან ჩა ტური ა
გამარჯვებები	გა მარჯვ ებ ები
წინაღობა	წინა ღობ ა
ჯვართან	ჯვარ თან
აღმზრდელი	აღმზრდე ლი
იმჟამინდელ	იმჟა მინდ ელ
ბებიას	ბები ას
დალევა	და ლევ ა
მეჯიკის	მეჯიკ ის
საეპარქიო	სა ეპარქ ი ო
ჩაიწერეს	ჩაიწერ ეს
ტექნოლოგია	ტექნ ოლოგი ა
პარკებით	პარკ ებით
მშენებლობას	მ შენებლობ ას
დახევის	და ხევ ის
ირანისა	ირან ის ა
ამენემჰეტ	ა მენე მჰეტ
არენის	არე ნის
გაიქცეს	გა ი ქცეს
განთავისუფლებას	გან თავისუფ ლ ებას
აურზაური	აუ რზა ური
რუანდა	რუანდ ა
ქედების	ქედ ების
რომანიზაცია	რომან იზაცია
ჭურვები	ჭურვ ები
ტიპისაა	ტიპი სა ა
სათესლე	სა თესლ ე
ბაყაყი	ბაყაყი
სიმღერებიდან	სი მღერ ებ იდან
ქაოსი	ქაოს ი
ვითხოვ	ვი თხოვ
ინტერი	ინტერ ი
ეკრძალება	ე კრძალ ება
მეტროს	მეტ როს
ტერასებზე	ტერას ებზე
ძალებისგან	ძალ ების გან
ფაშის	ფაშ ის
მედგარ	მე დგარ
სამხრეთითა	ს ამხრეთ ი თა
კუბი	კუბ ი
ჰარისონს	ჰარ ის ონს
დორის	დორის
სანახაობა	სა ნახა ობა
სიმპტომებს	ს იმპტომ ებს
ვილნიუსიდან	ვილნიუს იდან
ვაშნარის	ვაშ ნარი ს
იერიქონის	იერი ქონ ის
პირდებოდა	პირ დებო და
პარკით	პარკ ით
დროშა	დროშ ა
გაშიშვლებული	გა შიშვლ ებულ ი
უვითარდება	უ ვითარ დება
ბერნაბეუს	ბერ ნაბეუ ს
ასხივებს	ა სხივ ებს
ძმებთან	ძმ ებთან
არს	არს
ოპტიკა	ოპტ იკა
შემოერთებული	შემო ერთ ებულ ი
ხალიფა	ხალიფ ა
მექსიკასა	მექს ი კა სა
პრეტორის	პრეტორ ის
ერთგული	ერთგულ ი
ძველბერძნულ	ძველ ბერძნულ
გასამყარებლად	გასა მყარ ებლად
გერი	გერი
პროდუქციას	პროდუქ ცია ს
ბმას	ბმა ს
საერობო	ს აერო ბო
სოფლებია	სოფლ ები ა
მანქანათმშენებლობის	მანქან ა თმ შენებლობ ის
გონკურის	გონ კ ურის
ტოქსიკური	ტოქ ს იკური
ამბოხების	ამბოხებ ის
პიასტების	პიასტ ების
პერიოდი	პერიოდ ი
ჟურნალისტური	ჟურნალ ის ტური
ფერისაა	ფერი სა ა
წვისას	წვის ას
ხასიათი	ხასიათ ი
მკერდში	მკერდ ში
წევრობაზე	წევრ ობაზე
რეკორდია	რეკორდ ი ა
კოლონიებად	კოლონი ებად
მოლიბდენის	მოლიბ დე ნის
შეწყვიტა	შე წყვიტ ა
სტუდენტური	სტუდენტ ურ ი
ხერხემლის	ხერხ ემ ლის
ეპარქიაში	ეპარქ იაში
საზოგადოებებს	სა ზოგად ოებ ებს
წლებამდე	წლებ ამდე
თურქმა	თურქ მა
თანამდროვე	თანამ დრო ვე
გათიშვა	გა თ ი შვა
აღმასვლა	აღმა სვლა
ეკვატორული	ეკვატორ ული
ყველზე	ყველ ზე
ჩამორჩება	ჩამო რჩება
მოხმარდა	მო ხმარ და
მოიხსენება	მო ი ხსენ ება
ათქმევინა	ა თქმ ე ვინა
ასაკოვანი	ასაკ ოვანი
ნიდერლანდურ	ნიდ ერლანდ უ რ
საბორნე	სა ბორნ ე
კეთილშობილთა	კეთილ შობილ თა
თეატრის	თეატრ ის
სუსის	ს უსის
ემილი	ემილი
განაცხადეს	განა ცხად ეს
აბჯრის	ა ბ ჯრ ის
არსებობისას	არსებ ობის ას
ესაზღვრება	ე სა ზღვრ ება
მხარესაა	მხარე სა ა
ირონიული	ირონი ული
ჰორელიეფური	ჰო რელიეფ ური
ევაგრე	ევ აგრე
ჰულაგუიანთა	ჰულაგუ იანთა
დაგეგმარება	და გეგმარ ება
გრანიტებით	გრანიტ ებით
დაიმორჩილა	და იმ ორჩილ ა
სადგურია	სა დგურ ია
მედინა	მედი ნა
ათვისება	ა თვის ება
ლავგარდნის	ლავგარდნ ის
დაიხარჯა	და ი ხარჯ ა
მოკავშირეებს	მოკავშირ ეებს
სააღრიცხვო	სა აღრიცხ ვო
დაყო	და ყო
ერთგულებაზე	ერთგულ ებაზე
საკუთრებად	ს აკუთრებ ად
სართულით	სა რთულ ით
კეტრინ	კეტ რინ
ფუძე	ფუძე
შესახვედრად	შე სა ხვედრ ად
განმეორდა	გან მეორ და
იკისრეს	იკის რეს
მირვან	მი რვან
გადაცემათა	გადა ცემა თა
ყაზახეთს	ყაზახ ეთს
ჩერჩილის	ჩერ ჩილ ის
საჰელანთროპუს	სა ჰელ ანთროპ უს
ამცირებდა	ამცირ ებდა
ბიომასა	ბიომ ა სა
ეკვრის	ეკვ რ ის
ნიანგების	ნიანგ ების
სარეველების	სა რეველ ების
ვამპირები	ვამპირ ები
ძაღლთან	ძაღლ თან
პარკეტს	პარკ ეტს
კათალიკოსი	კათა ლიკოს ი
უსახელო	უ სახელ ო
ბაიტი	ბაიტი
კოლექტივის	კოლე ქტივ ის
შედეგებისა	შედეგ ების ა
ვარაო	ვარ აო
ევრაზიის	ევრაზი ის
გამოიწვია	გამო იწვია
გამონაკლისებიც	გამო ნაკლის ებიც
ნიადაგები	ნიადაგ ები
ასათიანი	ა სა თ იან ი
სილუეტს	სილუე ტს
ტალღები	ტალღ ები
გადიოდნენ	გა დიო დნენ
ტბაზე	ტბ აზე
რევოლუციონერის	რევო ლუციონერ ის
სავალდებულო	სა ვალდებ ულ ო
ტერმინად	ტერმინ ად
ძეგლს	ძეგლ ს
დუნაიზე	დუნაი ზე
ლურჯია	ლურჯ ია
რენო	რენო
საგანგებო	სა გან გ ებო
ასაკობრივი	ასაკ ობრივ ი
ჯარისა	ჯარის ა
ირემი	ი რემ ი
მოპოვებისას	მო პოვებ ისას
რავენაში	რ ავენ აში
აწამეს	ა წამ ეს
შედარებები	შე დარებ ები
დაავადებები	და ავადებ ები
კურნავდა	კურნ ავდა
სახლის	სახლ ის
ვარსკვლავმა	ვარსკვლავ მა
იძენს	ი ძენ ს
კამერულ	კამერ ულ
სეზონიდან	სეზონ იდან
ვაჟებმა	ვაჟ ებმა
მშენებლობები	მ შენებლობ ები
გამოუცდელობის	გამოუ ცდელობ ის
არცთუ	არც თუ
ადგილში	ადგილ ში
იაკუბ	ია კუბ
ინდუსტრიაში	ინდუსტ რი აში
მცენარეებია	მცენარ ე ები ა
დაპირისპირება	დაპირ ისპირ ება
ცალმხრივად	ცალ მხრივ ად
დავას	და ვას
რუსთავში	რუს თავ ში
დაეკისრათ	და ეკისრ ათ
ამოწყდა	ამო წყ და
ფოთლებზე	ფოთლ ებზე
რეიუნიონის	რეი უნი ონის
სექციებში	ს ექცი ებში
ტატრების	ტატრ ები ს
შეკავშირება	შე კავშირ ება
ეფექტიანი	ეფექტ იანი
წლამდელთა	წლ ამდე ლთა
ნაპირის	ნაპირ ის
გრამატიკა	გრამ ა ტიკა
დიაკონი	დია კონ ი
ახალციხის	ახალ ციხ ის
ლაშქრობას	ლაშქრ ობას
მანდატის	მანდატ ის
ნაგაზი	ნაგაზ ი
ვიცოდით	ვიც ოდ ით
გრამფირფიტის	გრ ამფირფიტ ის
იუსტიციაში	იუსტი ცი აში
შიმშილით	შიმშ ილ ით
ფაქტორად	ფაქტორ ად
გაგონილი	გა გონილ ი
მარადის	მა რად ის
ძაღლის	ძაღლ ის
ფრესკებზე	ფრესკ ებზე
იდეალები	იდეალ ები
ბულგარელთა	ბულგარელ თა
მეიმ	მე იმ
აფხაზურ	აფხაზ ურ
იერარქია	იერ არქი ა
ორკესტრს	ორ კესტრ ს
სამაშველო	სა მა შველ ო
მცხოვრებ	მ ცხოვრებ
მიემგზავრებოდა	მი ე მგზავრ ებოდა
ჰოკეიში	ჰოკეი ში
ჰასან	ჰასან
შესრულებამ	შე სრულ ებამ
მაგრამ	მა გრამ
ამაყობდა	ამაყ ობდა
გვატემალის	გვატე მა ლის
აღზარდეს	აღ ზარდ ეს
მომუშავე	მო მუშავ ე
დიეგოს	დიეგო ს
გოეთე	გოეთე
შვედი	შვედ ი
უსინათლო	უსი ნათლ ო
შედარებით	შე და რებით
ლაქებს	ლაქ ებს
ჭარხალი	ჭ არხ ალი
კავშირების	კავშირ ების
ოჯახისაგან	ოჯახ ის აგან
დაიჭრა	და იჭრ ა
დღეები	დღე ები
ესპანეთისა	ესპან ეთი სა
ვალევსკი	ვალე ვსკი
რიგებს	რიგ ებს
ყოველკვირეულად	ყოველკვირე ულად
ინტერესებიდან	ინტერეს ები დან
ლამაზად	ლამაზ ად
გაურკვევლობის	გაუ რკვევ ლობის
გაზრდილმა	გა ზრდილ მა
თხევად	თხევ ად
სანგრებს	ს ანგრ ებს
მეუღლედ	მეუღლ ედ
სარკმლებს	სა რკმლ ებს
მყიდველი	მ ყიდვ ელი
სუვერენული	სუვერენ ული
ძელზე	ძ ელ ზე
მელოტი	მელოტი
ხელებით	ხელ ებით
გადასაყვანად	გადა სა ყვან ად
ატლანტისა	ატლანტ ისა
ნუმა	ნუ მა
გამოცხადდება	გამო ცხად დება
ჩაძირეს	ჩაძირ ეს
სამწევროვანი	სამ წევრ ოვანი
უფასო	უფასო
ქვრივი	ქვრივ ი
ჯაჭვური	ჯაჭვ ური
გამოსაყენებელი	გამო სა ყენებ ელი
კოლექციების	კო ლექცი ების
კლასებში	კლას ებში
მოვალეობა	მო ვალე ობა
სამართლიანად	სა მართლ იან ად
ექიმების	ექიმ ების
არჩევნებიდან	ა რჩევნ ებ იდან
მძევლების	მძევლ ების
შეძლებისდაგვარად	შეძლ ების და გვარ ად
წარმოშობისა	წარმოშობ ისა
ხსოვნა	ხსოვ ნა
ოკამლის	ოკა მ ლის
ქვემოდან	ქვე მო დან
კუნძულოვანი	კუნძულ ოვანი
აჯანყებული	აჯანყ ებულ ი
მასალებს	მასალ ებს
ესპანურენოვანი	ესპან ურ ენოვანი
არმიაზე	არმი აზე
სპეციალიზირებული	სპეცია ლიზ ირებულ ი
გამოიყენონ	გამო იყენ ონ
არიას	არი ას
მტაცებლებისგან	მ ტაცებლ ების გან
წარწერა	წარწერ ა
წვიმებით	წვიმ ებით
ამისგან	ა მ ისგან
კერძო	კერძ ო
ლოჟები	ლოჟ ები
ალგებრის	ალგებრ ის
ბრძნული	ბრძნ ული
გაგრძელებაზე	გა გრძელ ებაზე
ხანაშიც	ხან ა შიც
კალამს	კალა მს
გაძლიერდნენ	გა ძლიერ დნენ
სამეფო	სა მეფო
დროებითმა	დრო ებით მა
იოზეფ	იოზეფ
უკანასკნელნი	უ კანასკნე ლნი
ფსიქოლოგიურად	ფსიქ ოლოგიურ ად
საფეხურების	სა ფეხურ ების
დღეღამეში	დღე ღამ ეში
აფხაზები	აფხაზ ები
აიეტს	აიეტ ს
შალვას	შალვა ს
რეაგირების	რეაგირ ების
შურისძიებას	შურ ის ძიებ ას
მოღვაწეობდნენ	მო ღვაწეობ დნენ
პიემონტის	პიე მონ ტის
პორნოგრაფიის	პორ ნოგრაფი ის
იქვეა	ი ქვე ა
ზამბიის	ზამბ ი ი ს
არიული	არი ული
დაემართა	და ემართა
აბდალა	ა ბდალა
ზიანდება	ზიან დება
კრამიტით	კრამიტ ით
მოიპოვებენ	მო იპოვ ებენ
დარჩენია	და რჩენ ია
სამკვეთლოსა	სამ კვეთ ლოს ა
რეისებს	რე ის ებს
ლენქორანის	ლენ ქორ ა ნის
საგნის	საგნ ის
არასწორი	არა სწორ ი
შიგა	ში გა
კუნძულელთა	კუნძულ ელთა
გააქტიურდა	გაა ქტიურ და
თქმაც	თქმ აც
ჟურნალისტების	ჟურნალ ისტ ების
კოლეგები	კოლეგ ები
სწავლება	სწავლ ება
ტომისგან	ტომ ისგან
გამოიყურება	გამო ი ყურებ ა
ქვითაა	ქვ ითაა
ავგუსტა	ავგუსტ ა
ატყობინებს	ა ტყობ ინ ებს
პრეცედენტი	პრეცედ ენტი
სიმძლავრე	სი მძლავრ ე
კომუნიკაცია	კომუნ იკაცი ა
დაჯგუფებები	და ჯგუფებ ები
კონსერვატიული	კონსერვატ იული
განთავისუფლებისათვის	გან თავისუფ ლების ა თვის
ეზიარა	ე ზიარ ა
თავიც	თავ ი ც
ათენელებს	ათენელ ებს
საკითხებში	სა კითხ ებში
სხვადასხვაგვარად	სხვადასხ ვაგვარ ად
ძაფებს	ძაფ ებს
წარმოჩენას	წარმო ჩენ ას
ადაპტირება	ად ა პტირებ ა
აქტიურ	ა ქტიურ
ჯირკვლის	ჯირკვ ლის
დაარწმუნეს	და ა რწმუნ ეს
თანამშრომლის	თანამშ რომლ ის
მატჩისთვის	მატჩ ის თვის
მომხდარმა	მო მხდარ მა
საბაბით	საბაბ ით
რეზიდენციაში	რე ზიდენც იაში
სამეფოსა	სა მეფო სა
პოლიტიკით	პოლიტიკ ით
საბერძნეთზე	სა ბერძნეთ ზე
უფლებამოსილების	უფლებ ამოსილ ების
წამალს	წამ ალს
ფაშისტთა	ფაშისტ თა
თეორიის	თეორი ის
ძრავებში	ძრავ ებში
უძრავ	უძრავ
ჯოშუა	ჯო შუა
მარქსი	მარქს ი
გაორება	გა ორ ება
კრაზანა	კრა ზან ა
ინსტრუმენტულ	ინსტრ უმენტ ულ
ლამბიკი	ლამბიკი
იწერებოდა	იწერ ებოდა
სუდარა	სუდ არა
უთავსებდა	უ თავსებ და
დიოკლეტიანე	დიო კლეტიანე
დასჯის	დასჯ ის
მეომრებთან	მეომრ ებთან
ბატონობდნენ	ბატონ ობდნენ
ამაზრზენი	ა მაზრ ზე ნი
დამსწრე	დამ ს წრე
ნორმალური	ნორმ ალური
შესასვლელ	შესა სვლელ
დენვერში	დენვერ ში
ფიქლებითა	ფიქლ ები თა
ცარცულ	ცარც ულ
თეორემები	თეორე მ ები
მეორდება	მეორ დება
რეფორმით	რეფორმ ით
დაკავშირებულნი	და კავშირ ებულ ნი
უმცროსის	უმცროს ის
გოჩა	გო ჩა
ვიღებთ	ვი ღებთ
დაკავშირება	და კავშირ ება
პოულობს	პოულობ ს
აზერბაიჯანში	აზე რბაიჯან ში
სიმშრალის	ს ი მშრალ ის
პეტერბურგში	პეტერ ბურგ ში
ზოლების	ზოლ ების
ლიბერალ	ლიბერ ალ
ვთქვით	ვთქვ ით
სვეტს	სვეტ ს
შენარჩუნებით	შე ნარჩუნ ებით
შემთხვევები	შე მთხვევ ები
შესწევდა	შე ს წევ და
ეჯიბრებიან	ე ჯიბრ ებიან
პოეტს	პოეტ ს
ცოტას	ცოტა ს
მარტვილის	მარტ ვილი ს
ჩაითვლებოდა	ჩა ი თვლ ებოდა
იატაკის	იატაკ ის
ქებით	ქ ებით
ფარაონთა	ფარაონ თა
სამოსში	სა მო ს ში
შეჯიბრის	შე ჯიბრ ის
ვლასა	ვლა სა
რიცხვი	რიცხვ ი
შეხედულებანი	შეხედუ ლება ნი
წარმოშობს	წარმოშობ ს
აგრიპა	აგრიპა
კრიპტოანალიზი	კრიპტო ა ნალიზ ი
მკვიდრმა	მკვიდრ მა
ბეჭედი	ბეჭედ ი
ლექსებისა	ლექს ები სა
ჯეიმს	ჯეიმს
კეინის	კე ინის
შეხვედრამ	შე ხვედრ ამ
ნომერში	ნომერ ში
დავალებები	და ვალე ბები
მიეწერება	მიე წერ ება
ენაცვლებოდა	ენაცვლ ებოდა
ჰუმანიტარულ	ჰუმან ი ტარულ
შეხვედროდნენ	შე ხვედრ ოდნენ
სამეურვეო	სა მეურვე ო
კონტროლირებადი	კონტრო ლირ ებად ი
ჰომოსექსუალობის	ჰომოსექსუ ალ ობის
თვალნათლივ	თვალ ნათ ლივ
ჰუნ	ჰუნ
მეტრამდე	მეტრ ამდე
დაადგნენ	დაა დგნენ
ვერსიებიც	ვერსი ებიც
განმარტებითი	გან მარტ ებით ი
დისციპლინაა	დისციპლ ი ნა ა
ჩარლტონ	ჩარლ ტონ
მეზღვაურები	მე ზღვაურებ ი
ძუძუს	ძუ ძუს
მეის	მე ის
უზბეკეთში	უზბეკ ეთში
მისახვედრია	მ ისა ხვედრ ია
გვირაბები	გვირაბ ები
ეთერს	ეთერ ს
ხაზებად	ხაზ ებად
შეასწავლა	შე ა სწავლ ა
თავმჯდომარეა	თ ავმჯდომა რე ა
რედაქტორად	რედაქ ტორ ად
ფილოსოფოსების	ფილოსოფ ოს ების
ერდოღანის	ერდო ღა ნის
გარსით	გარს ით
პარკში	პარკ ში
ქუჩაზე	ქუჩ აზე
მკრთალ	მკრთალ
საფეხუროვანი	სა ფეხურ ოვანი
ვოლდემორი	ვოლდემ ორი
ჩერდება	ჩერ დება
ტარება	ტარ ება
ჩრდილოეთისაკენ	ჩრდილოე თ ის აკენ
დადგინდა	და დგინ და
მასწავლებელი	მა სწავლ ებელი
ჩარკვიანის	ჩა რკვი ა ნის
შესასვლელია	შესა სვლელ ია
ვერნერ	ვერნერ
სუფევს	სუფევ ს
დასახასიათებლად	დასა ხასიათ ებლად
მოძრაობისათვის	მო ძრაობ ის ა თვის
გააქტიურდნენ	გაა ქტიურ დნენ
გეოპოლიტიკის	გეო პოლიტიკ ის
ელემენტები	ელემენტ ები
ნახევარმთვარე	ნა ხევარ მთვარ ე
ჯგუფურ	ჯგუფ ურ
სწორკუთხა	სწორ კუთხ ა
კაენი	კა ენი
სამთო	სამთო
არსებობდეს	არსებ ობ დეს
კომპლექტი	კომპლექ ტი
ახლანდელი	ახლა ნდელი
ანსამბლში	ანსამბ ლში
სამეგრელოსა	სა მეგრელო სა
დიდად	დიდ ად
გაასწორა	გა ა სწორ ა
გერბები	გერბ ები
უხუცესთა	უხუც ეს თა
ქართველს	ქართვე ლს
მართებს	მართ ებს
გაგიჭირდება	გა გი ჭირ დება
გამოიწვიონ	გამო იწვი ონ
შედგებიან	შედგ ებიან
გამოსახული	გამო სახულ ი
ზრდით	ზრდ ით
წინადადებაზე	წინა და დება ზე
გამძაფრდა	გა მძაფრ და
მიმდინარეობს	მიმ დინარეობ ს
ბმის	ბ მის
სიხარულის	სი ხარ ული ს
მეფობდა	მეფობ და
დაეცვა	და ეცვა
ბრაუნის	ბრაუნ ის
ლოგოტიპი	ლოგო ტიპი
მაყაშვილი	მა ყ ა შვილი
ნასახლარები	ნა სახლ არ ები
სოფლებსა	სოფლ ებს ა
არქიტექტურასა	ა რქიტექტურ ა სა
მოხსენიებულია	მოხსენ ი ებულ ია
სასწაულების	სა სწაულ ების
სანაპიროებს	ს ანაპირო ებს
საბაჟო	საბაჟო
ციკლური	ციკლ ური
კატასტროფები	კ ა ტასტროფ ები
ლოგიკურ	ლოგიკ ურ
საფარის	სა ფარ ის
ჩვენი	ჩვენ ი
გველესიანი	გველ ეს იანი
სულელი	სულ ელი
ანდების	ანდ ების
საზღვრებში	სა ზღვრ ებში
სულაბერიძე	სულ ა ბერ იძე
კინოხელოვანების	კინო ხელ ოვან ების
მიაქციეს	მი აქცი ეს
პეიტონს	პეიტონ ს
შტატებიდან	შტატ ები დან
რუსუდანის	რუსუდან ის
საერთო	სა ერთო
სამართლიანობა	სა მართ ლიანობა
სხვადასხვაობის	სხვადასხ ვა ობის
დაამსხვრია	დაა მსხვრ ია
დარდანელის	დარ და ნელ ის
ვიყიდე	ვი ყიდ ე
გამოიცემოდა	გამო ი ცემ ოდა
გამოვარდა	გამო ვარდა
სადგურით	ს ა დგურ ით
ლელოს	ლელო ს
ნარევი	ნარევ ი
ოჯახია	ოჯახ ი ა
ტყავის	ტყავ ის
ორსაფეხურიან	ორ სა ფეხურ იან
დანახვაზე	და ნახვა ზე
გაუმართლა	გაუ მართლ ა
მრავალგვარი	მრავალ გვარ ი
შესულა	შე სულა
რუანდის	რუანდ ის
დამოუკიდებელია	და მო უკიდ ებელი ა
ფრეიმი	ფრეიმ ი
კვირის	კვირ ის
მოჭადრაკეები	მ ო ჭადრაკ ეები
ფესურა	ფ ეს ურა
გაზვიადებული	გა ზვიად ებულ ი
პოზიციებზე	პოზიც ი ებზე
გავრცელებამდე	გა ვრცელებ ამდე
პარლამენტმა	პარლამენ ტმა
ევთანასია	ევთან ას ი ა
შიშველ	ში შველ
ძალები	ძალ ები
ანტარქტიდას	ა ნტარქტ ი და ს
ენათმეცნიერების	ენათმ ეცნიერ ების
შიშობდა	შიშ ობდა
კომბინაცია	კომ ბინ აცია
ხაზით	ხაზ ით
წარმომქმნელი	წარმო მ ქმნელ ი
ნეაპოლი	ნეაპოლ ი
ბორცვი	ბორცვ ი
გაცხადებული	გა ცხად ებულ ი
ფრანჩესკო	ფრანჩეს კო
კრიტიკული	კრიტიკ ული
კომპლექსები	კომპლექს ები
ანთაძე	ანთა ძე
დეპუტატთა	დე პუტატ თა
სამნიუმში	სამ ნი უმში
დაჯდომა	და ჯდომ ა
უგრძესი	უ გრძ ესი
წაგრძელებულია	წა გრძელ ებულ ია
ბრეჟნევი	ბრეჟნევ ი
მასპინძლობა	მ ასპინძ ლობა
მემბრანის	მემბრან ის
მეხუთეა	მეხუთე ა
ხელნაწერები	ხელნაწერ ები
დებენ	დ ებენ
ციკლს	ციკლ ს
გურამ	გურამ
კორტესი	კორტე სი
ხორხის	ხორხ ის
რაოდენობითაც	რაოდენ ობით აც
ოსტატობით	ოსტატ ობით
ტაიტიზე	ტაი ტი ზე
ახერხებს	ა ხერხ ებს
აეგოთ	ა ეგო თ
აქემენიდური	აქემენიდ ური
მზისკენ	მზ ისკენ
პარი	პარ ი
სცენაზე	სცენ აზე
მედალზე	მედალ ზე
ფეხბურთელებს	ფეხბურთ ელ ებს
ნაწ	ნაწ
მოითხოვოს	მო ი თხოვ ოს
წინაზე	წინა ზე
ლილოს	ლი ლოს
შიფროტექსტი	შიფრ ო ტექსტ ი
სანაპიროებიდან	ს ანაპირო ები დან
იცოდნენ	იც ოდნენ
სხვაგან	სხვა გან
ემიგრირებული	ემიგრ ირებულ ი
ლადაქი	ლადაქ ი
სალივანის	სა ლივ ანის
შეეცადა	შე ეცა და
პროდიუსერია	პროდიუს ერია
მოიპარა	მოი პარა
პორშეს	პორ შე ს
ტურინელებმა	ტური ნელ ებმა
კაპიტნად	კაპიტ ნად
პატრიარქობის	პატრიარქ ობის
ყიდდა	ყიდ და
გამორიცხულია	გამო რიცხ ულია
შპს	შპ ს
საყიდლად	სა ყიდ ლად
რესპუბლიკები	რეს პუბლიკ ები
დაცილებული	და ცილებ ული
მიემართათ	მი ემართა თ
ზოგიერთმა	ზოგი ერთ მა
კვლევებში	კვლევ ებში
კოშკები	კოშკ ები
მზით	მზ ით
ცხოველებთან	ცხოველებ თან
ამათგან	ა მათ გან
იერუსალიმიდან	იერუსალ ი მ იდან
მანჩესტერს	მა ნჩესტერ ს
დაარსებასთან	და არსებ ასთან
იუგოსლავიის	ი უგოსლავ ი ის
უპირატესობით	უპირატე ს ობით
ძღვენი	ძღვ ენი
ისლანდიურ	ის ლანდი ურ
მომავალში	მო მავალ ში
პსვ	პსვ
თავდამსხმელმა	თავდ ამსხმელ მა
სამშვიდობო	ს ა მშვიდობ ო
თვითმპყრობელობის	თვით მპყრობ ელ ობის
სიმკაცრის	სი მკაცრ ის
აღმოსავლეთ	აღმოსა ვლეთ
ენტონის	ენტონი ს
პრეტენზიებს	პრეტე ნზი ებს
ტენიანი	ტენიან ი
ახლის	ახლ ის
ჩამოდიან	ჩამო დიან
ჰარტლენდის	ჰარ ტ ლენდ ის
ინჟინერიის	ი ნჟინე რი ის
მირანდა	მირან და
ვარდისფერია	ვარდ ის ფერი ა
ჩაუტარდა	ჩაუტარ და
ჩამქრალი	ჩა მქრალ ი
ავტომატიზებული	ავტომა ტ იზებ ული
ნოემბერს	ნოემბერ ს
წიაღისეულით	წიაღის ეულ ით
კამილუსი	კა მილ უსი
ლაბორატორიებში	ლაბორატორ ი ებში
წმიდანის	წმიდ ანის
პაპს	პაპ ს
ღამეს	ღამ ეს
გდრ	გდრ
ხედით	ხედ ით
გაფართოვება	გა ფართოვ ება
ტერიტორიასთან	ტერიტორ ი ასთან
კლავიშებზე	კლავიშ ებზე
გენები	გენ ები
ჩანაცვლებას	ჩანა ცვლ ებას
გიგანტურ	გიგანტ ურ
ევოლუციაში	ევოლუც იაში
მაშინ	მა შინ
ვიკი	ვიკი
როდესაც	როდ ეს აც
დეციუსი	დეციუ სი
მთავრობასთან	მთავრ ობასთან
ტრანსფერების	ტრანს ფერ ების
წმინდანი	წმინ და ნი
სლოგანი	ს ლო გან ი
კვანძები	კვანძ ები
უკეთესია	უკეთ ესი ა
მოწყობილობა	მოწყობილ ობა
მემკვიდრეობითი	მე მკვიდრეობ ი თი
მყოფ	მყოფ
დააფიქრა	და ა ფიქრ ა
შთამომავლებმა	შთა მო მავლ ებმა
ანდეზიტური	ანდ ეზ ი ტური
ეყრდნობა	ე ყრდნობ ა
უპასუხო	უ პასუხ ო
კომიტეტში	კომიტე ტში
თემებით	თემ ებით
საკოლექციო	სა კო ლექცი ო
ხსოვნას	ხსოვ ნა ს
მონაწილეობისათვის	მო ნაწილ ეობის ა თვის
ქვეჯგუფში	ქვე ჯგუფ ში
მოგადიშოს	მო გა დ იშოს
მინერალიზაცია	მინერა ლ იზაცია
ქრონოლოგია	ქრონ ოლოგი ა
ესტუმრებიან	ე სტუმრ ებიან
ახალბედა	ახალ ბედ ა
რეაბილიტაციის	რეაბილ ი ტაცი ის
აკუსტიკური	აკუსტ იკური
მხრით	მხრ ით
ლულის	ლ ული ს
დასახოცად	დასა ხოც ად
სპარსეთს	ს პარსეთ ს
უგოლო	უგო ლო
კომუნალური	კომუნ ალური
იოსელიანს	იოსელიან ს
ნაკადი	ნაკად ი
გამოავლინოს	გამო ა ვლინ ოს
ინტერიერის	ინტერ იერ ის
დაფიქსირებულია	და ფიქსი რებულ ია
სტუმრები	სტუმრ ები
