გამოსხივება	გამოსხივ ებ ა
დაიჯერა	დაი ჯერ ა
ადმინისტრაცია	ადმინისტრ აცი ა
ჰემს	ჰემ ს
სხარტად	სხარ ტ ად
მიჰგვარეს	მიჰ გვარ ეს
მუსიკაში	მუსიკ აში
ასეულობით	ას ეულ ობით
მეთოდი	მეთ ოდ ი
ვარიაციების	ვარი აცი ების
შეიცვლება	შეიც ვლებ ა
აღმოსავლეთთან	აღმო სავლეთ თან
ალევის	ალ ევ ის
აცილებდა	ა ცილებ და
იმედებით	იმედ ებით
მონეს	მ ონ ეს
მუშაკთა	მუშ აკ თა
მცველად	მცველ ად
გზავნიან	გზავნ იან
ველფების	ველ ფ ების
ემხრობოდნენ	ემხ რობ ოდნენ
ასტრონომიულ	ასტრო ნომი ულ
ლაქების	ლაქ ების
პროდიუსერის	პროდიუსერ ის
დასწავლის	და სწავლ ის
კომნენოსი	კომ ნენოს ი
ჰიუგო	ჰ იუგო
პეიზაჟური	პეიზ აჟ ური
მუხნარი	მუხ ნარ ი
ორგანულ	ორგან ულ
საფასურის	საფას ურ ის
თაგვები	თა გვ ები
ჩაწერა	ჩა წერ ა
გაატარა	გაა ტარ ა
დათვი	და თვ ი
ზონებად	ზონ ებ ად
ექვსიდან	ექვს იდან
ირბახი	ირ ბახ ი
მამაკაცზე	მამა კაც ზე
დაასრულეს	და ასრულ ეს
ჰარისონის	ჰარის ონ ის
შუხუთის	შუ ხუთ ის
სამართლიანობისა	სამართლ იანობ ისა
ცომი	ც ომ ი
სათაყვანებელი	სათა ყვან ებელი
განუწყვეტელი	განუ წყვეტ ელი
ლექციები	ლექცი ები
ტერნერი	ტერ ნერ ი
შეტევისთვის	შე ტევ ისთვის
ძველბერძნული	ძველბერძ ნულ ი
იტანენ	იტან ენ
გაყოფილ	გა ყოფილ
დელონი	დე ლონ ი
ვირთხა	ვირ თხ ა
ორიენტირების	ორიენ ტირებ ის
ლაქები	ლაქ ები
ბრძოლებით	ბრძოლ ებით
ჰოლანდიელების	ჰო ლანდიელ ების
დადიანი	დად იან ი
დიდს	დიდ ს
ეპიდემიას	ეპიდ ემი ას
ტოტის	ტოტ ის
თვითმხილველი	თვითმ ხილველ ი
აირჩევიან	ა ირჩევ იან
ნერვიულობაზე	ნერვი ულობ აზე
გვარიდან	გვარ იდან
სახეობებიდან	სახეობ ებ იდან
შემადგენლობამ	შემა დგენლობ ამ
წინასწარმეტყველური	წინასწარმეტყველ ური
საფლავები	სა ფლავ ები
გაყოლებაზე	გა ყოლებ აზე
მოიშალა	მო იშალ ა
ნავთობს	ნა ვთობ ს
გამოხმაურებები	გამო ხმაურებ ები
ძალადობა	ძალ ადობ ა
ხევის	ხევ ის
ბერძენ	ბერძ ენ
ერთიც	ერთ იც
მედგრად	მე დ გრად
უტყუარი	უ ტყუარ ი
სტალინი	სტა ლინ ი
რახან	რა ხან
დრაფტზე	დრა ფტ ზე
თან	თან
ნაჩვენებია	ნა ჩვენებ ია
პაკისტანი	პაკი სტან ი
ნესტორ	ნესტორ
ყოველი	ყოველ ი
იდეალს	იდე ალ ს
ასეული	ას ეულ ი
გამოშვებულია	გამო შვებ ულია
ტყვედ	ტყვე დ
ასპექტებზე	ა სპექტ ებზე
შადიმან	შა დ იმან
გუდაუთის	გუდაუ თ ის
პლატფორმებზე	პლატ ფორმ ებზე
ქვიშიანი	ქვი შ იანი
ბაქტერიების	ბაქ ტერი ების
მცხოვრებთა	მ ცხოვრებ თა
ფორმირდება	ფორმ ირ დება
წარმოქმნას	წარმო ქმნ ას
სქესობრივად	სქე სობრივ ად
გაყიდული	გა ყიდ ული
დედამისთან	დედ ამის თან
ინტერპრეტაციები	ინტერპრე ტაცი ები
ნახატს	ნა ხატ ს
ორიენტირებულია	ორიენ ტირებ ულია
წელსაა	წელ სა ა
წითელას	წითელ ას
ქიმზე	ქ იმ ზე
ჭაობიან	ჭა ობ იან
აღავლინა	აღ ავლინ ა
შლამის	შლ ამ ის
ხალხისადმი	ხალხ ისადმი
წიგნი	წიგნ ი
გამოუვალ	გამო უვალ
ცხენებით	ცხენ ებით
ევაკუირებული	ევაკუ ირებულ ი
ლითონებს	ლითო ნ ებს
პარკის	პარკ ის
დენტინის	დ ენტინ ის
იმიჯით	იმ იჯ ით
ეჭვიანობის	ეჭვ იანობ ის
ვალდებულია	ვალდებულ ია
პროექტზე	პროექტ ზე
გაედინება	გა ედინებ ა
მოულოდნელმა	მოუ ლოდნელ მა
კახაბერ	კახა ბერ
გარსების	გარ ს ების
უბეები	უ ბე ები
ველისარიუსი	ველისარ იუს ი
კორფუზე	კორ ფუ ზე
კოლხი	კოლ ხ ი
გადარჩნენ	გადა რჩ ნენ
ცხადდება	ცხად დებ ა
მატჩიც	მატ ჩ იც
ქერცლით	ქერცლ ით
ოცამდე	ოც ამდე
სიმიანი	სიმ იანი
განზომილებიანი	გა ნზომილებ იანი
საერისთავო	საერისთავ ო
ნარინმა	ნა რინ მა
მილიარდის	მილი არდ ის
საშუალოდ	სა შუალ ოდ
მოთამაშე	მოთამაშ ე
გიორგი	გიორ გ ი
კეტის	კეტ ის
მილი	მი ლ ი
მცდარად	მც დარ ად
ტრადიციულ	ტრადიცი ულ
ავტორის	ავტორ ის
მომავალზე	მო მავალ ზე
წამლები	წამლ ები
სტეპი	სტ ეპ ი
გონიოს	გონ იოს
მიწათმფლობელი	მიწათ მფლობელ ი
მთავრებს	მთავრებ ს
ტომით	ტომ ით
ურთიერთობა	ურთიერთ ობ ა
მოძრაობდა	მოძრა ობ და
ვორონცოვი	ვორონცო ვი
გარდაუვალ	გარდა უვალ
დაღლილი	დაღ ლილ ი
ამნისტიით	ამნ ისტი ით
სიძულვილით	სიძულ ვილ ით
წარმატებებმა	წარ მატებ ებმა
მცდარია	მც დარ ია
როზა	რ ოზ ა
ასურელთა	ასურ ელ თა
თითოეულმა	თითო ეულ მა
ეპიზოდს	ეპიზო დ ს
მოკვდეს	მო კვდ ეს
მომხდარიყო	მო მხდარ იყო
შეხვედრებს	შე ხვედრ ებს
შედარებულია	შედა რებ ულია
აამაღლა	აა მაღლ ა
ჩინურად	ჩინ ურ ად
მატებასთან	მატებ ასთან
ყოფა	ყოფ ა
კარსტული	კარ სტ ული
დაამონტაჟეს	დაა მონტაჟ ეს
სევილიის	სევ ილი ის
ევერტონის	ევერ ტონ ის
შევიწროვებული	შე ვიწროვ ებული
გამოყო	გამო ყო
წონაზე	წონა ზე
შენთვის	შე ნ თვის
ვარიანტების	ვარი ანტ ების
ამყარებდა	ა მყარებ და
შუმერის	შუ მერ ის
მოვალეობაა	მოვალ ეობ აა
ჭარბობს	ჭარბ ობ ს
ადგილისათვის	ადგილ ისათვის
ღელავდა	ღ ელ ავდა
ფერებშია	ფერ ებ შია
ჯამი	ჯა მ ი
ნახევარდაცვაში	ნახევარდა ცვ აში
კართაგენი	კართა გენ ი
ცურავენ	ცურავ ენ
ძველი	ძ ველ ი
ფაზის	ფაზ ის
დაბადებისას	და ბადებ ისას
ნივთიერებების	ნივთ იერებ ების
ვაჭრებს	ვაჭრ ებს
ინსტიტუციური	ინ სტიტუცი ური
კომიტეტმა	კომ იტეტ მა
აბდულა	აბდუ ლ ა
მიწისძვრით	მიწის ძვრ ით
ფეთქებადი	ფეთქ ებად ი
აპარატში	ა პარატ ში
ქოჩორი	ქო ჩ ორი
თავრიზში	თავრ იზ ში
ვოკალისტი	ვოკ ალისტ ი
ხანისაა	ხან ისაა
ორმოცდათხუთმეტი	ორმოცდა თხუთმეტ ი
ფიზიკა	ფიზიკ ა
ღრუბლების	ღრუ ბლ ების
ჯანსუღ	ჯან ს უღ
შეუთანხმდა	შეუ თანხმ და
გათვლებით	გა თვლ ებით
დიპლომს	დიპლომ ს
მოდელებში	მო დელ ებში
ნეიტრონული	ნეი ტრონ ული
გმირ	გმირ
სკანდალის	სკანდ ალ ის
გამოითხოვა	გამო ითხოვ ა
გაუგებარია	გაუგე ბარ ია
რვავე	რ ვა ვე
უხეში	უხ ეშ ი
შეხვედრები	შე ხვედრ ები
გაემართნენ	გა ემართ ნენ
ბართლომე	ბართლ ომ ე
პოსტს	პოსტ ს
მზადაა	მზად აა
პრინცად	პრინც ად
ნახოს	ნახ ოს
მანუელა	მანუელ ა
ნიჟარა	ნი ჟარ ა
გაქვავებული	გა ქვ ავებული
პრეფექტურის	პრ ეფექტურ ის
ლაზეთი	ლაზ ეთ ი
სპექტაკლი	სპექტ აკლ ი
ტყვეობის	ტყვე ობ ის
კაფეში	კა ფე ში
სისხლისღვრა	სისხლისღ ვრ ა
სასულთნო	სასულ თნო
კაპიტალით	კაპიტ ალ ით
ტაძრებში	ტაძრ ებში
სვეტიცხოველში	სვეტი ცხოველ ში
გაცურეს	გა ცურ ეს
შესახებ	შესახ ებ
ლიონიძე	ლიონ იძე
ცნეს	ცნ ეს
ბელიზი	ბე ლიზ ი
პაპუის	პა პ უის
რეცეპტორები	რეცეპ ტორ ები
ჯვაროსანთა	ჯვარ ოსან თა
ნინკენის	ნინ კენის
სეთს	ს ეთ ს
ხანჯლით	ხან ჯ ლით
ფიზიოლოგიის	ფიზიოლოგი ის
სტეფანომ	სტე ფან ომ
ინდივიდუალური	ინდივიდუ ალურ ი
განიხილავს	განი ხილავ ს
მითითებულია	მი თითებ ულია
მაკის	მა კ ის
უნივერსიტეტების	უნივერს იტეტ ების
მანამ	მან ამ
დავითგარეჯის	დავით გარეჯ ის
დაბრუნდებოდა	და ბრუნდ ებოდა
აქებს	აქ ებს
ეზრა	ეზ რა
ისიდორე	ისი დორ ე
ჰენდერსონი	ჰენდერ სონ ი
უფალი	უ ფალ ი
მუსიკოსები	მუსიკ ოს ები
მასპინძელს	მასპინძ ელ ს
სიდნეი	სი დნე ი
ასპექტების	ა სპექტ ების
ფიზიკური	ფიზიკ ურ ი
ელისაბედის	ელისა ბედ ის
პოზიტიურად	პოზიტი ურ ად
სეზონია	სე ზონ ია
დაუძლურებული	დაუ ძლ ურებული
მრავალშვილიან	მრავალ შვილ იან
რომანტიკული	რომანტი კულ ი
ერმა	ერ მა
არანორმალური	არა ნორმალურ ი
ბელგიური	ბელ გი ური
ლენგის	ლენგ ის
მოთამაშის	მო თამაშ ის
უწევდნენ	უ წევ დნენ
ყვირის	ყვირ ის
ჩარევით	ჩა რევ ით
გარემოდან	გარე მო დან
იამატოს	ია მატ ოს
მომხრე	მო მხრე
კომპაქტურად	კომპა ქტ ურად
გამოსვლებში	გამო სვლ ებში
მოონზუნდის	მოონზ უნდ ის
ჯარიმით	ჯარიმ ით
კერპი	კერ პ ი
ტყვიამფრქვევი	ტყვიამ ფრქვევ ი
განის	გან ის
ბევრის	ბე ვრ ის
დაესხა	დაე სხ ა
თავსართის	თავსა რთ ის
იკითხა	ი კითხ ა
დედოფლად	დედოფლ ად
მეჯლისზე	მეჯ ლ ისზე
მონახაზს	მონა ხაზ ს
ქვიშაქვების	ქვიშ აქვ ების
განყოფილებად	განყოფილ ებ ად
კოლორადოს	კოლო რად ოს
დაუკრავს	დაუ კრ ავს
დაიწყებდნენ	დაი წყებ დნენ
უვლიან	უ ვლ იან
ცეცხლისა	ცეცხლ ისა
სპარსელთა	სპარს ელ თა
ურანის	ურა ნ ის
ბნელია	ბნელ ია
ყირიმსა	ყირ იმ სა
მმართველობისა	მ მართველობ ისა
ლეონტი	ლეონ ტი
მხარეშია	მხარე შია
ფიფას	ფ იფ ას
პადუსის	პა დუ სის
ლაიბნიცის	ლაიბ ნიც ის
მლრდ	მ ლ რდ
პრიორიტეტული	პრიორ იტეტ ული
მსახურებს	მსახურ ებს
მეთოდები	მეთ ოდ ები
გამოყოფას	გამო ყოფ ას
ლონდონელი	ლონ დონ ელი
გადაიზარდა	გადა იზარდ ა
ნორმან	ნორმ ან
ცხოვრებას	ცხოვრებ ას
გადასახადით	გადასახად ით
გამონაკლისი	გამო ნაკლის ი
ფეროშენადნობთა	ფეროშენა დნობ თა
გადაღებები	გადა ღებ ები
მარკეტინგის	მარკეტ ინგ ის
რობ	რობ
კვანძი	კვანძ ი
ნიმუშებია	ნიმუშ ებია
კათალიკოს	კათალიკო ს
კატეგორიად	კატ ეგორი ად
ამა	ამ ა
სოფლებიდან	სოფლ ებ იდან
ლონდონის	ლონ დონ ის
ამოღების	ამო ღებ ის
საკურორტო	სა კურორტ ო
აყალიბებდა	ა ყალიბებ და
გამოტანა	გამო ტან ა
თემებად	თემ ებ ად
მხეცს	მხ ეც ს
ყურესა	ყურე სა
შვეიცარიულ	შვეიც არი ულ
მეთაურად	მე თაურ ად
პასუხისმგებლობას	პასუხის მგებლობ ას
შემოიღეს	შემო იღ ეს
ჟუან	ჟუ ან
საკმარისი	საკმარ ის ი
გარეჯელის	გარეჯ ელის
ფაიუმის	ფაიუმის
შეგირდი	შე გირდ ი
ლამის	ლამ ის
შელოცვას	შელოც ვ ას
რეფორმებმა	რე ფორმ ებმა
ჩასვლისთანავე	ჩა სვლისთანავ ე
თვლით	თვლ ით
შტურმით	შტურ მ ით
ცხრილის	ც ხრილ ის
მუხისფარის	მუხის ფარ ის
მილსადენი	მილსა დენ ი
მანათობელი	მა ნათობ ელი
იხ	იხ
ურჩევს	უ რჩევ ს
საგრაფოში	საგრაფ ო ში
მისვლამდე	მი სვლ ამდე
სპარსულიდან	სპარს ულ იდან
ორგანიზმები	ორგანიზმ ები
გუჯარათის	გუ ჯარ ათის
რიცხვთა	რიცხვ თა
რუკაზე	რუ კ აზე
მოზიდვის	მო ზიდვ ის
მასპინძლები	მა სპინძლ ები
იმპერატორის	იმპერატორ ის
კაცობრიობას	კაცობრი ობ ას
გოგირდოვანი	გო გირდ ოვანი
სამინისტრომ	სამინის ტრო მ
წყარო	წყარო
ისლანდიაში	ის ლანდი აში
გოდოლის	გო დოლ ის
ქონის	ქონ ის
კლანებს	კლ ან ებს
ქაოსს	ქა ოს ს
ნახავ	ნახავ
ნოტებზე	ნოტ ებზე
დარიშხანი	დარიშხ ანი
ფუნქციაც	ფუნ ქცი აც
ტემპერამენტი	ტემპერა მენტ ი
კერი	კერ ი
კორპუსების	კორპ უს ების
გასულ	გა სულ
რედაქტორს	რედაქ ტორ ს
ტორესი	ტორ ეს ი
ურთიერთობაში	ურთიერთ ობ აში
პარლამენტს	პარლამენტ ს
ფხენიანის	ფხ ენ იანის
ქრისტეფორე	ქრისტე ფორ ე
სიტყვიერ	სიტყვიერ
დუბლებში	დუ ბლ ებში
თეატრში	თეატრ ში
შემოსასვლელი	შემო სასვლელ ი
შეარქვეს	შე არქვ ეს
გაიფიქრა	გა იფიქრ ა
სიკვდილისა	სიკვდი ლ ისა
ზაქარი	ზა ქარ ი
ორთაბრძოლის	ორთა ბრძოლ ის
გრანიტული	გრან იტ ული
პორტუგალიაში	პორტუ გალი აში
მართლმსაჯულება	მართლ მსაჯულ ება
სახლობენ	სახ ლობ ენ
სუფრა	სუ ფრ ა
დიდ	დიდ
იგეგმებოდა	ი გეგმ ებოდა
არნოს	არ ნო ს
დაქირავება	და ქირავებ ა
ელიტარულ	ელი ტარ ულ
მარილებს	მარილ ებს
ნეირონული	ნეი რონ ული
რელიგიას	რელი გი ას
სულიერების	სულ იერ ების
დაკავებული	დაკავ ებულ ი
გაჟლიტა	გაჟ ლიტ ა
განცდებს	გან ცდ ებს
დაზღვევის	და ზღვევ ის
მშთანთქმელი	მ შთანთქმ ელი
შოკოლადი	შოკო ლად ი
ნაპოლეონი	ნაპო ლეონ ი
დახრილობის	და ხრილ ობის
სპარსი	სპარს ი
მარკომ	მარ კომ
ჯალალედინის	ჯალალე დინ ის
ქორწილი	ქორწილ ი
მასპინძელ	მასპინძ ელ
ბედმა	ბედ მა
ფინალისტები	ფინ ალისტ ები
არტურა	არ ტურ ა
განუწყვეტლივ	განუ წყვეტ ლივ
დამორჩილებოდა	დამო რჩილებ ოდა
რეალიზება	რე ალიზ ება
სამყაროში	სამყარ ო ში
დნება	დ ნ ება
ფერად	ფერ ად
დაიზიანა	დაი ზიან ა
აიცილონ	აიც ილ ონ
დაგლას	და გლ ას
დანიშვნის	და ნიშვნ ის
გამოსადეგარი	გამოსა დეგ არი
მეტი	მეტ ი
სასრულ	სა სრულ
მოსახლეობას	მოსახლ ეობ ას
ოლივერ	ოლი ვერ
ყოფამ	ყოფ ამ
მეფესა	მე ფე სა
ჭიანჭველების	ჭიან ჭველ ების
ავითარებს	ა ვითარებ ს
ვისოკოვის	ვის ოკ ოვის
გამოცხადებისთანავე	გამო ცხადებ ისთანავე
ფეხბურთელების	ფეხბურთ ელ ების
დასავლეთთან	და სავლეთ თან
თხუნელა	თხუნ ელ ა
ისრაელსა	ისრა ელ სა
კვალს	კვალ ს
მუნიციპალიტეტს	მუნიციპალ იტეტ ს
სეგრეგაცია	სეგრეგა ც ია
მიუხედავად	მიუ ხედავ ად
ისტორიისთვის	ისტორი ისთვის
ლათინების	ლათინ ების
ჩაეტარებინათ	ჩაე ტარებ ინათ
ალაფი	ალ აფ ი
მოაწყო	მო აწყ ო
ფიზიოლოგიური	ფიზიოლოგი ური
საწარმომ	სა წარმო მ
გებელსმა	გებელ ს მა
დასუსტებულ	და სუსტებ ულ
დამოკიდებულიო	დამო კიდებულ იო
შეყვარებულ	შეყვარ ებულ
მარციუსი	მარ ციუს ი
ძაბრი	ძაბ რ ი
გილბერტის	გილ ბერტ ის
ეკლიპტიკის	ეკლიპ ტიკ ის
დენიელ	დე ნიელ
დაკვრისას	და კვრ ისას
ჩანაცვლდა	ჩა ნაცვლ და
ფერებად	ფერ ებ ად
იჩენს	ი ჩენ ს
სიკვდილის	სიკვდი ლ ის
ჩამოუდის	ჩამო უდ ის
დასახლებულები	და სახლებულ ები
მაგისტრალების	მა გისტრალ ების
შემოუყვება	შემოუ ყვ ება
ევროპელებს	ევრო პელ ებს
ზის	ზ ის
საათში	სა ათ ში
სლოვენური	სლოვ ენ ური
მასონური	მა სონ ური
წიგნს	წიგნ ს
კონსულტაციას	კონსულტაცი ას
ნიქსი	ნი ქს ი
სერჟ	სერ ჟ
ჩრდილში	ჩრდილ ში
მეც	მ ეც
გაეგზავნა	გაე გზავნ ა
დასკვნამდე	დ ასკვნ ამდე
სიმაღლისა	სი მაღლ ისა
დანელია	და ნელ ია
ენერგიულად	ენ ერგი ულად
ბოსნია	ბოს ნი ა
ბომბავდნენ	ბომბ ავდნენ
დაუნდობლად	დაუნდ ობ ლად
აფრიკის	აფრიკ ის
სტანდარტებს	სტ ანდარტ ებს
დღიურის	დღიურ ის
ხმარებიდან	ხმარებ იდან
სავოიის	სა ვ ოიის
ვაზისა	ვაზ ისა
ახსნის	ა ხსნ ის
ათასწლეული	ათას წლეულ ი
უფსკრული	უფსკრ ულ ი
შრეების	შ რე ების
საყვარელიძე	საყვარ ელ იძე
სოფრონი	სო ფრონ ი
მანგლისი	მა ნგლ ისი
ნატურალური	ნატუ რალ ური
მიჰყავდა	მი ჰყავ და
თიხისაგან	თი ხ ისაგან
მთავარია	მთავარ ია
უფროსს	უ ფროს ს
ბარიკადებზე	ბარიკა დებ ზე
დაპყრობების	და პყრობ ების
მსოფლმხედველობის	მსოფლ მხედველობ ის
ლოცვით	ლო ცვ ით
იესეს	ი ეს ეს
საბაკალავრო	სა ბაკალავრ ო
ჰიუსტონის	ჰ იუსტონ ის
დაბლობ	დაბლ ობ
გადატანის	გადა ტან ის
მრავალსართულიანი	მრავალსა რთულიანი
პლაცდარმი	პლაცდ არმ ი
დასრულდებოდა	და სრულდ ებოდა
მიმადლა	მი მადლ ა
ჯალალედინმა	ჯალალე დინ მა
ნებას	ნებ ას
აგების	ა გებ ის
ფოქსი	ფო ქს ი
დანამატის	დანა მატ ის
რომლებიც	რომ ლებ იც
საათების	სა ათ ების
იწყებდნენ	ი წყებ დნენ
ვერმეერის	ვერმე ერ ის
პოლკოვნიკის	პოლკ ოვნიკ ის
აგებიდან	ა გებ იდან
ტურს	ტურ ს
დეფექტების	დ ეფექტ ების
კომპოზიციად	კომ პოზიცი ად
საპრიზო	სა პრიზ ო
ინდოევროპული	ინდოევრო პულ ი
არანაირ	არა ნაირ
აბჯარი	აბ ჯარ ი
განისვენებს	განი სვენებ ს
ღონისძიებებისა	ღონის ძიებ ებისა
ხილვადობის	ხილვ ადობის
ხსნარს	ხსნ არ ს
ათწლეულის	ათ წლეულ ის
მაისის	მა ის ის
მსგავსია	მსგავს ია
ფაკულტეტების	ფაკულტ ეტ ების
მითითებული	მი თითებ ული
უთვალავი	უ თვალავ ი
დანაწევრებულ	დანა წევრებ ულ
კერუაკი	კერუ აკ ი
გერინგმა	გერ ინგ მა
იქნებაო	ი ქნ ებაო
ქმარმა	ქ მარ მა
გენერალი	გენე რალ ი
პირობით	პირ ობით
უმზადებდა	უ მზადებ და
დამყარების	და მყარებ ის
რძის	რ ძ ის
პრეზიდენტიც	პრეზიდენტ იც
კამარები	კა მარ ები
დამყარება	და მყარებ ა
ლინგვისტურ	ლინგვ ისტ ურ
ოკინავას	ოკინა ვ ას
ეპიდემიის	ეპიდ ემი ის
გამოშვებულ	გამო შვებ ულ
ზეროს	ზერ ოს
გადმოსხმა	გადმო სხმ ა
სამსუნის	სამ სუნ ის
ბადაგა	ბ ადაგ ა
იღვაწა	ი ღვაწ ა
ამატებენ	ა მატებ ენ
საკუთრების	საკუთრ ებ ის
განცდით	გან ცდ ით
ინგრედიენტების	ინგრედი ენტ ების
იდუმალებით	იდუმა ლ ებით
ჯგუფსა	ჯგუფ სა
პროტოტიპი	პროტ ოტიპ ი
ტრადიციებში	ტრადიცი ებ ში
ბულგარული	ბულ გარ ული
გაბრაზებული	გაბრაზ ებულ ი
ქონდეს	ქონდ ეს
დეპრესიის	დე პრესი ის
კარისა	კ არ ისა
ანსამბლი	ანსამ ბლ ი
ურდომ	ურ დო მ
რესპუბლიკას	რესპუბლი კ ას
ჭურჭელს	ჭურჭ ელ ს
ხიმშიაშვილი	ხიმშ იაშვილ ი
განათხოვრებული	განა თხოვრ ებული
საჭირო	სა ჭირო
მამაკაცებისთვის	მამა კაც ებისთვის
დაახლოების	და ახლოებ ის
ჰობიტი	ჰო ბიტ ი
ყვითლად	ყვ ითლად
პლაჟი	პლა ჟ ი
ფიგურები	ფი გურ ები
გამეფებისთანავე	გამეფ ებ ისთანავე
მოხელის	მო ხელ ის
მწარმოებელია	მწარმო ებელ ია
კუნძულებს	კუნძულ ებს
მოვლენებიდან	მოვლენ ებ იდან
წინამორბედად	წინამორ ბედ ად
ლაშქრობისას	ლაშქ რობ ისას
სამინისტროსა	სამინის ტრო სა
ფრინველს	ფრინ ველ ს
საჯავახოდან	სა ჯავახ ოდან
აქემენიდების	აქემენი დ ების
დეპის	დ ეპ ის
დელტის	დელ ტ ის
შეგრძნებას	შეგრძ ნებ ას
ერლს	ე რლ ს
მაღლდება	მაღლ დება
დაარსებაში	და არსებ აში
რაიონს	რაიონ ს
ბოულში	ბო ულ ში
პულტი	პულ ტ ი
პარადოქსი	პარა დოქს ი
დაბოლოებული	დაბოლო ებ ული
ბგერათა	ბ გერ ათა
გაჭირვებას	გაჭირ ვებ ას
გაფართოებით	გაფართო ებ ით
ინტერესებით	ინტერესებ ით
დამატებები	და მატებ ები
ნარჩენებისაგან	ნარჩენ ებ ისაგან
მინტაკის	მინ ტაკ ის
ტრადიციამ	ტრადიცი ამ
ეხმარება	ე ხმარებ ა
პათოლოგიის	პა თოლოგი ის
სარტრის	სარ ტრი ს
მნიშვნელობებს	მნიშვნელო ბ ებს
წერილს	წერილ ს
ბავშვია	ბავშვ ია
კუთხეებში	კუთხე ებ ში
მანევრი	მა ნევრ ი
კაბინა	კა ბინ ა
მესამეა	მე სამე ა
პოეზიაზე	პო ეზი აზე
კორეასა	კორ ე ასა
ნებისყოფის	ნების ყოფ ის
სტერლინგს	სტერლ ინგ ს
მოსწონდა	მოს წონ და
გაცვლის	გა ცვლ ის
გილას	გი ლ ას
ორბიტები	ორ ბიტ ები
გამოშვებით	გამო შვებ ით
წყლიანი	წყლ იანი
აზრთა	აზრ თა
შრომისმოყვარე	შრომ ისმოყვარე
ლიცენზიების	ლი ცენზი ების
უდავო	უდა ვო
შვედურმა	შვე დ ურმა
შემცველობის	შემც ველობ ის
პიარ	პი არ
აეროპორტ	აერო პორტ
მეჩხერი	მე ჩხერ ი
აპოლონ	აპოლ ონ
ოპერის	ოპერ ის
უტრეხტის	უტრე ხტ ის
წყება	წყებ ა
თანავე	თანა ვე
წარწერებიანი	წარ წერებ იანი
დაუკრა	დაუ კრ ა
არაცნობიერი	არა ცნობიერ ი
ორორო	ორო რო
განრისხებული	განრისხ ებულ ი
გატანილი	გა ტანილ ი
დარჩენილიყო	და რჩენილ იყო
კოლეგიის	კოლ ეგი ის
ბჰუტანის	ბჰუ ტან ის
სამეფოდან	სამე ფო დან
აფხაზური	აფ ხაზ ური
სადგურამდე	სადგურ ამდე
არაუგვიანეს	არაუ გვიან ეს
რესტორნები	რესტორ ნ ები
ფსიქოდელიურ	ფსიქოდ ელი ურ
შეუდგა	შეუ დგ ა
ბოტაფოგოს	ბოტაფო გ ოს
კუნძული	კუნძულ ი
ფანასკერტელი	ფა ნასკერტ ელი
მასტიმულირებელი	მა სტიმულირებ ელი
სუსტ	სუსტ
მოამზადა	მოამ ზად ა
ვიზა	ვ იზ ა
შერჩევითი	შე რჩევ ითი
დაპყრობამ	და პყრობ ამ
დახმარებით	და ხმარებ ით
მწყემსების	მწყ ემ სების
ამუშავებენ	ა მუშავებ ენ
ერთსახლიანი	ერთ სახლიანი
ფრესკების	ფრე სკ ების
იბრძოდნენ	ი ბრძო დნენ
ველასკესი	ველა სკ ესი
მფლობელობაში	მფლობელ ობ აში
ხუცესი	ხუც ეს ი
გაერთიანებას	გა ერთიანებ ას
არსებებს	არსებ ებს
ეშვები	ე შვებ ი
თასების	თა ს ების
მოსთხოვს	მო სთხოვ ს
მესხეთში	მეს ხეთ ში
ტანჯვას	ტანჯვ ას
დავითის	დავით ის
ისეთი	ის ეთ ი
მისულიყო	მი სულ იყო
შვილიც	შვილ იც
ხ	ხ
სასწაულებრივი	სასწაულ ებრივ ი
ხარისხში	ხარისხ ში
ფსალმუნთა	ფსალმ უნ თა
დაჭერის	და ჭერ ის
წლისათვის	წლ ისათვ ის
ხაზებისა	ხაზ ებ ისა
იუანის	იუ ან ის
ქვიანი	ქვ იანი
შიფრაციის	შიფრ აციის
სიტუაციამ	სიტუ აცი ამ
მოწამეობრივ	მოწამე ობრივ
შანელის	შან ელის
დასაბრუნებლად	დასა ბრუნებ ლად
თანდერის	თან დერ ის
მრეწველობისა	მრეწველ ობ ისა
რობინსონი	რობინ სონ ი
შეძლებულ	შე ძლებ ულ
მითანი	მი თან ი
ჰუდსონის	ჰუდ სონ ის
რომელთა	რომ ელთა
გაჩაღდა	გა ჩაღ და
სიღრმეა	სიღრმ ე ა
კასპში	კა სპ ში
პირობებია	პირობებ ია
სასტუმროს	სასტუმრ ო ს
სტატიაში	სტა ტი აში
ღირსშესანიშნაობაა	ღირსშესა ნიშნაობ აა
ღრმადაა	ღრმ ა დაა
აღმშენებლობის	აღმშენ ებლობ ის
მღვდლად	მღვ დლ ად
საზოგადოებები	საზოგადო ებ ები
ჯავშანი	ჯავ შან ი
გენოციდის	გენოც იდ ის
მოუწევდა	მოუ წევ და
ალმანახ	ალმა ნახ
გემი	გემ ი
აღქმას	აღ ქმ ას
ადმიანი	ადმი ან ი
პარტიისა	პარტი ისა
მკითხველისათვის	მკითხველ ისათვის
ბაქანია	ბაქ ან ია
ებრაულ	ებრა ულ
სისხლდენა	სისხლ დენ ა
დღისა	დღ ისა
ესაჭიროება	ესა ჭიროებ ა
გაბაასება	გაბაას ებ ა
ზოოპარკი	ზოო პარკ ი
