გამოსხივება	გამო სხივებ ა
შარდის	შ არდ ის
ინსტრუმენტების	ინსტრუ მენტ ების
შეტაკებაში	შეტაკ ებ აში
კუტუზოვის	კუტუ ზოვი ს
გამძლე	გამძლე
მათემატიკაში	მა თემატიკ აში
შედიოდნენ	შე დი ოდნენ
ბანაკიდან	ბანაკ იდან
რეკლამაში	რეკლ ამ აში
ძველით	ძველ ით
დაარწმუნებს	დაა რწმუნ ებს
გამოუცხადა	გამოუ ცხად ა
უკვალოდ	უ კვალ ოდ
მანტიაში	მ ანტი აში
ტვერის	ტ ვერ ის
მეექვსედ	მეექვს ე დ
კათოლიკობა	კათოლ იკ ობა
აქედანაა	ა ქედან აა
მომენატრა	მომე ნატრ ა
მსოფლმხედველობა	მსოფლ მხედველობ ა
მკვლელობების	მკვლელობ ების
აგნოსტიკოსი	აგნ ოსტ იკოსი
სტუდიების	სტუდი ების
თვის	თ ვ ის
მავნე	მავნ ე
ჩაუყარა	ჩაუ ყარ ა
ცხინვალის	ცხინ ვალ ის
ამაო	ამ ა ო
გააგრძელოს	გაა გრძელ ოს
უკიდურეს	უკიდურ ეს
დივიზიონში	დივიზი ონ ში
განსაზღვრაში	გან საზღვრ აში
კელვინი	კელ ვინ ი
იური	ი ური
კატაკომბაში	კატაკომ ბ აში
ფაილის	ფა ილ ის
მუჰამმადის	მუჰამ მ ადის
წყობით	წყობ ით
გმირებად	გმირ ებად
ნახშირორჟანგის	ნახშირორ ჟანგ ის
ჯილდოებს	ჯილდო ებს
ექსტერიერის	ექსტერი ერ ის
აღმოჩნდებოდა	აღმო ჩნდ ებოდა
ნაჰია	ნა ჰი ა
ყაზანის	ყაზ ან ის
გვიჩვენა	გვი ჩვენ ა
ვუდრო	ვ უდ რო
დარიცხვის	და რიცხვ ის
ცილის	ცილ ის
მილიგრამი	მილი გრამ ი
ზურგი	ზურ გ ი
ნარჩენია	ნა რჩენ ია
ხმარობენ	ხმარ ობ ენ
კომპანია	კომპანი ა
არყის	არყ ის
მოუვიდა	მოუ ვიდ ა
კანიონი	კანი ონ ი
ფრენკი	ფრენ კ ი
იხევს	ი ხევ ს
ჯორჯი	ჯორ ჯ ი
გაყოფა	გა ყოფ ა
შამილის	შა მილ ის
მუშნი	მუშ ნი
გარდაეცვალა	გარდაე ცვალ ა
მეცნიერებას	მეცნ იერებ ას
სტერლინგის	სტერლ ინგ ის
ბუკერის	ბუ კერ ის
სამეფოები	სამე ფო ები
სატრაპი	სა ტრაპ ი
აღთქმით	აღ თქმ ით
ილაშქრეს	ი ლაშქრ ეს
ალბათობას	ალბათ ობ ას
აგებულ	ა გებ ულ
კალიფორნიაში	კალიფორ ნი აში
შეინარჩუნონ	შეინა რჩუნ ონ
ფილმით	ფილმ ით
უარობდა	უ არ ობდა
მოუხდა	მო უხ და
უკეთესობა	უკეთ ეს ობა
წყვილების	წყვილ ების
ლექსიკონში	ლექს იკონ ში
გამრავლდა	გა მრავლ და
განდალფის	განდა ლფი ს
თანაც	თან აც
ლეო	ლე ო
რანგით	რან გ ით
სისტემატური	სისტემა ტ ური
ლიხაურის	ლიხა ურ ის
თბილისის	თბილ ის ის
შხამიანია	შხამ იან ია
ვინაობის	ვინა ობ ის
ჭაღარა	ჭ აღარა
ლაზარეს	ლაზ არ ეს
სანდერსის	სანდერ ს ის
სოჭში	ს ოჭ ში
მეამბოხეების	მეამბოხ ე ების
ბაუტისტა	ბაუტ ისტ ა
კობის	კ ობ ის
ჰყოფნიდა	ჰ ყოფ ნიდა
გააგრძელებს	გაა გრძელ ებს
ფსევდონიმი	ფსევდ ონიმ ი
ზოგმა	ზო გ მა
ტროიცკოეს	ტრო იცკო ეს
ჯემი	ჯე მ ი
გრეგორი	გრე გორი
მონიშნული	მო ნიშნ ული
ძანეტის	ძა ნეტ ის
კისრულობდა	კისრ ულობ და
შესაბამისობა	შესაბამ ისობ ა
გუნდით	გუნ დ ით
სპირალურ	სპირ ალ ურ
სცემდნენ	სცემ დნენ
დაჯილდოებულია	დაჯილდო ებ ულია
დაეშვნენ	და ეშვ ნენ
სნუპის	სნუ პ ის
ანგარიშს	ანგარიშ ს
სიგანე	სი გან ე
დედით	დ ედ ით
ადრიანეს	ად რიან ეს
შოტლანდიელთა	შოტ ლანდი ელთა
მოგონებანი	მო გონებ ანი
მერები	მ ერ ები
ცერემონიებს	ცერემონი ებს
რეიტინგის	რეიტინგ ის
გაერთიანებისათვის	გა ერთიანებ ისათვის
მიწურულსა	მიწურ ულ სა
ორგანულად	ორგან ულად
ვანგა	ვ ანგ ა
საუკუნეები	საუკუნე ები
სიდიდეებია	სიდიდ ე ებია
მუტაციის	მუ ტაცი ის
პომპეუსის	პომპე უს ის
უზრუნველყონ	უზრუნ ველყო ნ
ჯვაროსნების	ჯვარ ოსნ ების
შფოთვის	შფოთ ვ ის
მოწვევით	მო წვევ ით
შეღავათი	შეღავა თ ი
ჰაერიდან	ჰა ერ იდან
გარდაიქმნა	გარდაი ქმნ ა
მემკვიდრეობისათვის	მემკვიდრ ეობ ისათვის
სივრცით	სი ვრც ით
გასაკონტროლებლად	გასა კონტროლ ებლად
ქარხნის	ქარ ხნ ის
სადისკუსიო	სა დისკუსი ო
მიხეილის	მიხეი ლ ის
დაინტერესების	და ინტერესებ ის
ზონების	ზონ ების
გამოირჩევიან	გამო ირჩევ იან
ორატორია	ორ ატორ ია
ალპების	ალპ ებ ის
სიმინდს	სიმ ინდ ს
იულიანე	იულ იან ე
გახსნის	გა ხსნ ის
აღუთქვა	აღუ თქვ ა
გრიგორი	გრი გორ ი
მეტროპოლია	მეტ როპოლ ია
მოქმედებას	მოქმედებ ას
ტურნირი	ტურნირ ი
გაღიზიანებული	გა ღიზიანებ ული
აღმერთებდა	აღმ ერთებ და
გადაწყვეტილება	გადაწყვეტილ ებ ა
გზავნილი	გზავნილ ი
თესევსი	თეს ევს ი
ცოცხლობენ	ცოცხლ ობ ენ
რაფაელ	რაფა ელ
გამოძახილი	გამო ძახილი
დაკავებას	და კავებ ას
ლიდერი	ლი დერ ი
სხვადასხვაობას	სხვადა სხვაობ ას
ძალის	ძალ ის
უფროსი	უფ როს ი
კულტს	კულტ ს
მოსკიტების	მოსკ იტ ების
ვილას	ვილ ას
თავდასხმა	თავდას ხმ ა
მძღოლს	მძღოლ ს
ალკოჰოლური	ალკოჰოლ ური
წარადგენს	წარ ადგენ ს
იტალიურად	იტა ლი ურად
ციკლებს	ცი კლ ებს
ჟანრზე	ჟანრ ზე
გადაკეტეს	გადა კეტ ეს
ჰუტუს	ჰუ ტუს
დადებას	და დებ ას
იმედგაცრუებული	იმედგაცრუ ებ ული
დუშეთიდან	დ უშეთ იდან
ბაქსმა	ბაქ ს მა
გიტარებზე	გიტარ ებზე
თარგმანში	თარგ მან ში
ათონელი	ათ ონ ელი
შერბილდა	შე რბილ და
ჰიდროელექტროსადგური	ჰიდროელექტ როსადგ ური
გალერიუსი	გალერ იუს ი
პაროდია	პაროდ ი ა
გავაიგივოთ	გავაი გივ ოთ
ირიცხება	ირიცხ ებ ა
ბულზის	ბულ ზ ის
კორტესმა	კორ ტეს მა
პრეპარატი	პრე პარატ ი
ალიოშა	ალი ოშ ა
წისქვილში	წისქვ ილ ში
საგაზაფხულო	საგა ზაფხულ ო
კუდარო	კუ დ არო
წარწერიდან	წარ წერ იდან
ცხოვრებასა	ცხოვრებ ასა
ლეიბორისტულ	ლეიბორ ისტ ულ
ძებნისას	ძებნ ისას
ახმეტა	ახ მეტ ა
განვითარებადი	გან ვითარებ ადი
თარგმნილ	თარგმნ ილ
მაიკლის	მა იკლ ის
მოძრაობებისა	მო ძრაობ ებისა
ფეოდალების	ფეოდალ ებ ის
ფონ	ფონ
გამოუსადეგარი	გამოუსადე გარ ი
ინსტიტუტსა	ინ სტიტუტ სა
მუხლში	მუ ხლ ში
ნოეს	ნ ო ეს
ჩამკეტი	ჩამ კეტ ი
ვენახის	ვენა ხ ის
დეპუტატი	დეპუ ტატ ი
მსაჯი	მ საჯ ი
გარბოდნენ	გარ ბო დნენ
დასდევს	და სდევ ს
კოცონზე	კოც ონ ზე
წერა	წერ ა
წყობა	წყობ ა
ესხმიან	ე სხმ იან
განამტკიცებს	განა მტკიც ებს
პაპი	პა პ ი
ბეჭდავდა	ბეჭდ ავდა
გახსნამდე	გა ხსნ ამდე
გლდანისკენ	გლ დან ისკენ
პატრიკმა	პატრი კ მა
გიზო	გიზ ო
შესასწავლად	შესა სწავლ ად
ჩუმი	ჩუმ ი
სალამურა	სა ლამურ ა
საფინალო	სა ფინალ ო
ზაფხულზე	ზაფხულ ზე
თეოდორას	თეო დორ ას
მუნიციპალიტეტად	მუნიციპალ იტეტ ად
კვლევისას	კვლევ ისას
მელოდიას	მელო დი ას
გუმბათიანი	გუმბათ იანი
მწერლად	მწერ ლ ად
ნახავს	ნახავ ს
პოსტჰემორაგიული	პოსტჰემორა გი ული
დეტალების	დეტ ალ ების
იყინება	ი ყინ ება
ნიშს	ნი შ ს
ვიდეოს	ვიდეო ს
ვალდებულების	ვალდ ებულებ ის
უცნობ	უ ცნობ
ფირი	ფ ირ ი
ბავშვობაში	ბავშვ ობ აში
ვარდის	ვ არდ ის
თამაშებზე	თამაშებ ზე
შეცდომას	შეც დომ ას
სრული	სრულ ი
მაქსიმიანეს	მაქსიმ იან ეს
ჰერმანი	ჰერ მან ი
ბიძის	ბიძ ის
შიგთავსის	შიგ თავს ის
ნულზე	ნ ულ ზე
უოტსონის	უოტ სონ ის
ეფექტურობა	ე ფექტურ ობა
ლუიზიანის	ლუი ზიან ის
კოდი	კო დ ი
გადაყვანილი	გადა ყვანილ ი
არჩევანს	არ ჩევან ს
ბეიკერის	ბეი კერ ის
ერთპალატიანი	ერთ პალატ იანი
მოქცეულია	მო ქცეულ ია
შევარდნაძე	შევარდ ნაძ ე
ნებისმიერი	ნებ ისმიერ ი
კურსდამთავრებულები	კურსდამთავრ ებულ ები
გამოთქმების	გამო თქმ ების
პროლეტარულ	პროლეტ არ ულ
რევოლუციონერთა	რევოლუც იონერ თა
ხუანის	ხუან ის
ტარებას	ტარებ ას
მკლავი	მკლავ ი
ფერებს	ფერ ებ ს
ნიკ	ნიკ
დამეხმარებიან	დამე ხმარ ებიან
ტურისტებს	ტურის ტებ ს
ჩაწერამდე	ჩა წერ ამდე
მოზაიკის	მოზა იკ ის
ენტონი	ენ ტონ ი
დიმორფიზმი	დიმორფ იზმ ი
თარხუჯი	თარხ უჯ ი
მგზავრობა	მგზავრ ობ ა
განსაზღვრების	გან საზღვრ ების
მონასტერში	მონა სტერ ში
გრემ	გრე მ
დროს	დრო ს
თაღოვან	თაღო ვან
პუნტლენდის	პუ ნტ ლენდის
განასხვავებს	განა სხვავებ ს
გამოქცეული	გამო ქცეულ ი
ფლეიტაზე	ფლე იტ აზე
შესყიდვა	შე სყიდვ ა
ანდერძით	ანდერძ ით
სასამართლოებში	სა სამართლო ებში
დაბრკოლებას	და ბრკოლებ ას
ენახა	ე ნახ ა
შანსი	შან ს ი
რადიოში	რადიო ში
პეგი	პე გ ი
ზოგად	ზო გ ად
ჰოფმანი	ჰოფ მან ი
ვადით	ვად ით
მონაკოში	მონა კო ში
საქორწინო	სა ქორწინ ო
ინტერესს	ინტერეს ს
დაემტკიცებინა	დაე მტკიცებ ინა
გეომეტრიაში	გეო მეტრი აში
დამცავ	დამც ავ
უცნაური	უცნა ურ ი
გოლდბერგი	გოლდ ბერგ ი
არმიაში	არმი აში
იანოშ	იან ოშ
ეკრანს	ეკრ ან ს
საჭიროებს	სა ჭიროებ ს
ფიგურირებს	ფიგურ ირებ ს
სმით	სმი თ
ფინალი	ფინალ ი
გაჰქონდათ	გა ჰქონდ ათ
მიწაში	მი წ აში
პირობების	პირობებ ის
სნუკერისტების	სნუკერ ისტ ების
კინოფესტივალის	კინო ფესტივალ ის
თლის	თ ლ ის
ყდით	ყ დ ით
აღდგენილ	აღ დგენილ
გეშველება	გე შველ ება
უკანასკნელის	უკანა სკნელ ის
ამოიღეს	ამო იღ ეს
კავკასიიდან	კავკასი იდან
კუთვნილებად	კუთვნილ ებად
სამშობიარო	სა მშობია რო
თანახმადაც	თანა ხმ ადაც
ნაკვეთ	ნა კვეთ
დასძინა	და სძინ ა
ტბისა	ტ ბ ისა
მწყემსები	მ წყემს ები
ვალდებული	ვალდებულ ი
სამსახურის	სა მსახურ ის
ვეძიოთ	ვე ძი ოთ
ჯიუტი	ჯი უტ ი
ქარხანაში	ქარ ხანა ში
ბეწვის	ბე წვ ის
დანიელებმა	დანი ელ ებმა
გაიცემოდა	გა იცემ ოდა
აღწერილ	აღ წერილ
ბელორუსული	ბელო რუს ული
კანონზომიერება	კანონზომ იერებ ა
მდგომარეობდა	მდგომარე ობ და
ნელსონმა	ნელ სონ მა
ძალებისა	ძალ ებ ისა
დაწყებით	და წყებ ით
შანშიაშვილის	შანშია შვილ ის
კიმ	კ იმ
ლიტვა	ლი ტვ ა
მცდელობა	მცდ ელობ ა
კავკასიისა	კავკასი ისა
გენერალურმა	გენერ ალურ მა
აზრს	აზრ ს
კონფერენციამ	კონფერენცი ამ
დაგროვებული	და გროვებ ული
ნიჟარები	ნიჟ არ ები
მხოლობითი	მხო ლობ ითი
გაზრდის	გა ზრდ ის
დაუტოვეს	დაუ ტოვ ეს
ტიგრანმა	ტი გრან მა
შეიცნო	შე იცნ ო
გამარტივების	გა მარტივ ების
ვხედავთ	ვ ხედავ თ
ნაფიცი	ნა ფიც ი
ტრაქტატის	ტრაქტ ატ ის
ემიგრანტებმა	ემი გრანტ ებმა
პრინციპებით	პრინ ციპ ებით
პირველნი	პირველ ნი
ხალიჩის	ხალი ჩ ის
გაყალბების	გაყალბ ებ ის
თამაშს	თამაშ ს
შეაწუხა	შეა წუხ ა
რეჩ	რე ჩ
ზრდასრულობის	ზრდ ასრულ ობის
ხუნტის	ხუნ ტ ის
შუქურა	შუქ ურ ა
ჰელენ	ჰელ ენ
კრიპტოგრაფიულ	კრიპტო გრაფი ულ
ჩამოიტანა	ჩამო იტან ა
დაფარულია	და ფარ ულია
დაუშვეს	და უშვ ეს
დრამები	დრა მ ები
ფინალამდე	ფინალ ამდე
წერტილში	წერ ტილ ში
პოზიციიდან	პოზიცი იდან
ერნესტო	ერ ნესტ ო
როსიმ	რო სიმ
იმპერიაზე	იმპერი აზე
ბელორუსიის	ბელო რუს იის
მაისურაძე	მა ისურ აძე
ტყე	ტყე
ლუდი	ლუდ ი
იმდროის	იმ დრო ის
ყოველივე	ყოველი ვ ე
ქსოვის	ქსოვ ის
ატლანტის	ატლ ანტ ის
ეკოლოგიური	ეკ ოლოგი ური
ქრონოლოგიურად	ქრონ ოლოგი ურად
წარმოდგენილ	წარმო დგენილ
წარუდგენს	წარ უდგ ენს
შორი	შორ ი
მგზნებარე	მ გზნებ არე
ქვაში	ქ ვაშ ი
კომუნისტები	კომუნ ისტ ები
მარშალის	მარ შალ ის
აღნიშნულისა	აღ ნიშნულ ისა
ზეადამიანური	ზეა დამიან ური
დღესასწაულად	დღესასწაულ ად
ნაყოფიერებისა	ნა ყოფიერებ ისა
საქონელი	საქონ ელ ი
სპეციალურად	სპეცი ალურ ად
გამოყენებული	გამო ყენებ ული
დასჯილი	და სჯ ილი
ბილბო	ბილ ბო
ელენ	ელ ენ
დაგეგმა	და გეგმ ა
პროექტების	პროექტ ების
ფოლადი	ფო ლად ი
ფლანგზე	ფლ ანგ ზე
მწკრივის	მწკრი ვ ის
პალატაში	პალატ აში
ფაქტზე	ფაქტ ზე
შეეშალა	შეე შალ ა
შუახმელეთში	შუა ხმელეთ ში
შეფერილი	შე ფერილი
საუკუნეებში	საუკუნე ებში
პეისი	პე ისი
მდგომ	მდგომ
საგუნდო	სა გუნ დო
ბრძოლად	ბრძოლ ად
ელექტრო	ელექტ რ ო
მნიშვნელობების	მნიშვნ ელობ ების
ომშიც	ომ შიც
იკრძალებოდა	ი კრძალ ებოდა
ჭიქურის	ჭიქ ურის
მცირეწლოვანი	მცირე წლოვან ი
წევრობის	წევრ ობ ის
გაზურ	გა ზ ურ
დაბალმთიანი	და ბალ მთიანი
კარტოფილს	კარტო ფილ ს
ლენინგრადში	ლე ნინგრად ში
მოთამაშეები	მო თამაშე ები
ჭურვების	ჭურვ ების
სიდიდეების	სიდიდ ე ების
განათლება	განათლ ებ ა
ჯგუფებმა	ჯგუფ ებმა
ბანკირი	ბანკ ირი
ხელმოწერილი	ხელმო წერ ილი
ჰიდროგრაფიული	ჰიდრო გრაფი ული
აზრობრივი	აზრ ობრივ ი
ვირთხები	ვირ თხ ები
აიკიდოს	აიკიდ ო ს
ფანებმა	ფან ებმა
დამწყებ	დამ წყებ
ემხრობოდა	ემხრ ობ ოდა
აღიქვა	აღი ქვ ა
გააგდეს	გა აგდ ეს
წელთ	წ ელ თ
ჰაროლდ	ჰ არ ოლდ
შეწყალების	შე წყალ ების
იმიჯს	იმ იჯ ს
კარტოგრაფიის	კარტ ოგრაფი ის
ნიტრირება	ნიტრ ირებ ა
შვიდკაცა	შვიდ კაც ა
ფრანსის	ფრან ს ის
ანალიზი	ანალიზ ი
ზესტაფონი	ზესტა ფონ ი
როგორს	რო გორ ს
ერთმანეთისაგან	ერთ მანეთ ისაგან
პაექრობა	პაე ქრობ ა
ქვებად	ქვ ებ ად
გათხრებით	გა თხრ ებით
ესპანეთთან	ესპანე თ თან
სავსებით	სა ვსებ ით
ჩასულ	ჩა სულ
ჰონსიუს	ჰო ნს იუს
გამოძახების	გამოძახ ებ ის
სააკაშვილმა	სააკ აშვილ მა
ფილმებზე	ფილმ ებზე
სახეში	სახ ე ში
განალაგა	განა ლაგ ა
მოვდივართ	მო ვდივარ თ
ამინ	ამ ინ
გარეგნობის	გარეგნ ობ ის
წევრებით	წევრ ებ ით
გავლის	გა ვლ ის
არიადნეს	არიად ნ ეს
წილ	წ ილ
სუნამოების	სუნ ამო ების
სახეების	სახე ებ ის
საქმიანობით	საქმ იანობ ით
რჩეულმა	რჩეულ მა
ვიკიპედიაში	ვიკ იპედ იაში
ფილმში	ფილმ ში
სიზუსტითა	სი ზუსტ ითა
განხრა	გან ხრ ა
სწავლებაში	სწავლ ებ აში
ეტრურიაში	ე ტრ ურიაში
პეისერსმა	პე ისერ სმა
დასტოვა	დას ტოვ ა
აჟიოტაჟი	აჟიოტ აჟ ი
დახევას	და ხევ ას
ზალცბურგი	ზალც ბურგ ი
ამინომჟავები	ამინო მჟავ ები
განახლებას	განახლ ებ ას
მკვეთრი	მკვეთ რ ი
პათოლოგია	პათო ლოგი ა
ასაკამდე	ასა კ ამდე
იკითხება	ი კითხ ება
მოყვარულმა	მო ყვარულ მა
დამსახურებულად	და მსახურებ ულად
გარდ	გა რ დ
თეატრსა	თეატრ სა
ლირიზმით	ლირ იზმ ით
ქარავნები	ქარავნ ები
გაჩაღებულ	გა ჩაღებულ
გარეთ	გარეთ
მეცნიერებების	მეცნ იერებ ების
გალას	გა ლ ას
შესასვლელიდან	შე სასვლელ იდან
შენობებით	შენ ობ ებით
ქამელეონის	ქამე ლეონ ის
აეროპორტიდან	აერო პორტ იდან
ვარვარა	ვარ ვარ ა
ასამბლეას	ა სამბლე ას
რესტორან	რესტორ ან
ზეპირი	ზე პირ ი
ელოდათ	ელ ოდ ათ
მერმე	მერ მე
აგრესია	აგრე სი ა
კალენდრის	კალენდ რ ის
გამოვლენილი	გამო ვლენ ილი
ცნობილია	ცნობ ილ ია
ბჰუტანში	ბჰუ ტან ში
პროცესზე	პროცე ს ზე
ქალღმერთები	ქალ ღმერთ ები
აკრონიმი	აკრ ონიმ ი
წვრილ	წვრილ
დაემატება	და ემატ ება
დამონტაჟებული	დამო ნტაჟ ებული
ბიჭუნას	ბიჭუ ნ ას
იაგო	ი აგ ო
ქალაქ	ქალაქ
მიტროპოლიტ	მიტრო პოლიტ
ობიექტს	ობ იექტ ს
უღრმესი	უ ღრმ ესი
სამნიტებმა	სამნ იტ ებმა
განეწყო	გან ეწყო
ერია	ერი ა
მოუგეს	მო უგ ეს
თეოდორეს	თეო დორ ეს
კლუბი	კლ უბ ი
ოცნებაა	ოც ნებ აა
წარუდგინეს	წარუ დგინ ეს
კარპატებში	კარპატ ებ ში
ჯვარცმის	ჯვარ ცმ ის
მძღოლებს	მძღოლ ებს
სნეულებათა	ს ნეულ ებათა
ტურნე	ტურ ნე
ქანდაკებებს	ქანდაკ ებ ებს
შეხედულებების	შეხედ ულებ ების
მონადირე	მო ნადირე
კომედია	კო მედი ა
სამსაფეხურიანი	სამ საფეხურ იანი
ყრუა	ყრუ ა
წრიულად	წრიულ ად
ორგანიზმზე	ორგანიზმ ზე
წარმართვა	წარ მართვ ა
ჰარისონმა	ჰარ ისონ მა
ჩაღრმავება	ჩა ღრმავებ ა
არმადა	არმა და
კალთების	კალ თებ ის
ბანაკები	ბანაკ ები
კლასისა	კლას ისა
ოთხსაფეხურიანი	ოთხ საფეხურ იანი
ვერსალის	ვერსა ლ ის
ელემენტზე	ელემენტ ზე
საკითხებით	სა კითხ ებით
უდაბნოებს	უდაბნო ებს
ჭრილები	ჭრილ ები
გამოსასყიდად	გამო სასყიდ ად
შეუმჩნეველია	შეუ მჩნევ ელია
მანისის	მანის ის
ბანის	ბან ის
ლუკა	ლუკ ა
გალბას	გა ლბ ას
სოფლებისა	სოფლ ებ ისა
გარდაცვალებისას	გარდაც ვალებ ისას
წრფივად	წრფ ივ ად
ანუ	ა ნ უ
გარინჩას	გარი ნჩ ას
მრავალფეროვან	მრავალ ფეროვან
მარილიანობის	მარილ იან ობის
მსმენელი	მსმენ ელ ი
ცუდია	ც უდ ია
მოტივების	მო ტივ ების
ნაგებობის	ნაგებ ობ ის
საინვესტიციო	საი ნვესტიცი ო
რთავდნენ	რთავ დნენ
სევერუსი	სევე რუს ი
პირობებში	პირობებ ში
სიახლოვეს	სი ახლოვ ეს
სოკოლუ	სო კო ლუ
პირთან	პირ თან
რომანოვი	რომა ნოვ ი
შუბლს	შუ ბლ ს
მართლმადიდებელ	მართლმადიდ ებელ
ურთიერთ	უ რთიერთ
ფირფიტისებრი	ფირფიტ ისებრი
ჭაბუკი	ჭა ბუკ ი
ცოცხალი	ცო ცხალ ი
სათნოება	სათნო ებ ა
ვეფხვები	ვეფ ხვ ები
ევროპისა	ევრო პ ისა
ნიმუშია	ნიმუშ ია
შერქმეული	შე რქმე ული
შეხამება	შე ხამებ ა
იურისტის	იური სტ ის
ანის	ან ის
მოსული	მოს ულ ი
დედამიწამდე	დედა მიწ ამდე
ნოისი	ნო ის ი
გადმოიღო	გადმო იღ ო
მწარმოებელი	მწარმო ებელ ი
ნათქვამი	ნა თქვამ ი
გოგოებს	გოგ ო ებს
ზემფირა	ზემფ ირ ა
ხუროთმოძღვარი	ხუროთმო ძღვარ ი
სასახლიდან	სა სახლ იდან
თხოვნით	თხოვნ ით
თრგუნავს	თრგუნ ავს
კონსერვატორების	კონ სერვატორ ების
ალბომია	ალბომ ია
ტყვიამ	ტყვ ი ამ
ჰიტლერმა	ჰიტლერ მა
კარით	კარ ით
აგროვებს	ა გროვებ ს
სპორტსმენის	სპორტ სმენ ის
ტრაპიზონის	ტრაპი ზონ ის
ნიღაბს	ნი ღაბ ს
დინარი	დინარ ი
ოჰრიდის	ოჰ რიდ ის
ჯულია	ჯულ ი ა
ტრანსპორტში	ტრანსპორტ ში
პლატონი	პლატონ ი
გიტარის	გიტარ ის
შეურაცხყოფილი	შეუ რაცხ ყოფილი
ყლაპავს	ყლაპა ვ ს
არხებით	არხ ებით
ტახტისათვის	ტა ხტ ისათვის
ღვთისმსახურება	ღვთისმსახურ ება
არჩევამდე	ა რჩევ ამდე
უჯრედებში	უჯრედ ებში
ლაპარაკობენ	ლაპარაკ ობ ენ
მერქნიანი	მერ ქნ იანი
ფუნქციონირებს	ფუნქციონ ირ ებს
დაჭიმულობა	და ჭიმულ ობა
მოაშორა	მო აშორ ა
ვენცელი	ვენ ცელ ი
ავადმყოფის	ავადმყოფ ის
ემსგავსება	ე მსგავს ება
სარაიონო	სა რაიონ ო
საფლავთან	სა ფლავ თან
სიტყვებმა	სი ტყვ ებმა
ხუანა	ხუან ა
ღვთისადმი	ღვთის ადმი
უმთავრეს	უმთავრ ეს
შემეცნებითი	შე მეცნ ებითი
შენადნობები	შენა დნობ ები
დაოჯახებულია	და ოჯახ ებულია
გამოტანილი	გამო ტანილ ი
განთქმულ	განთქმულ
მიდგომამ	მი დგომ ამ
ფრენენ	ფრენ ენ
ისლანდიის	ის ლანდი ის
გააფორმეს	გაა ფორმ ეს
ევაკუაციის	ევაკუ აცი ის
აფხაზეთი	აფხაზ ეთ ი
ასტონ	ას ტონ
ნეტსის	ნეტ ს ის
კლერკად	კლე რ კად
ახდა	ა ხდ ა
თარჯიმნის	თარჯიმ ნ ის
ჭამდნენ	ჭამ დნენ
იწვნია	ი წვ ნია
დასუსტების	და სუსტებ ის
ვიურტემბერგის	ვიურტემ ბერგ ის
ინტერვალში	ინტერ ვალ ში
მცენარეული	მცენარ ე ული
იკლებდა	იკლ ებდა
იქაური	იქა ურ ი
მოიხატა	მოი ხატ ა
ენტები	ენტ ები
ლანას	ლან ას
ბაქრაძემ	ბაქ რაძ ემ
აჯანყებამ	აჯანყ ებ ამ
მწყობრიდან	მწყობ რ იდან
გააუპატიურა	გაა უპატიურ ა
ელექტროდების	ელექტ რ ოდების
პაველ	პა ველ
სკდება	სკ დება
ქედებით	ქ ედ ებით
მოსულმა	მო სულ მა
გადაიცემა	გადა იცემ ა
გაჩნდა	გა ჩნდ ა
მოთხოვნილებების	მოთხოვნილ ებ ების
შეარყია	შე არყ ია
გარკვევით	გა რკვევ ით
პატრონის	პატრონ ის
მინდვრებზე	მინდვრ ებ ზე
პრაისის	პრა ის ის
იმქვეყნიური	იმქვეყნ იურ ი
გერმანიამ	გერმანი ამ
დოგმის	დო გმ ის
კომპარტიის	კომ პარტი ის
შეკრებებზე	შე კრებ ებზე
ლოპესის	ლოპ ეს ის
ტკიპების	ტკი პ ების
პასუხი	პასუხ ი
ანჯელესში	ანჯელ ეს ში
მენეჯმენტს	მენეჯ მენტ ს
შეტაკებების	შეტაკ ებ ების
კეპლერი	კე პლერ ი
კონანი	კონ ან ი
უშვილობის	უ შვილ ობის
წევრებთან	წევრ ებთან
ტრადიციას	ტრადიცი ას
გეოგრაფთა	გე ოგრაფ თა
მოჰყვება	მო ჰყვ ება
ამოფრქვევის	ამო ფრქვევ ის
ნამრავლი	ნა მრავლ ი
ერთხანს	ერთ ხან ს
დიზაინზე	დიზაინ ზე
ლეონიდე	ლეონ იდე
ბაზაში	ბაზ აში
კუპერი	კუ პერ ი
მაყვალა	მა ყვ ალა
აირი	ა ირ ი
მიწვევა	მი წვევ ა
სიმბოლოებს	სიმ ბოლო ებს
სოციოლოგები	სოცი ოლოგ ები
გამომხატველია	გამომხატვ ელ ია
დევიდის	დე ვიდ ის
დირექტორია	დი რექტორ ია
მოუწოდებდნენ	მოუ წოდებ დნენ
გადაჭრის	გადა ჭრ ის
ძალური	ძალ ური
დაზიანებები	და ზიანებ ები
ბეის	ბე ის
გაუმკლავდნენ	გაუ მკლავ დნენ
წარუმატებლობის	წარუმატ ებლობ ის
ბოკაჩო	ბოკა ჩო
ჰპოვა	ჰ პოვ ა
სიხშირით	სი ხშირ ით
მოადგნენ	მო ადგ ნენ
ბრტყლად	ბრტყ ლ ად
გადასაადგილებლად	გადასა ადგილ ებლად
პოპულარობისა	პოპულარ ობ ისა
დაჯილდოება	დაჯილდო ებ ა
აგური	ა გურ ი
განხილულია	განხილ ულ ია
კალთებით	კალ თებ ით
ნახატების	ნა ხატ ების
ნელ	ნელ
შეანელა	შეან ელ ა
