გამოსხივება	გამო სხივებ ა
კავალიერსი	კავალი ერს ი
სარკმელია	სა რკმელ ია
იზეიმა	ი ზეიმ ა
ჰიურემ	ჰ იურ ემ
მიქა	მი ქ ა
ეკიპაჟი	ეკიპ აჟ ი
თამარმა	თა მარ მა
პლანეტები	პლანეტ ები
ზიქურათი	ზიქურ ათ ი
ჩასახვა	ჩა სახვ ა
ფოსოს	ფოს ო ს
დაჯილდოებული	და ჯილდოებ ული
არქიპელაგში	არქიპე ლაგ ში
თავგადასავლები	თავგადასავლ ები
ნირი	ნ ირ ი
მოიზიდა	მო იზი და
იაპონელმა	იაპონ ელ მა
ფოკუსირება	ფოკუს ირებ ა
შეკუმშული	შე კუმშ ული
თესევსმა	თეს ევს მა
ორიენტირებულ	ორიენტ ირებ ულ
ჩილელი	ჩი ლე ლი
ჯდომის	ჯდომ ის
ინერტული	ინ ერტ ული
მთიანი	მთი ან ი
მკურნალობა	მკურნალ ობ ა
სიდიდისაა	სი დიდ ისაა
მოიტოვა	მოი ტოვ ა
კოჭებზე	კო ჭ ებზე
ორსართულიანია	ორსა რთულიან ია
ქმედებას	ქმე დებ ას
მაჭუტაძე	მა ჭ უტაძე
მყისვე	მყისვე
რეპუტაციის	რეპუტ აც იის
შვილ	შვილ
მტკვარში	მტკ ვარ ში
ჯილდოები	ჯილდო ები
პიტიახშთა	პი ტიახ შთა
პორტუში	პორტ უ ში
გუსტავ	გუსტა ვ
ექსპედიციას	ექსპედიცი ას
ითხოვდა	ითხოვ და
განმარტების	განმარტ ებ ის
სამწერლობო	სა მწერლობ ო
სინგაპურის	სინგაპ ურ ის
ზნეობრივი	ზნე ობრივ ი
რევოლუცია	რ ევოლუცი ა
წარმოქმნიან	წარმო ქმნ იან
განდგომის	გან დგომ ის
სამებას	სამ ებ ას
ბასკი	ბა სკ ი
რადიუსის	რადი უს ის
საქმიანობის	საქმ იანობ ის
ადგენდნენ	ადგენ დნენ
ბურღვა	ბურ ღვ ა
პარკერი	პარ კერ ი
იქ	იქ
ფიგურის	ფი გურ ის
იერარქიულად	იერ არქი ულად
მხედრობამ	მხედ რობ ამ
იმუშავეს	ი მუშავ ეს
პაციენტი	პა ციენტ ი
საკავალერიო	სა კავალერი ო
კონტრაქტის	კონტრაქტ ის
დუშ	დუ შ
მილიმეტრიანი	მილი მეტრ იანი
ჩრდილო	ჩრდილ ო
ინტერმა	ინტერ მა
წყობის	წყობ ის
ირანელები	ირ ანელ ები
მთლიან	მთლ იან
ცივად	ცი ვ ად
წითელმა	წითელ მა
ზოლს	ზ ოლ ს
მიჩნეული	მ იჩნე ული
გართობა	გა რთობ ა
მათდამი	მა თ დამი
წარმატებულ	წარ მატებ ულ
ხვრელს	ხვრე ლ ს
ოლგა	ოლ გ ა
მტრებმა	მ ტრ ებმა
ფარაონმა	ფარა ონ მა
ეროზიის	ერო ზი ის
მეტრიდან	მეტრ იდან
ხელმოწერა	ხელმო წერ ა
თიხოვანი	თი ხ ოვანი
მეტამორფულ	მეტა მორფ ულ
მუხისა	მუხ ისა
საკონსტრუქტორო	სა კონსტრუქტ ორო
უზენაესობას	უზენა ეს ობას
ომით	ომ ით
გარყვნილი	გარყვ ნი ლი
დასასრულის	და სასრულ ის
თანამდებობა	თანამდებ ობ ა
ავღანელი	ავღ ანელ ი
ბირთვს	ბი რთვ ს
ფილოსოფიური	ფილ ოსოფი ური
ერესის	ე რეს ის
სამხედროებმა	სა მხედრო ებმა
ეთერი	ეთერ ი
დაეცეს	და ეც ეს
ფრთებზე	ფრთ ებზე
გეი	გე ი
საკონცერტო	სა კონცერტ ო
ნაცნობია	ნა ცნობ ია
საქმემ	სა ქმე მ
დიფერენციალურ	დიფერ ენციალ ურ
გადაწყვეტილებები	გადაწყვეტ ილებ ები
განწყობილნი	გან წყობილ ნი
სახელმწიფოსგან	სახელმწიფო ს გან
ძალადაკარგულად	ძალადა კარგ ულად
წახნაგოვანი	წახნაგ ოვანი
დირიჟორად	დირიჟორ ად
ნერონის	ნე რონ ის
ღვთისმსახურებას	ღვთისმ სახურ ებას
ბენქსი	ბენ ქს ი
გამოგზავნილი	გამო გზავნ ილი
ადამიანების	ადამიან ებ ის
ეთიოპელი	ეთიოპ ელ ი
გათავისუფლებულია	გათავისუფლებ ულ ია
ხაზინის	ხაზ ინ ის
ზეახლის	ზე ახლ ის
დაიყოფა	დაი ყოფ ა
გაწვრთნილი	გა წვრთნ ილი
გვირგვინოსანი	გვირგვინ ოსანი
გაგებაში	გა გებ აში
ედვარდს	ედ ვარდ ს
დაქორწინებულია	და ქორწინებ ულია
ბრაზილიასა	ბრაზ ილი ასა
თვიდან	თვ იდან
ამადეო	ამა დე ო
გაუჭირდა	გაუ ჭირ და
გუბერნიად	გუბერნი ად
ნაწერია	ნა წერ ია
ურუგვაის	ურუ გვა ის
დამკვირვებლის	და მკვირვებლ ის
შეატყობინა	შეა ტყობინ ა
ინგლისელთა	ინგლის ელ თა
გეოლოგიის	გე ოლოგი ის
ქირაობდა	ქ ირ აობდა
ექვთიმე	ექვთ იმ ე
მიღებასთან	მი ღებ ასთან
იშვიათი	იშვიათ ი
განმსაზღვრელი	გან მ საზღვრელი
ჩახატული	ჩა ხატ ული
ისრით	ის რ ით
ტოტებით	ტო ტ ებით
ძირზე	ძირ ზე
კვებავს	კვებ ავს
სტაბილურობის	სტა ბილურობ ის
ლარსონის	ლარ სონ ის
სამდივნო	სამდივნ ო
არქტიკაში	არქტიკ აში
იასონმა	ია სონ მა
მუშაკის	მუშ აკ ის
ღირსშესანიშნაობების	ღირსშესა ნიშნაობ ების
ჯადოქარს	ჯადო ქარ ს
იკვლევენ	ი კვლევ ენ
ერქვათ	ერქვა თ
იჭერდნენ	ი ჭერ დნენ
მკვრივი	მ კვრივ ი
შარლი	შარ ლ ი
მთავართან	მთავარ თან
შეჯვარება	შეჯვარ ებ ა
პოლონეთი	პოლონ ეთ ი
ჯადოქრის	ჯადო ქრ ის
ჰიდროლოგიური	ჰიდრო ლოგი ური
ტერიტორიებს	ტერიტორი ებ ს
მოხდის	მო ხდ ის
სერხიო	სერხი ო
აღიკვეცა	აღი კვეც ა
მდებარეობას	მდებარე ობ ას
გადანაწილება	გადა ნაწილებ ა
ფლავიუსების	ფლავ იუს ების
წყვეტენ	წყვეტ ენ
იჭიმება	იჭი მ ება
მიიწვია	მი იწვი ა
გაიტაცებს	გა იტაც ებს
წალენჯიხის	წალენჯი ხ ის
ამოფრქვევას	ამო ფრქვევ ას
იდეოლოგიას	იდე ოლოგი ას
თავისუფლების	თავისუფლებ ის
ბიტს	ბიტ ს
ტოსკანის	ტოს კან ის
ბაზაა	ბაზა ა
ბუგენვილის	ბუგენ ვილ ის
შექმნისას	შე ქმნ ისას
სტროფში	სტრო ფ ში
მეტეორიტის	მეტეორ იტ ის
კამათში	კამათ ში
კონცეფციების	კონცე ფცი ების
მოკავშირეები	მო კავშირე ები
ჯარისკაცით	ჯარის კაც ით
დაღი	და ღ ი
მიემართა	მი ემართ ა
სხვაზე	ს ხვ აზე
ლოგო	ლო გო
პასუხისმგებელი	პასუხის მგებელ ი
ჟღერადობასთან	ჟღერ ადობ ასთან
ველი	ველ ი
გოლად	გოლ ად
ჩაპლინმა	ჩაპ ლინ მა
ძეგლი	ძეგლ ი
აღიარებენ	ა ღიარებ ენ
თორელთა	თ ორ ელთა
ნამარხი	ნა მარხ ი
სალონის	სა ლონ ის
მოძრაობას	მოძრა ობ ას
ასტრონავტი	ასტრ ონავტ ი
პროცენტით	პრო ცენტ ით
წერილობით	წერილ ობით
გავითვალისწინებთ	გავ ითვალისწინ ებთ
აზოტი	აზოტ ი
კონცერტების	კონცერტ ების
კენკრა	კენ კრ ა
არავითარ	არა ვითარ
დარუბანდის	დარუბ ანდ ის
კანდიდატის	კანდიდატ ის
სამართლიანობის	სამართლ იანობ ის
მოთხოვნილი	მო თხოვნ ილი
საკვებად	სა კვებ ად
სტაგნაციის	სტაგნ აცი ის
წარმოიშობა	წარმო იშ ობა
ოდესღაც	ოდეს ღაც
იტალიას	იტალი ას
გზაზეა	გზ აზეა
ჩურჩხელების	ჩურჩ ხელ ების
მრისხანების	მრის ხან ების
არაბული	არა ბულ ი
დასს	და ს ს
ჰქვიათ	ჰ ქვ იათ
ბუნდესლიგაში	ბუნდეს ლიგ აში
დაბურულ	და ბ ურულ
ნისკარტით	ნისკარ ტი თ
თარგმნეს	თარგმნ ეს
საავადმყოფოები	საავად მყოფო ები
შეცდომაში	შეცდ ომ აში
აღმოჩენებს	აღმო ჩენ ებს
მოუვიდათ	მოუ ვიდ ათ
სამახსოვრო	ს ამახსოვრ ო
ევროკავშირთან	ევრო კავშირ თან
ჯვრისა	ჯ ვრ ისა
არაბულ	არა ბულ
მოუწოდა	მოუ წოდ ა
არანჟირებული	არანჟ ირებ ული
ავრცელებს	ა ვრცელებ ს
მიზნებით	მიზნ ებ ით
ვაკეს	ვა კე ს
გალაქტიკების	გალ აქტიკ ების
ყუამილიანი	ყუამ ილ იანი
დაუნგრევიათ	დაუ ნგრევ იათ
ბარათაშვილი	ბარათ აშვილ ი
ჰაბსბურგის	ჰაბს ბურგ ის
პატიმრობიდან	პატიმრობ იდან
ოლქსა	ოლ ქ სა
ნიშნავდა	ნიშნავ და
ხარჯავს	ხარჯ ავს
თხემები	თხ ემ ები
ხეობა	ხ ეობ ა
ეტა	ეტ ა
გაიყვანა	გა იყვან ა
ღარი	ღარ ი
საიათნოვას	საიათ ნოვ ას
წისქვილის	წისქ ვილ ის
აღედგინა	აღე დგინ ა
სასიყვარულო	სასი ყვარულ ო
შემქმნელი	შემ ქმნელ ი
პრეზიდენტობის	პრეზიდენტ ობის
მხარში	მხარ ში
ბუნებრივად	ბუნებრივ ად
უყიდა	უ ყიდ ა
ქორწინებისთვის	ქორწინებ ისთვის
დაეტოვებინა	დაე ტოვ ებინა
ზღვასა	ზღვ ასა
ქორწინებით	ქორწინებ ით
კოსმიური	კოსმ ი ური
მედიკამენტების	მედიკა მენტ ების
რეფერენდუმზე	რეფერენდ უმ ზე
ჩრდილოეთით	ჩრდილო ეთ ით
ბაზრობა	ბაზ რობ ა
განეკუთნება	გა ნეკ უთნება
პათოლოგიური	პათ ოლოგი ური
ფეხის	ფეხ ის
ფირის	ფი რ ის
ურთიერთკავშირი	ურთიერთ კავშირ ი
უჯარმაში	უჯარ მ აში
ლიდერობდა	ლიდერ ობ და
სამაზრო	სამ აზრ ო
თანხლება	თან ხლებ ა
ზეიმზე	ზეიმ ზე
მომატებული	მო მატებ ული
წარმომადგენელთან	წარმომა დგენელ თან
კორპორაციაში	კორპორ აცი აში
სელევკიდების	სელევ კიდებ ის
უკეთებენ	უ კეთებ ენ
წარმოშობილი	წარმო შობილ ი
გადადიოდა	გადა დიო და
კერიკი	კერ იკ ი
იბრძვის	ი ბრძვ ის
ცვლილებებით	ცვლილ ებ ებით
დაგროვება	და გროვებ ა
ხარკოვის	ხარ კოვ ის
ხოჯა	ხ ოჯ ა
საფეხური	საფეხ ურ ი
აფხაზეთიდან	აფხაზ ეთ იდან
გამოსაცემად	გამო საცემ ად
ალგებრულ	ალგებ რ ულ
მართლმორწმუნე	მართლმო რწმუნ ე
სანაპიროებთან	სანაპირ ო ებთან
წინააღმდეგობრივია	წინააღმდეგ ობ რივია
იაფია	ი აფ ია
თამაშიანი	თამაშ იანი
მანჰეტენის	მანჰეტე ნ ის
მიყენება	მი ყენებ ა
წინამორბედთან	წინამორ ბედ თან
დააკავშიროს	დაა კავშირ ოს
პაქტს	პა ქტ ს
შეგუება	შე გუებ ა
ოლქებად	ოლ ქ ებად
რისამე	რ ისამე
იდეები	იდე ები
ზმნას	ზმ ნ ას
გაიზიარეს	გაი ზიარ ეს
პაულისტას	პაულ ისტ ას
ქულის	ქ ულ ის
საზომი	სა ზომ ი
მესამეზე	მესა მე ზე
დანიშვნას	და ნიშვნ ას
ვილსონის	ვილ სონ ის
სულთნად	სულთ ნ ად
პინკ	პინ კ
წარსულ	წარ სულ
გახდიდა	გა ხდიდ ა
გაეზარდათ	გაე ზარდ ათ
გალიციის	გა ლიცი ის
ისტორიებით	ისტორი ებით
ბასილ	ბას ილ
ნანო	ნა ნ ო
გადაიხადა	გადა იხად ა
შეუძლოდ	შე უძლ ოდ
მაკედონელებს	მაკედონ ელ ებს
როჯერსს	რო ჯერს ს
კრივის	კრი ვ ის
შაჰმა	შაჰ მა
კოლხურ	კოლ ხ ურ
გამოსასვლელი	გამო სასვლელ ი
მოიძებნება	მოი ძებნ ება
არმსტრონგი	არმსტრო ნგ ი
შეწყვეტა	შე წყვეტ ა
დეტროიტ	დეტრო იტ
გადაარქვა	გადა არქვ ა
ნომინაციები	ნომინაცი ები
მარდუქის	მარდ უქ ის
სოფიკო	სო ფი კო
არალეგალურად	არალეგ ალურ ად
მოწინააღმდეგეს	მოწინააღმდეგ ე ს
სიმრავლის	სი მრავლ ის
რებინი	რებ ინ ი
ქრონოლოგიური	ქრონ ოლოგი ური
თითები	თით ები
გატაცებას	გა ტაცებ ას
სცემდა	სცემ და
ტყუილი	ტყუ ილ ი
აკვირდება	აკვირდებ ა
სამასი	სა მას ი
სამმართველოში	სამმართ ველო ში
პოლიტიკასა	პოლიტიკ ასა
წარმომავლობისა	წარმო მავლობ ისა
ბოდენის	ბო დენი ს
ნაციონალურმა	ნაციონ ალურ მა
ბუბლეი	ბუ ბლე ი
სიგრძისა	სი გრძ ისა
ქრისტიანებმა	ქრისტიან ებმა
მარილიანობა	მარილ იანობ ა
უვლის	უ ვლი ს
იხდიან	იხ დი ან
ზეახალი	ზეა ხალი
კონვერტის	კონვ ერტ ის
ჰარმონიულ	ჰარმო ნი ულ
ფინეთის	ფინ ეთ ის
ციხესთან	ცი ხე სთან
ბლექი	ბ ლექ ი
ევროპიდან	ევრო პ იდან
უქმდებოდა	უქმ დებ ოდა
შთაგონებული	შთა გონებ ული
ფრონტიდან	ფრონ ტ იდან
მიტროპოლიტი	მიტრო პოლიტ ი
ჩრდილოეთს	ჩრდილო ეთ ს
იურისპრუდენციის	იურისპ რ უდენციის
ნაგებ	ნა გებ
დაარბიეს	და არბი ეს
კაჭარავა	კ აჭარ ავა
გვალვიან	გვა ლვ იან
რეპის	რე პ ის
ფრანგულენოვანი	ფრანგულ ენოვანი
ნაციონალისტები	ნაციონ ალისტ ები
დაუყოვნებლივ	დაუ ყოვნებ ლივ
მონაწილეებმა	მო ნაწილე ებმა
ღრუბლოვანი	ღრუ ბლ ოვანი
ფავორიტი	ფავორ იტ ი
ძირამდე	ძირ ამდე
დისერტაცია	დისერტაცი ა
ნიადაგური	ნიად აგ ური
ქართველთათვის	ქართველ თათვის
კარის	კარ ის
ყოფიერება	ყოფიერებ ა
მიტოვებულ	მი ტოვებ ულ
ასეა	ა სე ა
ახალგაზრდათა	ახალგა ზრდ ათა
ფირფიტას	ფირფიტ ას
პრემიების	პრ ემი ების
ხაფანგში	ხაფ ანგ ში
გამავალ	გა მავალ
ექვსასი	ექვს ასი
ასპარეზი	ასპარეზ ი
ამოწევის	ამო წევ ის
გამგე	გამ გე
დასახლებების	და სახლებ ების
პუნქტებს	პუ ნქტ ებს
ციფრს	ცი ფრ ს
წინააღმდეგობამ	წინააღმდეგ ობ ამ
მოიგებს	მო იგ ებს
გაითვალისწინა	გა ითვალისწინ ა
რიგად	რიგ ად
ჰოლმზის	ჰოლმ ზ ის
პოლკოვნიკმა	პოლკ ოვნიკ მა
თავდაპირველი	თავდა პირველ ი
გადაღებებზე	გადა ღებ ებზე
უნარიც	უ ნარ იც
გადმოცემით	გადმო ცემ ით
შემოგარენის	შემოგარე ნ ის
ბუმბულით	ბუმ ბულ ით
ხისგან	ხ ისგან
რიცხვების	რიცხვ ების
ოდესმე	ოდეს მე
პაუერ	პა უ ერ
აბსოლუტიზმი	აბსოლუტ იზმ ი
უდგება	უდ გებ ა
უკმარისობით	უკმარ ისობ ით
გასაზომად	გასა ზომ ად
გვერდში	გვერდ ში
დააკავა	დაა კავ ა
აქსესუარები	აქსესუ არ ები
სახის	სა ხ ის
წაგებულ	წა გებ ულ
მგზავრები	მგზავრებ ი
სურნელოვანი	სურ ნელ ოვანი
რესტავრაცია	რესტავრაცი ა
არტილერიით	არტილერი ით
დამახასიათებელ	დამ ახასიათებელ
გადმოცემის	გადმო ცემ ის
დამწერლობას	და მწერლობ ას
ელექტრობის	ელექტრ ობ ის
ერთგულებით	ერთგულ ებ ით
კიდეზე	კიდ ე ზე
ციხეთა	ცი ხე თა
გაიცნეს	გაი ცნ ეს
შეიცავდეს	შე იცავ დეს
გაისტუმრა	გაი სტუმრ ა
გავიგოთ	გა ვიგ ოთ
ლოს	ლო ს
გიული	გი ული
დასუსტებული	და სუსტებ ული
ვაჭრობისა	ვაჭრობ ისა
ზრდიან	ზრდ იან
კონცერტი	კონცერტ ი
დასაწყისით	დასა წყ ისით
ბიუსტი	ბი უსტ ი
იზამ	იზ ამ
ორნამენტები	ორნა მენტ ები
სულზე	ს ულ ზე
შესამჩნევი	შესა მჩნევ ი
ჩართულობის	ჩა რთულობ ის
ჯუდი	ჯ უდ ი
ეჩვენება	ე ჩვენებ ა
ობსერვატორიაში	ობსერვ ატორი აში
სვანურად	ს ვან ურად
იუვემ	იუ ვე მ
მუჰამედ	მუჰა მედ
ციხესიმაგრეთა	ციხესი მაგრე თა
ქავთარ	ქავ თარ
განსახილველად	განსა ხილველ ად
ერთდება	ერთ დება
ზენდების	ზენ დებ ის
იუდას	ი უდ ას
ნარუტო	ნარ უტო
მანძილზე	მან ძილ ზე
ექსპოზიციის	ექს პოზიცი ის
წლისაც	წლ ისაც
აჟღერდა	ა ჟღერ და
ტიპი	ტი პ ი
კვირას	კვირ ას
უნგრელები	უნგრ ელ ები
რაზეც	რა ზეც
თალუსი	თა ლ უსი
სინგლში	სინგ ლ ში
უიზარდსი	უიზარდ სი
ატომებისაგან	ა ტომ ებისაგან
წარმომადგენელმა	წარმომა დგენელ მა
ვუდი	ვ უდ ი
მოუწოდებენ	მოუ წოდებ ენ
მაპატიე	მა პატი ე
ნელსონის	ნელ სონ ის
გააკრიტიკა	გაა კრიტიკ ა
თინეიჯერ	თინეი ჯერ
ფენა	ფენ ა
კედლის	კედ ლ ის
ნამუშევრები	ნამუშევრ ებ ი
ინტერვიუებით	ინტერ ვიუ ებით
თარიღი	თარიღ ი
რეალობა	რეალ ობა
დაფის	დ აფ ის
ივლისიდან	ივ ლის იდან
მეცნიერთათვის	მეცნიერ თათვის
ნახეს	ნახ ე ს
ფილიპინებზე	ფილიპ ინ ებზე
შემსწავლელ	შემ სწავლელ
საყრდენს	სა ყრდენ ს
ცვალებადი	ცვალ ებად ი
ახალუხი	ახალ უხ ი
თამაშია	თამაშ ია
კამარა	კა მარ ა
პატარები	პატარ ები
ასობით	ას ობ ით
ჩინეთსა	ჩინ ეთ სა
ენეოლითის	ე ნეოლით ის
რუალას	რუ ალ ას
ნო	ნო
საგუბერნატორო	საგუბერნატორ ო
მოთავსებულია	მო თავსებ ულია
ამაღლებას	ა მაღლებ ას
პასუხების	პასუხ ების
საუბრობენ	საუბრ ობ ენ
მენტორი	მენტ ორი
ღმერთისა	ღმერთ ისა
ჩაახშო	ჩაახ შ ო
ლენა	ლე ნ ა
გიორგიმ	გიო რგ იმ
ნასაკირალის	ნასაკირ ალ ის
რეგიონიდან	რეგიონ იდან
ვირტუალურ	ვირტუ ალურ
ეტყობოდა	ეტყ ობ ოდა
ხმელეთი	ხმელეთ ი
ჯვაროსნულ	ჯვარ ოსნ ულ
პეტერ	პე ტ ერ
დაცლილი	და ცლ ილი
კანონთა	კანონ თა
დიკი	დი კ ი
წარმატებისა	წარ მატებ ისა
ლეონარდომ	ლეონ არდ ომ
იგლუს	ი გლუ ს
გლეხობის	გლეხ ობ ის
ლიტერატურაზე	ლიტერატურ აზე
დედამისმა	დედ ამის მა
უოლტერ	უ ოლტ ერ
როგორებიც	რო გორ ებიც
მარმა	მარ მა
მღვდლებს	მღვდ ლ ებს
იარაღების	იარაღებ ის
პიესაზე	პი ეს აზე
ექვემდებარებოდა	ე ქვემდებარებ ოდა
აკმაყოფილებდა	ა კმაყოფილ ებდა
განიხილეს	განი ხილ ეს
პროვინციებიდან	პროვინცი ებ იდან
რაკეტა	რა კეტ ა
კომბინაციაა	კომბინაცი აა
კერკეტი	კერ კეტ ი
უზრუნველყოფენ	უზრუნველ ყოფ ენ
შხამიან	შ ხამ იან
რანჩო	რა ნჩ ო
ნათესაობას	ნათესა ობ ას
გლეხებს	გლეხ ებს
სპურსი	სპურ ს ი
მატლების	მატ ლ ების
აჯანყებულების	აჯანყ ებულ ების
გვქონდა	გვ ქონდ ა
ტერბიუმი	ტერ ბიუმ ი
დანახვაც	დანახ ვ აც
განადგურდეს	გა ნადგურ დეს
ლარიქსის	ლარ იქს ის
ოპერისა	ოპერ ისა
რეზერვები	რეზერვ ები
გამოსვლისას	გამო სვლ ისას
პროგრესულად	პრო გრეს ულად
ნახვაც	ნა ხვ აც
გადატანით	გადა ტან ით
დუეინ	დუ ეინ
ეგვიპტეს	ეგვიპტ ეს
დაკისრებულ	დაკისრ ებულ
წარმატებულმა	წარ მატებ ულმა
ჰიდროგრაფია	ჰიდრო გრაფი ა
ეჭვობს	ეჭვ ობ ს
ზებგერითი	ზ ებ გერითი
არენასი	არ ენ ასი
ელემენტარული	ელემენტ არულ ი
მოწევა	მო წევ ა
საფოსტო	საფ ო სტო
გარიფუნას	გარიფ უნ ას
გვესმის	გვე სმ ის
ორმოები	ორ მო ები
საჭიროებისამებრ	საჭი რო ებისამებრ
განპირობებულია	განპირობებულ ი ა
ნახატზე	ნა ხატ ზე
კლუბების	კლუბ ების
მიყვანილი	მი ყვანილ ი
მუმინების	მუმ ინ ების
მოწმე	მოწმ ე
დღემდე	დღე მდე
საზღვარზე	სა ზღვარ ზე
ზურმუხტის	ზურ მუხტ ის
პაულ	პა ულ
პირნათლად	პირ ნათლ ად
რხევითი	რ ხევ ითი
ინტელექტუალთა	ინტელექტუ ალ თა
საჩუქრებს	სა ჩუქრ ებს
დიზაინი	დიზაინ ი
ირლანდიელები	ირ ლანდიელ ები
არაოფიციალურად	არაოფიცი ალურ ად
ანტიფაშისტური	ანტი ფაშისტ ური
სოფელია	სოფ ელ ია
გვეპატიჟებიან	გვე პატიჟ ებიან
პირისა	პირ ისა
ცხვრების	ცხ ვრ ების
მენტალურ	მენტ ალურ
ლიპარტიანი	ლიპარტიან ი
მოგზაურობით	მოგზაურ ობ ით
სილა	სილ ა
ეთამაშა	ე თამაშ ა
აჩრდილები	ა ჩრდილ ები
მაკეობა	მაკ ეობ ა
სულთანს	სულ თან ს
მლაშობი	მლაშ ობ ი
შეფერილობას	შეფერ ილობ ას
განკურნების	გან კურნ ების
დაძირვა	დაძირ ვ ა
მამამისს	მამამი ს ს
დალმაციაში	დალმ აცი აში
განიხილებოდა	განი ხილ ებოდა
გასამწვანებლად	გასამწვანე ბლ ად
ცვლილებები	ცვლილ ებ ები
სამურაების	სამურ ა ების
ორიგინალ	ორიგინ ალ
ვოკალის	ვოკ ალ ის
სონია	სონ ია
იკვრება	იკ ვრებ ა
ფასი	ფას ი
ფერდობებს	ფერდ ობ ებს
წნევით	წნ ევ ით
მიჰყიდეს	მიჰ ყიდ ეს
მასივის	მას ივ ის
გაგრძელებული	გა გრძელებ ული
რგოლოვანი	რ გოლ ოვანი
შედეგებით	შე დეგ ებით
მოსვლის	მო სვლ ის
ავლებდა	ა ვლებ და
დისლოკაციის	დისლოკ აცი ის
პაზოლინის	პაზოლ ინ ის
შუამავალი	შუა მავალ ი
გაუბედურებული	გა უბედურებ ული
რაიხის	რაი ხ ის
სუვერენულ	სუვერენ ულ
ორეული	ორ ეულ ი
ქალაქთან	ქალაქ თან
გადაცემისას	გადა ცემ ისას
აღუდგა	აღ უდგ ა
ძიებისას	ძი ებისას
ცრემლები	ცრ ემლ ები
რეკომენდაცია	რეკომენდ აც ია
ფირმაში	ფირმ აში
ბერძნებსა	ბერძნ ებ სა
ფინიკია	ფინიკ ი ა
ძირძველი	ძირ ძველ ი
ჰადესში	ჰა დ ესში
გადასახადები	გადასახად ები
მრისხანე	მრის ხან ე
თანამოსახელე	თანამო სახელ ე
მართველობის	მართველობ ის
მოგყავს	მოგ ყავ ს
მერეც	მერ ეც
წიგნისა	წიგნ ისა
დაადანაშაულა	დაადა ნაშაულ ა
გადაკვეთით	გადა კვეთ ით
დასაყრდენს	დასა ყრდენ ს
ამოყვანილია	ამო ყვანილ ია
მისსა	მ ის სა
ანზორი	ან ზორ ი
დაღწევა	და ღწევ ა
გამოგონილია	გამო გონილ ია
კიტის	კ იტ ის
რკინიგზები	რკინიგზ ები
რბილი	რბილ ი
წაიყვანეს	წა იყვან ეს
დროინდელია	დროინდელ ია
ათასწლეულში	ათას წლეულ ში
აღნიშვნით	აღ ნიშვნ ით
რაციონალურად	რაციონალურ ად
ძირას	ძირ ას
არჩევნის	ა რჩევ ნის
ბრუნჰილდა	ბრუნ ჰილ და
მფრინავ	მ ფრინავ
დამირეკავდი	დამი რეკ ავდი
გაუტარებია	გაუ ტარებ ია
დატოვებს	და ტოვებ ს
თბოგამტარობა	თბო გამტარ ობა
კვლევასა	კვლევ ასა
კოსმოსში	კოსმ ოს ში
განხვავდება	გან ხვავ დება
ნოტიოა	ნოტ იო ა
ბრინჯაოსა	ბრინჯაოს ა
ინდუსტრიალიზებული	ინდუს ტრი ალიზებული
ანტონიუს	ან ტონიუს
პროგრამირება	პრო გრამ ირება
დასახლებაში	და სახლებ აში
თავდასხმაში	თავდა სხმ აში
ჭვავის	ჭვ ავ ის
წარედგინა	წარ ედგინა
გაცვლა	გა ცვლ ა
ეპისკოპოსთა	ეპისკოპოს თა
არსებითი	არსებ ითი
მაგელანის	მა გელ ანის
რადიუსით	რადი უს ით
ჩუუკის	ჩუუ კ ის
სალვადორ	სალვა დორ
პალეოგრაფიული	პალე ოგრაფი ული
ნაკადებით	ნა კად ებით
სამეკლესიანი	სამე კლესი ანი
არსებებად	არსებ ებად
მოთხრობები	მო თხრობ ები
შანშე	შან შ ე
აღწერილია	აღ წერილ ია
დამარცხებული	და მარცხებ ული
ზებულონი	ზებულ ონ ი
იტალიელმა	იტალი ელ მა
საერისთავოები	საერისთავ ო ები
ჰენრი	ჰენ რ ი
რომაელები	რომა ელ ები
კლდეზე	კლ დე ზე
ბულგარეთში	ბულგა რეთ ში
დაცემის	და ცემ ის
გააჩაღა	გა აჩაღ ა
მუშახელი	მუშახ ელ ი
გამოცემაზე	გამო ცემ აზე
რიცხვით	რიცხვ ით
საზოგადოდ	სა ზოგად ოდ
ცერიუმის	ცერ იუმ ის
სიგრძეს	სიგრძ ე ს
პოლონეთის	პოლონ ეთ ის
ატაკამის	ატა კამ ის
მომღერლები	მომღერ ლ ები
ქვეყანა	ქვე ყანა
გასვლამდე	გა სვლ ამდე
ბენედიქტ	ბენე დიქტ
კინგი	კ ინგ ი
ნატურალისტმა	ნატურ ალისტ მა
უცხოელების	უცხო ელ ების
მეოცნებე	მე ოც ნებე
მრავალჯერადი	მრავალ ჯერადი
სტუდენტია	სტუ დენტ ია
ყოფდა	ყოფ და
ტარდება	ტარ დებ ა
ქორწილამდე	ქორწილ ამდე
სჯულზე	სჯ ულ ზე
ხედები	ხედ ები
მაილს	მა ილ ს
დაიხმარა	დაი ხმარ ა
დოლარია	დო ლარ ია
გაიხსენა	გა იხსენ ა
გეომეტრიის	გეო მეტრი ის
სატირულ	სატი რ ულ
კურტ	კურ ტ
ერწყმიან	ე რწყმ იან
დიამეტრია	დია მეტრ ია
ევროატლანტიკურ	ევრო ატლანტიკ ურ
