გამოსხივება	გამოსხივ ებ ა
დაგროვდა	და გროვ და
იძლეოდა	ი ძლე ოდა
კომპიუტერზე	კომპიუ ტერ ზე
კრიტერიუმებით	კრიტერ იუმ ებით
კანიბალიზმი	კანიბალ იზმი
სიმბოლური	სიმბოლ ურ ი
ბრაზილია	ბრაზ ილი ა
თქვას	თქვ ას
ბრძანებულება	ბრძან ებულებ ა
სტილი	სტილ ი
ჰერმიონი	ჰერმი ონ ი
გუდისის	გუდ ისის
სპორტი	ს პორტ ი
დაკნინება	და კნინ ება
ტოტების	ტოტ ების
ნეიტრალური	ნეიტრ ალურ ი
ანალები	ანა ლ ები
მთავრობისა	მთავრობ ისა
მოწვეულმა	მო წვეულ მა
რეგიონთა	რეგიონ თა
იაპონია	იაპონ ი ა
მალაიზიაში	მალა იზი აში
მუღამში	მუ ღამ ში
განევითარებინა	განე ვითარებ ინა
მაგრდება	მაგრ დება
თურქის	თურქ ის
აჯამეთის	აჯამ ეთ ის
სანდერსი	სანდერ ს ი
გოგუა	გოგ უ ა
კომპოზიტორ	კომპოზიტორ
შეუქმნის	შეუ ქმნ ის
ჩხოროწყუს	ჩხ ოროწყუს
ცხოვრებით	ცხოვრებ ით
ბინების	ბინ ების
საგრძნობია	სა გრძნობ ია
შესულ	შე სულ
ოთხეულს	ოთხ ეულ ს
შეატყობინებს	შეატყობ ინ ებს
სანტიმეტრია	სანტი მეტრ ია
ჯორჯ	ჯორ ჯ
გადაწყვეტილებათა	გადაწყვეტილ ებ ათა
თიხნარ	თი ხ ნარ
ჩაეტარებინა	ჩაე ტარებ ინა
მაგისტრალები	მაგისტრალ ები
საწყის	სა წყის
ჟურნალისტები	ჟურნ ალისტ ები
აფრიკელთა	აფ რიკ ელთა
აფრიკიდან	აფ რიკ იდან
ტელეფონი	ტელეფონ ი
მაკიაჟის	მაკი აჟ ის
ფრიც	ფრი ც
თარაზულად	თარაზ ულ ად
ტეილორის	ტეი ლორ ის
მთავრობამ	მთავრობ ამ
ხანისწყლის	ხან ისწყლ ის
დელფოს	დელ ფოს
მოხვედრილ	მოხვედრ ილ
პიანინოს	პიანი ნო ს
გაიზრდებოდა	გა იზრდ ებოდა
ოპოზიციურად	ო პოზიცი ურად
დაინახა	და ინახ ა
იორკი	იორკ ი
მოკავშირეს	მო კავშირე ს
სინამდვილის	სინ ამდვილ ის
მატჩები	მატ ჩ ები
შემგროვებლები	შემ გროვებ ლები
შედეგისა	შე დეგ ისა
დემონსტრაცია	დემონსტრ აცი ა
ფერომაგნიტური	ფერო მაგნიტურ ი
გამდნარ	გამდ ნარ
მრავალფეროვნება	მრავალფერ ოვნ ება
ნიშნებს	ნიშნებ ს
თუმანიშვილის	თუმან იშვილ ის
პაუზის	პაუ ზ ის
კაბელის	კაბელ ის
ნათელი	ნათე ლ ი
იხმარა	ი ხმარ ა
შემოესია	შემო ეს ია
მტკიცებულება	მტკიც ებულებ ა
გემის	გემ ის
ძვ	ძვ
ცხოვრებიდან	ცხოვრებ იდან
ადგილისთვის	ადგილ ისთვის
ნუცუბიძე	ნუცუ ბიძ ე
ბარიერების	ბარ იერ ების
უკუაქცია	უკუ აქცი ა
დარბაზია	დარ ბაზ ია
ბევრად	ბ ევრ ად
შებოლილი	შე ბოლ ილი
ნაკრებს	ნა კრებ ს
ზომების	ზომ ების
მოღვაწეობენ	მოღვაწ ეობ ენ
შესაძლებლობებით	შესაძლ ებლობ ებით
ანდღულაძე	ანდ ღულ აძე
ასახავდა	ა სახავ და
შემცვლელს	შემ ცვლელ ს
ანტივირუსული	ანტი ვირუს ული
ღერძს	ღერ ძ ს
გუნდსაც	გუნდ საც
უსმენდა	უ სმენ და
ლადოგის	ლად ოგ ის
მიდრეკილებას	მი დრეკილ ებას
მოკვდავი	მო კვდავ ი
პიტერის	პიტერ ის
უხერხული	უ ხერხ ული
არც	არც
მოძრაობით	მოძრა ობ ით
კეთილდღეობისათვის	კეთილდღე ობ ისათვის
აიყვანს	ა იყვან ს
გაუშვეს	გა უშვ ეს
პრეტორი	პრე ტორ ი
მირ	მი რ
ცხრავე	ცხრა ვე
პრემიები	პრემ ი ები
კლავიშებიანი	კლავ იშ ებიანი
ექსპედიციები	ექსპედიცი ები
აღემატებოდეს	აღე მატებ ოდეს
ქსე	ქს ე
დეკორატიულად	დეკორ ატიულ ად
დამაარსებელი	დამაარსებ ელ ი
გობეჯიშვილი	გობე ჯიშვილ ი
კონცერტებით	კონცერტ ებით
პრუსიას	პრ უსი ას
დაბინძურების	დაბინძურ ებ ის
ერისთავები	ერის თავ ები
აფარის	ა ფარ ის
დიდებას	დიდებ ას
ანგელოზი	ანგელოზ ი
ოდიშის	ო დიშ ის
ნიგერის	ნი გერი ს
პარმაში	პარ მ აში
საუკუნე	სა უკუნე
საკურფიურსტო	სა კურფიურსტ ო
სასწაულმოქმედი	სასწაულ მოქმედი
დირექტორთა	დი რექტორ თა
ისლამის	ის ლამ ის
თბილისმა	თბილ ის მა
თოვლითაა	თო ვლ ითაა
სარტყლიდან	სარტყ ლ იდან
ბატონობას	ბატონ ობ ას
ფროიდი	ფრო იდ ი
სიმულაცია	სიმ ულ აცია
რედაქციის	რედ აქცი ის
მიუთითებდეს	მიუ თითებ დეს
ძებნას	ძებნ ას
გამოსაცდელად	გამო საცდელ ად
ვალარებმა	ვალ არ ებმა
აღიდგინა	აღი დგინ ა
საკითხში	სა კითხ ში
სიყვარულისა	სი ყვარულ ისა
ინტერს	ინტერ ს
აჯანყება	აჯანყ ებ ა
გაწყვეტის	გა წყვეტ ის
სალექსო	სა ლექს ო
ასიმეტრიული	ასი მეტრი ული
ბენდის	ბენ დ ის
ზმნები	ზმ ნ ები
ხალებიანი	ხალ ებიან ი
გუბერნატორი	გუბერნატ ორ ი
დაწყებისთანავე	და წყებ ისთანავე
თვლიდნენ	თ ვლი დნენ
ობელისკი	ობელი სკ ი
შემოესმა	შემო ეს მა
ივანეს	ი ვან ეს
იოველ	იო ველ
მოვალეობას	მოვალე ობ ას
წელიწადის	წელ იწად ის
თეოდორა	თეო დორ ა
ნაკვალევი	ნაკვალ ევ ი
შავკანიანთა	შავ კანიან თა
ასისტენტად	ასისტ ენტ ად
მოთხრობების	მო თხრობ ების
ნამარხ	ნა მარხ
ტელესკოპმა	ტელე სკოპ მა
დამწერლობები	და მწერლობ ები
ქუჩას	ქუჩ ას
დაზიანდა	და ზიან და
პლეი	პლეი
გამოვლინდა	გამო ვლინდ ა
შენაძენი	შენა ძენ ი
განძი	გა ნძ ი
ძეგლით	ძეგლ ით
ინდონეზია	ინდო ნეზი ა
მიხევით	მი ხევ ით
მსაჯული	მ საჯ ული
პარეხის	პარ ეხ ის
ჩარჩოში	ჩარჩო ში
რიჩმონდში	რიჩმო ნდ ში
შარი	შ არ ი
დამოუკიდებლობაზე	დამოუკიდ ებლობ აზე
უწოდებდნენ	უ წოდებ დნენ
მასებში	მა ს ებში
მემორიალის	მემო რიალ ის
ჰუგო	ჰუ გო
ფრენების	ფრენ ების
ადრეც	ადრე ც
გაფორმების	გაფორმ ებ ის
მამულად	მამულ ად
ხიდზე	ხ იდ ზე
გაანთავისუფლეს	გაან თავისუფლ ეს
კირკის	კირ კ ის
მემი	მ ემ ი
დასკვნით	და სკვნ ით
სტილმა	სტილ მა
მიქცეული	მი ქცეულ ი
ნერისი	ნერის ი
საბა	სა ბა
წიაღში	წი აღ ში
პირველყოფილ	პირველ ყოფილ
ტრავმებმა	ტრავ მ ებმა
თოიძის	თო იძ ის
მართველობა	მართველობ ა
კუდის	კუ დ ის
ექტორ	ე ქტორ
ნოემბრის	ნო ემბრ ის
ლობიო	ლობ იო
ნახევარმცველის	ნახევარ მცველ ის
შემწე	შე მწე
ჰარპერ	ჰარ პერ
სამუშაოები	სამუშა ო ები
ჯონსონის	ჯონ სონ ის
თვისელი	თვის ელ ი
თანამემამულეების	თანამემამულ ე ების
ხუმრობა	ხუმრ ობ ა
არხზე	არხ ზე
მილენიუმის	მილე ნიუმ ის
სათანადო	სათანა დო
ტრიალებდა	ტრიალებ და
ტრაგიკულად	ტრაგი კულ ად
დაინფიცირებული	დაინ ფიცირებ ული
მახლობელ	მახლო ბელ
ფიგურით	ფი გურ ით
სპირიტუალური	სპი რიტუალ ური
დაძაბა	და ძაბ ა
ქარხნებს	ქარ ხნ ებს
დადგენილებით	დადგენ ილებ ით
ბაზად	ბაზ ად
ჩაპლინის	ჩაპ ლინ ის
გაუხდა	გა უხ და
სარბიელი	სა რბიელ ი
გაირკვა	გა ირკვ ა
ძონგხაგის	ძონ გ ხაგის
იკარგება	ი კარგ ება
უჭერს	უ ჭერ ს
თვითმფრინავები	თვითმ ფრინავ ები
ფარავენ	ფარავ ენ
პარხლის	პარ ხლ ის
კუთხე	კუთხ ე
მოკვლით	მო კვლ ით
სენეკა	ს ენ ეკა
ქვისგან	ქვ ისგან
სტადიონს	სტადი ონ ს
კლარჯეთი	კლა რჯეთ ი
ველებში	ველ ებში
კორნელიუს	კორ ნელ იუს
დაყოფილი	და ყოფილ ი
მომენტები	მო მენტ ები
ბითლზის	ბით ლზ ის
გასართობი	გასართ ობ ი
ლავგარდანი	ლავგარდ ან ი
მოკლეა	მოკლე ა
ეცილებოდა	ე ცილ ებოდა
ნივთიერი	ნივთ იერი
მაჰაიანა	მა ჰაიან ა
ფოტოსურათები	ფოტო სურათ ები
არქიტექტორის	არქიტექ ტორ ის
მოვლენათა	მო ვლენ ათა
ლუკასმა	ლუკას მა
უკრავენ	უ კრავ ენ
დათა	და თა
მტრედი	მ ტრ ედი
მმართველთა	მ მართველ თა
დედებს	დედ ებს
წყალზე	წყალ ზე
კავკასიურ	კავკასი ურ
ფონეტიკის	ფონ ეტიკ ის
ალმანახში	ალმან ახ ში
მუშა	მუშ ა
აგებული	აგებ ული
ნაყიდ	ნა ყიდ
გაუჩინარების	გაუჩინ არ ების
ელზასი	ელ ზას ი
რუჟი	რუ ჟ ი
ჩამოვიდა	ჩამო ვიდ ა
ირლანდიელი	ირ ლანდიელ ი
პლანეტას	პლანეტ ას
ფანებს	ფან ებს
იქამდე	იქ ამდე
ოჯახისთვის	ოჯახ ისთვის
ასა	ა ს ა
საბუნებისმეტყველო	საბუნების მეტყველ ო
კარტოგრაფიული	კარტ ოგრაფი ული
სერბეთს	სერ ბეთ ს
გასცილდა	გა სცილდ ა
განვლო	გან ვლ ო
ბერნი	ბერნ ი
გამოქვაბული	გამო ქვაბულ ი
იუსტინიანემ	იუსტინ იანე მ
პროდუქტებისა	პროდუქტ ებ ისა
აუგია	ა უგ ია
გადასახლებას	გადა სახლებ ას
შესაყართან	შესა ყარ თან
საილუსტრაციო	სა ილუსტრაცი ო
ფრანკს	ფრან კ ს
მეფეებთან	მე ფე ებთან
ქსოვილების	ქსო ვილ ების
კოსტა	კო სტ ა
მოსაზრება	მოს აზრებ ა
აზრად	აზრ ად
გრადუს	გრად უს
ლიბანელი	ლი ბან ელი
შობილი	შობილ ი
მაისამდე	მა ის ამდე
წამებული	წამ ებული
ხიდების	ხ იდ ების
ცხოვრებასთან	ცხოვრებ ასთან
მრავალფეროვანია	მრავალ ფეროვან ია
მოსანახულებლად	მოსა ნახულ ებლად
ოჯახით	ოჯახ ით
უცხოა	უცხო ა
ქვას	ქვ ას
ოლქები	ოლ ქ ები
ელექტრონებს	ელექტრ ონ ებს
კრასნოიარსკის	კრას ნო იარსკის
შვედეთსა	შვედ ეთ სა
წარმომადგენლობითი	წარმომა დგენლობ ითი
ლე	ლე
მოვლენაზე	მო ვლენ აზე
ხუთს	ხუთ ს
იდეოლოგიურ	იდე ოლოგი ურ
ვენური	ვენ ური
ნიჭის	ნიჭ ის
დასრულებას	და სრულებ ას
ჰერეთი	ჰერ ეთ ი
კოეფიციენტი	კოეფიცი ენტ ი
გაყრა	გა ყრ ა
აკადემიის	აკადემი ის
დასაფლავებული	დასაფლავ ებ ული
შვიდი	შვიდ ი
ქოხი	ქ ოხ ი
ნაწილისა	ნაწილ ისა
კირქვიან	კირ ქვ იან
მოსმენილი	მო სმენ ილი
ოპერეტა	ოპერ ეტა
ტორტი	ტორ ტი
ჩავარდნილი	ჩა ვარდნ ილი
საგზურს	საგზ ურ ს
მკვლევარის	მკვლევ არ ის
გამეფებული	გამეფ ებ ული
რამონ	რამ ონ
დარაჯობდნენ	დარაჯ ობ დნენ
ერტყმის	ე რტყმ ის
წყალსატევი	წყალსა ტევ ი
აღწერით	აღ წერ ით
ალგარვის	ალგარ ვ ის
სცენარზე	სცენ არ ზე
დარეგისტრირდა	და რეგისტრირ და
ფუნდამენტალური	ფუნდა მენტ ალური
საკრებულოს	სა კრებულ ოს
ეთნოგენეზის	ეთნოგენეზ ი ს
ნახევრით	ნახევრ ით
სალაროს	სალა რო ს
დაიბრუნებდა	დაი ბრუნ ებდა
ეგვიპტელების	ეგვიპტ ელ ების
პტოლემეების	პტოლემ ე ების
სპურსმა	სპურ ს მა
აუცილებლობას	აუცილ ებლობ ას
სამხრეთულ	სამხრე თ ულ
მიკროტალღური	მიკრო ტალღ ური
ზამთრობს	ზამთრ ობს
დელის	დელ ის
ადიოდა	ა დიოდ ა
ტერფის	ტერ ფ ის
დანაყოფს	დანა ყოფ ს
დიდგორის	დიდ გორ ის
კონიაკის	კონ იაკ ის
ვაშლოვანის	ვა შლ ოვანის
საცეცხლე	სა ცეცხლ ე
მოდული	მოდ ულ ი
შთამომავალი	შთამო მავალ ი
რეზერფორდის	რეზერ ფორდ ის
საკომპოზიციო	სა კომპოზიცი ო
ოლქად	ოლ ქ ად
ჟამს	ჟამ ს
პირობა	პირობ ა
რეკორდების	რე კორდ ების
მოხმარებისთვის	მო ხმარ ებისთვის
ნაპირას	ნაპირ ას
სრულფასოვნად	სრულ ფას ოვნად
იყიდებოდა	ი ყიდ ებოდა
ნოე	ნო ე
უბრალოდ	უ ბრალ ოდ
იღბალი	იღ ბალ ი
უკაცრიელი	უკაცრიელ ი
გილდიის	გილ დი ის
დაუბრუნდეს	დაუ ბრუნდ ეს
ცენზი	ცენზი
გარეშეც	გარეშე ც
ქართველებით	ქართ ველ ებით
ტუნგუსკის	ტუნგუ სკ ის
მზეში	მ ზე ში
გამარჯვება	გამარჯვ ებ ა
ზონას	ზონ ას
ვერაგული	ვერა გულ ი
ფონური	ფონ ური
ბიოქიმიის	ბიო ქიმი ის
ზომა	ზომ ა
მიერვე	მი ერ ვე
უსტიანსკოეს	უსტ იანსკოეს
ჯირკვლების	ჯირ კვლ ების
ნიდერლანდი	ნიდერ ლანდ ი
კანი	კან ი
ნახევარდღეღამური	ნახევარ დღეღამ ური
მორაგბეთა	მო რაგბ ეთა
მრავალთავის	მრავალ თავ ის
ჩაშლა	ჩა შლ ა
დაზგური	და ზგ ური
რომა	რომ ა
სამაგიერო	სამაგი ერ ო
შეთეთრებულია	შეთეთრ ებულ ია
ცხრა	ც ხრ ა
ცნობას	ცნობ ას
კარეს	კარ ეს
გამოსახულია	გამო სახულ ია
ეუფლებიან	ე უფლებ იან
ტომებზე	ტომ ებზე
ჰადისების	ჰად ისების
ეტაპობრივი	ეტაპ ობრივ ი
ფორტეპიანო	ფორტეპიანო
მახასიათებლები	მახასიათებ ლებ ი
პრინციპული	პრინც იპ ული
ღელვა	ღელვ ა
შემოსავლიდან	შემოსავლ იდან
სამზარეულო	სამზა რეულო
ტარანი	ტარ ანი
ენიჭებოდა	ე ნიჭებ ოდა
საკანდიდატო	სა კანდიდატ ო
თანაბრად	თანაბრ ად
მოდერნიზმის	მო დერნ იზმის
მესიეს	მე სი ეს
ეგზისტენციალისტური	ეგზისტ ენციალ ისტური
ანიტა	ან იტ ა
ევაკუაცია	ევაკუ აცი ა
ჩინგის	ჩინ გ ის
კომბინაციები	კომბინაცი ები
მოწამლული	მო წამლ ული
ეძლეოდა	ე ძლე ოდა
კონფესიის	კონ ფეს იის
ხანშიშესული	ხან შიშესული
მოყვანა	მო ყვან ა
ბრალის	ბრალ ის
ჰენდრიქსის	ჰენ დრ იქსის
გვარაძე	გვარ აძე
ლუციუს	ლუ ციუს
განიხილა	განი ხილ ა
მინიატიურების	მინი ატიურ ების
ხარჯით	ხარჯ ით
ერთმანეთი	ერთმ ანეთ ი
რეალიზმი	რეალ იზმ ი
საექსპლუატაციოდ	სა ექსპლუატაც იოდ
რენეს	რენ ეს
ბოროროს	ბორ ორო ს
უვნებელი	უ ვნებ ელი
უტოლდებოდა	უტო ლ დებოდა
გაეცნობა	გაე ცნ ობა
დაწვრილებითი	დაწვრი ლებ ითი
წევრებისა	წევრებ ისა
თვისებით	თვისებ ით
კლასიკოსთა	კლას იკოს თა
აშელის	აშე ლ ის
მეფეც	მე ფე ც
შარდის	შარ დ ის
ინსტრუმენტების	ინსტრუ მენტ ების
შეტაკებაში	შეტაკ ებ აში
კუტუზოვის	კუტ უზ ოვის
გამძლე	გამძლე
მათემატიკაში	მა თემატიკ აში
შედიოდნენ	შე დიოდ ნენ
ბანაკიდან	ბანაკ იდან
რეკლამაში	რეკლ ამ აში
ძველით	ძველ ით
დაარწმუნებს	დაა რწმუნ ებს
გამოუცხადა	გამოუ ცხად ა
უკვალოდ	უკ ვალ ოდ
მანტიაში	მ ანტი აში
ტვერის	ტ ვერ ის
მეექვსედ	მე ექვს ედ
კათოლიკობა	კათოლ იკ ობა
აქედანაა	ა ქედან აა
მომენატრა	მომენ ატრ ა
მსოფლმხედველობა	მსოფლმ ხედველობ ა
მკვლელობების	მკვლელობ ების
აგნოსტიკოსი	აგნოსტ იკოს ი
სტუდიების	სტუდი ების
თვის	თვის
მავნე	მა ვნ ე
ჩაუყარა	ჩაუ ყარ ა
ცხინვალის	ცხ ინვალ ის
ამაო	ამ ა ო
გააგრძელოს	გაა გრძელ ოს
უკიდურეს	უ კიდურ ეს
დივიზიონში	დივიზი ონ ში
განსაზღვრაში	გან საზღვრ აში
კელვინი	კელ ვინ ი
იური	ი ური
კატაკომბაში	კატაკომ ბ აში
ფაილის	ფა ილ ის
მუჰამმადის	მუჰამ მ ადის
წყობით	წყ ობ ით
გმირებად	გმირ ებად
ნახშირორჟანგის	ნახშირორ ჟანგ ის
ჯილდოებს	ჯი ლდო ებს
ექსტერიერის	ექს ტერიერი ს
აღმოჩნდებოდა	აღმო ჩნდ ებოდა
ნაჰია	ნა ჰ ია
ყაზანის	ყაზ ან ის
გვიჩვენა	გვი ჩვენ ა
ვუდრო	ვუდ რო
დარიცხვის	და რიცხვ ის
ცილის	ცილ ის
მილიგრამი	მილიგ რამ ი
ზურგი	ზურ გ ი
ნარჩენია	ნა რჩენ ია
ხმარობენ	ხმარ ობ ენ
კომპანია	კომპ ანი ა
არყის	არყ ის
მოუვიდა	მოუ ვიდ ა
კანიონი	კან იონ ი
ფრენკი	ფრენ კ ი
იხევს	ი ხევ ს
ჯორჯი	ჯორ ჯ ი
გაყოფა	გა ყოფ ა
შამილის	შა მილ ის
მუშნი	მუშ ნი
გარდაეცვალა	გარდაე ცვალ ა
მეცნიერებას	მეცნიერ ებ ას
სტერლინგის	სტერ ლინგ ის
ბუკერის	ბუ კერ ის
სამეფოები	სამე ფო ები
სატრაპი	სა ტრა პი
აღთქმით	აღ თქმ ით
ილაშქრეს	ი ლაშქრ ეს
ალბათობას	ალბათ ობ ას
აგებულ	აგებ ულ
კალიფორნიაში	კალიფორ ნ იაში
შეინარჩუნონ	შეი ნარჩუნ ონ
ფილმით	ფილმ ით
უარობდა	უ არ ობდა
მოუხდა	მო უხ და
უკეთესობა	უკეთ ეს ობა
წყვილების	წყვილ ების
ლექსიკონში	ლექს იკონ ში
გამრავლდა	გა მრავლ და
განდალფის	განდალ ფი ს
თანაც	თან აც
ლეო	ლე ო
რანგით	რ ანგ ით
სისტემატური	სისტემ ატურ ი
ლიხაურის	ლიხა ურ ის
თბილისის	თბილ ის ის
შხამიანია	შხამ იან ია
ვინაობის	ვინა ობ ის
ჭაღარა	ჭ აღარა
ლაზარეს	ლაზ არე ს
სანდერსის	სანდერ ს ის
სოჭში	სო ჭ ში
მეამბოხეების	მეამბოხ ე ების
ბაუტისტა	ბაუტ ისტ ა
კობის	კობ ის
ჰყოფნიდა	ჰ ყოფ ნიდა
გააგრძელებს	გაა გრძელ ებს
ფსევდონიმი	ფსევდ ონიმ ი
ზოგმა	ზო გ მა
ტროიცკოეს	ტროიც კო ეს
ჯემი	ჯ ემ ი
გრეგორი	გრ ეგორი
მონიშნული	მო ნიშნულ ი
ძანეტის	ძა ნეტ ის
კისრულობდა	კისრ ულობ და
შესაბამისობა	შესაბამ ისობ ა
გუნდით	გუნდ ით
სპირალურ	სპი რალ ურ
სცემდნენ	სცემ დნენ
დაჯილდოებულია	დაჯილდო ებ ულია
დაეშვნენ	და ეშვ ნენ
სნუპის	სნუ პ ის
ანგარიშს	ანგარიშ ს
სიგანე	სი განე
დედით	დედ ით
ადრიანეს	ადრი ან ეს
შოტლანდიელთა	შოტ ლანდი ელთა
მოგონებანი	მო გონებ ანი
მერები	მერ ები
ცერემონიებს	ცერემონი ებს
რეიტინგის	რეიტინგ ის
გაერთიანებისათვის	გა ერთიანებ ისათვის
მიწურულსა	მიწურ ულ სა
ორგანულად	ორგან ულად
ვანგა	ვ ანგ ა
საუკუნეები	საუკუნე ებ ი
სიდიდეებია	სი დიდე ებია
მუტაციის	მუ ტაცი ის
პომპეუსის	პომპე უს ის
უზრუნველყონ	უზრუნველ ყო ნ
ჯვაროსნების	ჯვარ ოსნ ების
შფოთვის	შფოთ ვ ის
მოწვევით	მო წვევ ით
შეღავათი	შეღავ ათ ი
ჰაერიდან	ჰა ერ იდან
გარდაიქმნა	გარდა იქმნ ა
მემკვიდრეობისათვის	მემკვიდრ ეობ ისათვის
სივრცით	სი ვრც ით
გასაკონტროლებლად	გასა კონტროლ ებლად
ქარხნის	ქარ ხნ ის
სადისკუსიო	სა დისკუსი ო
მიხეილის	მი ხეილ ის
დაინტერესების	და ინტერეს ების
ზონების	ზონ ების
გამოირჩევიან	გამო ირჩევ იან
ორატორია	ორა ტორ ია
ალპების	ალპ ებ ის
სიმინდს	სი მინდ ს
იულიანე	იუ ლიან ე
გახსნის	გა ხსნ ის
აღუთქვა	აღუ თქვ ა
გრიგორი	გრი გორ ი
მეტროპოლია	მეტ როპოლ ია
მოქმედებას	მო ქმედებ ას
ტურნირი	ტურნირ ი
გაღიზიანებული	გა ღიზიანებ ული
აღმერთებდა	ა ღმერთ ებდა
გადაწყვეტილება	გადაწყვეტილ ებ ა
გზავნილი	გზავნილ ი
თესევსი	თესე ვს ი
ცოცხლობენ	ცოცხ ლობ ენ
რაფაელ	რაფა ელ
გამოძახილი	გამოძახ ილ ი
დაკავებას	და კავებ ას
ლიდერი	ლი დერ ი
სხვადასხვაობას	სხვადასხვა ობ ას
ძალის	ძალ ის
უფროსი	უფრო ს ი
კულტს	კულ ტ ს
მოსკიტების	მოს კიტ ების
ვილას	ვილ ას
თავდასხმა	თავდა სხმ ა
მძღოლს	მძღოლ ს
ალკოჰოლური	ალკოჰოლ ური
წარადგენს	წარ ადგენ ს
იტალიურად	იტალი ურად
ციკლებს	ც იკლ ებს
ჟანრზე	ჟანრ ზე
გადაკეტეს	გადა კეტ ეს
ჰუტუს	ჰუ ტუს
დადებას	და დებ ას
იმედგაცრუებული	იმედგაცრუ ებ ული
დუშეთიდან	დ უშეთ იდან
ბაქსმა	ბაქ ს მა
გიტარებზე	გიტარ ებზე
თარგმანში	თა რგმან ში
ათონელი	ათო ნელ ი
შერბილდა	შე რბილ და
ჰიდროელექტროსადგური	ჰიდროელექტრო სადგურ ი
გალერიუსი	გალერ იუს ი
პაროდია	პარ ოდ ია
გავაიგივოთ	გა ვაიგივ ოთ
ირიცხება	ირიცხ ება
ბულზის	ბულ ზ ის
კორტესმა	კორ ტეს მა
პრეპარატი	პრე პარატ ი
ალიოშა	ალი ოშ ა
წისქვილში	წისქ ვილ ში
საგაზაფხულო	საგა ზაფხულ ო
კუდარო	კუ დ არო
წარწერიდან	წარ წერ იდან
ცხოვრებასა	ცხოვრებ ასა
ლეიბორისტულ	ლეიბორ ისტულ
ძებნისას	ძებნ ისას
ახმეტა	ახ მეტ ა
განვითარებადი	გან ვითარებ ადი
თარგმნილ	თარგმნ ილ
მაიკლის	მა იკლ ის
მოძრაობებისა	მოძრა ობ ებისა
ფეოდალების	ფეოდალ ების
ფონ	ფონ
გამოუსადეგარი	გამოუსადეგ არ ი
ინსტიტუტსა	ინ სტიტუტ სა
მუხლში	მუხ ლ ში
ნოეს	ნო ეს
ჩამკეტი	ჩამ კეტ ი
ვენახის	ვე ნახ ის
დეპუტატი	დეპუტ ატ ი
მსაჯი	მ საჯ ი
გარბოდნენ	გარ ბ ოდნენ
დასდევს	და სდევ ს
კოცონზე	კოცო ნ ზე
წერა	წერ ა
წყობა	წყ ობ ა
ესხმიან	ეს ხმ იან
განამტკიცებს	განა მტკიც ებს
პაპი	პა პ ი
ბეჭდავდა	ბეჭდ ავ და
გახსნამდე	გა ხსნ ამდე
გლდანისკენ	გლდა ნ ისკენ
პატრიკმა	პატრი კ მა
გიზო	გი ზ ო
შესასწავლად	შესა სწავლ ად
ჩუმი	ჩუმ ი
სალამურა	სა ლამურ ა
საფინალო	სა ფინალ ო
ზაფხულზე	ზაფხულ ზე
თეოდორას	თეო დორ ას
მუნიციპალიტეტად	მუნიციპალ იტეტ ად
კვლევისას	კვლევ ისას
მელოდიას	მელო დი ას
გუმბათიანი	გუმბათ იანი
მწერლად	მწერ ლ ად
ნახავს	ნახავ ს
პოსტჰემორაგიული	პოსტჰემორა გი ული
დეტალების	დე ტალ ების
იყინება	ი ყინ ება
ნიშს	ნი შ ს
ვიდეოს	ვიდ ეო ს
ვალდებულების	ვალდებულებ ის
უცნობ	უ ცნობ
ფირი	ფირ ი
ბავშვობაში	ბავშვ ობ აში
ვარდის	ვარდ ის
თამაშებზე	თამაშ ებზე
შეცდომას	შეც დომ ას
სრული	სრულ ი
მაქსიმიანეს	მაქსიმ იან ეს
ჰერმანი	ჰერ მან ი
ბიძის	ბიძ ის
შიგთავსის	შიგთავ სი ს
ნულზე	ნ ულ ზე
უოტსონის	უოტ სონ ის
ეფექტურობა	ეფექტ ურობ ა
ლუიზიანის	ლუი ზიან ის
კოდი	კო დ ი
გადაყვანილი	გადა ყვანილ ი
არჩევანს	არ ჩევან ს
ბეიკერის	ბეი კერ ის
ერთპალატიანი	ერთ პალატ იანი
მოქცეულია	მო ქცეულ ია
შევარდნაძე	შევარდ ნაძ ე
ნებისმიერი	ნებ ისმიერ ი
კურსდამთავრებულები	კურსდამთავრ ებულ ები
გამოთქმების	გამო თქმ ების
პროლეტარულ	პროლე ტარ ულ
რევოლუციონერთა	რევოლუციონ ერ თა
ხუანის	ხ უან ის
ტარებას	ტარებ ას
მკლავი	მკლავ ი
ფერებს	ფერ ებს
ნიკ	ნიკ
დამეხმარებიან	დამე ხმარებ იან
ტურისტებს	ტურ ისტ ებს
ჩაწერამდე	ჩა წერ ამდე
მოზაიკის	მოზა იკ ის
ენტონი	ენ ტონ ი
დიმორფიზმი	დიმორფ იზმ ი
თარხუჯი	თარხ უჯ ი
მგზავრობა	მგზავრ ობ ა
განსაზღვრების	გან საზღვრ ების
მონასტერში	მონა სტერ ში
გრემ	გ რემ
დროს	დრო ს
თაღოვან	თაღ ოვან
პუნტლენდის	პუ ნტლენდ ის
განასხვავებს	განა სხვავებ ს
გამოქცეული	გამო ქცეულ ი
ფლეიტაზე	ფლეი ტ აზე
შესყიდვა	შე სყიდვ ა
ანდერძით	ანდერძ ით
სასამართლოებში	სასამართლ ო ებში
დაბრკოლებას	და ბრკოლებ ას
ენახა	ენ ახ ა
შანსი	შა ნს ი
რადიოში	რადი ო ში
