იტალიასთან	ი ტალი ასთან
შარდთან	შ არდ თან
გატანა	გა ტან ა
დამოუკიდებელ	დამ ოუკიდებ ელ
ცინცაძის	ცინც აძ ის
გამოწვის	გამო წვ ის
კვალობაზე	კვალ ობაზე
ორატორის	ორ ატორ ის
სიცილია	ს იცილი ა
იყვენენ	იყვ ე ნენ
აღძრა	აღ ძრ ა
შანიძემ	შან იძ ემ
ჰიტის	ჰიტ ის
ბულგარელი	ბულ გარელ ი
სამსახურეობრივი	სა მსახურე ობრივი
ჩერნობილის	ჩერნო ბილ ის
გადაწერა	გადა წერ ა
გავრცელებულია	გა ვრცელ ებულია
ხელახალი	ხელ ახალ ი
მონეს	მონ ეს
მუქარა	მუ ქარ ა
ვაკუუმური	ვაკუ უმ ური
ინგლისის	ინგლის ის
გამძლეა	გამძლე ა
ვნახეთ	ვნახეთ
ძმასთან	ძმ ასთან
მოთხრობათა	მო თხრობ ათა
საადმირალო	სა ადმირალ ო
განათლებას	გა ნათლებ ას
წარმოქმნილია	წარმო ქმნილ ია
ონდეს	ონ დეს
კაცი	კაც ი
ფუძიდან	ფუძ იდან
კოლეგია	კო ლეგ ია
კოდები	კ ოდ ები
მუნიციპალიტეტში	მუნიცი პალიტეტ ში
ფეხბურთელის	ფეხ ბურთელ ის
ოქროსფერია	ოქრო სფერ ია
ანსოატეგის	ანსო ატეგ ის
ბებიაშენის	ბებია შენ ის
ანტონია	ან ტონი ა
მოცულობითი	მო ცულობ ითი
ოსამა	ო სა მა
უწმიდესი	უ წმიდ ესი
აღიმართება	აღი მართ ება
განსაზღვრავს	გან საზღვრ ავს
სრულყოფილების	სრულ ყოფილ ების
მაიმუნებთან	მა იმუნ ებთან
მარტინი	მარტ ინ ი
კაბალას	კა ბალ ას
ნაკიანი	ნ აკ იანი
ოკრიბა	ო კრიბ ა
შემოსავლების	შემოსავლ ების
სორბონის	სორ ბონ ის
ჯემალ	ჯე მალ
უჯრედში	უჯრედ ში
ელემენტებია	ელე მენტ ებია
სემდეგ	სე მდეგ
აშინებენ	აშინ ებენ
სწორად	სწორ ად
მარსს	მარ ს ს
მატება	მატებ ა
გადმოღებული	გადმო ღებ ული
შეთანხმებული	შე თანხმ ებული
საარტილერიო	სა არტილერი ო
ინტერესებს	ინტერეს ებს
წარმომადგენლობამ	წარმო მადგენლობ ამ
განაგრძეს	განა გრძ ეს
გაიმარჯვა	გაი მარჯვ ა
ფერდობებსა	ფერ დობ ებსა
მარცხენაზე	მარცხ ენა ზე
სიხარულით	სი ხარულ ით
ემილის	ე მილ ის
დეპარტამენტში	დეპარტა მენტ ში
ოჰაიოს	ოჰ აიო ს
ძეგლებში	ძე გლ ებში
ჩვეულებისამებრ	ჩვეულებ ის ამებრ
ბენქსის	ბენ ქს ის
გორდონი	გორ დონ ი
აღიქმებოდა	აღი ქმ ებოდა
პიროვნება	პიროვნ ებ ა
კომპანიონი	კომპანი ონი
ჩაგვრის	ჩა გვრ ის
წარმოებამ	წარმოებ ამ
ინვალიდი	ინ ვალიდ ი
გამოიყოფა	გამოი ყოფ ა
ავტოგზები	ავტო გზ ები
რაღაცას	რა ღაც ას
ტექსტზე	ტექსტ ზე
თიხნარი	თიხნარ ი
პერსონალი	პერსონ ალ ი
რჩებიან	რჩ ებიან
ტერიტორაზე	ტერ იტორ აზე
გამზირზე	გამ ზირ ზე
ყლორტების	ყ ლორტ ების
ართვინი	ართვინ ი
ძაღლად	ძაღლ ად
აწერდა	ა წერ და
თავმოყრილი	თავმო ყრ ილი
უიტნის	უ იტნ ის
გაწვრთნას	გა წვრთნ ას
სისტემატიური	სისტემატ იურ ი
განყოფილებების	გან ყოფილებ ების
ბრუნავს	ბრუნ ავს
მდელოებსა	მდ ელო ებსა
მესამეული	მესა მე ული
მძიმე	მძ იმე
სიყვარულის	სიყვარულ ის
შეწყვიტეს	შე წყვიტ ეს
ჯგუფისგან	ჯგუფ ისგან
იდეურ	იდე ურ
სკანდალები	სკანდ ალ ები
ნაგაზის	ნაგა ზ ის
სიკვდილია	სიკვდილ ია
ქვეითები	ქვეით ები
სვამ	სვამ
ტომისა	ტომ ისა
სტრასბურგში	სტრა სბურგ ში
ველასკესის	ველ ასკეს ის
გაძლიერდა	გა ძლიერ და
მიდამოების	მიდამო ების
არსებულმა	არსებ ულ მა
მირიან	მი რიან
ანგელოზებს	ანგელოზ ებს
კალთის	კალ თ ის
რინგო	რინგ ო
განცხადებას	გან ცხადებ ას
ულრიხმა	ულრიხ მა
პატაგონიის	პატა გონ იის
ანალიტიკური	ანალი ტიკურ ი
მათს	მა თ ს
მიდრეკილებას	მი დრეკილ ებას
ბელგიის	ბელ გი ის
მეფეებს	მე ფე ებს
ხატით	ხატ ით
მარილიანობა	მარილ იან ობა
სახითაც	სა ხ ითაც
სრულწლოვანი	სრულ წლოვან ი
რასიზმის	რას იზმის
ბგერითი	ბგერ ითი
ალასკის	ალა სკ ის
დადგებოდა	და დგ ებოდა
კრატერის	კრა ტერ ის
ძეგლზე	ძე გლ ზე
დაწვეს	და წვ ეს
მილერის	მი ლერ ის
მწვერვალად	მ წვერვალ ად
მიკრორეგიონ	მიკრო რეგიონ
ფრაგმენტის	ფრა გმენტ ის
ათვალიერებ	ა თვალიერებ
აღსაკვეთად	აღსა კვეთ ად
ათენა	ა თენ ა
სირბილი	სი რბილ ი
დაამუშავა	დაა მუშავ ა
გააქტიურების	გა აქტიურ ების
მისამართი	მისა მართ ი
განსხვავდებოდა	გან სხვავდებ ოდა
ადგილისთვის	ადგილ ისთვის
სტეპები	ს ტეპ ები
შუამდე	შუ ამდე
თაღს	თა ღ ს
ფორუმი	ფორ უმ ი
თეოდოსიუსის	თეოდო სიუს ის
საბჭოთა	საბჭო თა
მოწოდებას	მო წოდებ ას
მემკვიდრეობად	მე მკვიდრეობ ად
სადილს	სადილ ს
გადასახლებულ	გადა სახლ ებულ
მშვიდობისათვის	მშვიდობ ისათვის
მცირერიცხოვანი	მცირე რიცხოვან ი
ფეხსახსრიანთა	ფეხ სახსრ იანთა
იგლუს	იგლ უს
ცხოველები	ცხოველ ები
ადგილობრივ	ადგილ ობრივ
წერტილამდე	წერ ტილ ამდე
სათავესთან	სა თავე სთან
მთიდან	მთ იდან
ბოდბე	ბო დბ ე
ბრაუნის	ბრა უნ ის
გონივრული	გონ ივრ ული
არდა	არდ ა
კედელზეა	კე დელ ზეა
მანაგუა	მან აგუ ა
თალიბების	თა ლიბ ების
პოლინეზიელი	პოლი ნეზი ელი
სიმშვიდის	სიმ შვიდ ის
ტაივანს	ტა ივან ს
ალბერტის	ალ ბერტ ის
აიტაცა	ა იტაც ა
სიმცირე	სი მცირ ე
დამყარებულია	და მყარებ ულია
ორგანიზაციამ	ორგანიზაცი ამ
გამოცემა	გამო ცემ ა
ტარასი	ტა რას ი
მიაღწევს	მია ღწევ ს
პარადოქსი	პარა დოქს ი
მოიმატა	მოი მატ ა
სნაიპერი	სნა იპერ ი
ანგელოზთა	ანგელოზ თა
ორმოცდაათი	ორმოცდა ათ ი
ლილვით	ლი ლვ ით
პრეისტორიულ	პრე ისტორი ულ
სკაიუოკერი	სკაი უოკერ ი
ცილინდრი	ცილი ნდრ ი
დაახლოებულ	და ახლოებ ულ
მოლეკულური	მო ლეკულ ური
პლანეტარულ	პლანეტ არულ
მატარებელთა	მა ტარებ ელთა
ბიზანტიელთა	ბიზ ანტიელ თა
ხორციელდებოდა	ხორციელ დებოდა
ელეანორ	ელ ეანორ
მოსვენებას	მო სვენებ ას
ფანასკერტელი	ფან ასკერტ ელი
ქმედებას	ქმედებ ას
თხელ	თხელ
გროვის	გროვ ის
სნეფრუს	სნე ფრ უს
ნარკოტიკული	ნარკო ტიკ ული
რეჟიმზე	რეჟი მ ზე
ნა	ნა
მსახიობია	მსახიობ ია
ივსება	ი ვსებ ა
ჩამწკრივებულია	ჩა მწკრივ ებულია
ენებს	ენ ებს
გეოლოგიაში	გე ოლოგი აში
კოგურიოს	კო გური ოს
სს	სს
უფალი	უ ფალ ი
შაკურის	შა კ ურის
ორგანიზატორული	ორგან იზატორ ული
დაფუძნება	და ფუძნებ ა
გადაკეთება	გადა კეთ ება
სტილიზებული	სტი ლიზ ებული
მოლეკულა	მო ლეკულ ა
დაწესებულებაში	დაწეს ებულებ აში
ეწევი	ე წევ ი
ვაილი	ვა ილ ი
სისხლის	სისხლ ის
სისხლისმღვრელ	სისხლის მღვრ ელ
მეუღლის	მე უღლ ის
თელავში	თე ლავ ში
ციხეთა	ციხე თა
უძღვის	უძღვ ის
მორს	მო რ ს
ფრთას	ფ რთ ას
შეძენას	შე ძენ ას
გოლი	გოლ ი
ბრინჯაო	ბრინჯაო
შეჯიბრის	შე ჯიბრ ის
მოწაფეებმა	მოწა ფეებ მა
მოაქვს	მო აქვ ს
მომწვანო	მო მწვან ო
ნავთობპროდუქტების	ნავთობ პროდუქტ ების
ჩემპიონს	ჩემპიო ნ ს
ჩაწერით	ჩა წერ ით
ჯავახიშვილს	ჯავახ იშვილ ს
თვითმფრინავმა	თვითმ ფრინავ მა
ინტერვენციის	ინტერ ვენცი ის
ყინულზე	ყინულ ზე
უდიდებულესობა	უდიდ ებულეს ობა
კვართის	კვარ თ ის
ბუჩქნარს	ბუჩქ ნარ ს
რენესანსი	რენ ესანს ი
ხედის	ხედ ის
განალაგა	განა ლაგ ა
შეტევაში	შე ტევ აში
სიმებიანი	სიმ ებ იანი
კანონმდებლობის	კანონმდებ ლობის
განსაცდელს	გან საცდელ ს
იერიშით	იერიშ ით
გალაქტიკა	გალ აქტიკ ა
ერთდროულად	ერთ დრო ულად
მედალიონი	მედა ლიონ ი
დოკუმენტებით	დოკუ მენტ ებით
ეზრა	ე ზრა
რუუდმა	რუ უდ მა
მონაგარი	მონა გარ ი
პრიორიტეტი	პრიორ იტეტ ი
შემოსაერთებლად	შემოსა ერთ ებლად
რეკომენდაცია	რეკომენ დაცი ა
ძველინდური	ძველ ინდ ური
არსებობისათვის	არსებ ობ ისათვის
მხედრულში	მხედ რულ ში
ორბიტას	ორ ბიტ ას
სერვერი	სერ ვერ ი
პროკოპი	პრო კოპ ი
ქვეშევრდომი	ქვეშე ვრდომ ი
კარგავს	კარგა ვ ს
ბრინჯს	ბრი ნჯ ს
აპოლონ	აპო ლონ
ყელამდე	ყ ელ ამდე
ურჩევდა	უ რჩევ და
წარმოებდა	წარმოებ და
დასახლებულ	და სახლებულ
გადანაწილებულია	გადა ნაწილებ ულია
რაჰმანი	რაჰ მან ი
ლაგოდეხის	ლაგ ოდეხ ის
პრობლემატიკა	პრობლე მატიკ ა
ბლუზი	ბლ უზ ი
ლოკალური	ლოკა ლ ური
ჯაყელთა	ჯაყ ელ თა
გამომადგა	გამო მადგ ა
გამაგრების	გა მაგრ ების
ელიზაბეტ	ელიზაბ ეტ
ჭურვი	ჭურვ ი
განხორციელების	განხორციელ ებ ის
დიპლომატია	დიპლომ ატ ია
მიაწერენ	მია წერ ენ
კუინზლენდის	კუ ინზ ლენდის
უნივერსიტეტებს	უნივერს იტეტ ებს
ინტელექტუალურ	ინტელექტუ ალ ურ
ევროპულ	ევრო პ ულ
ენასთან	ენ ასთან
კორპორატიული	კორპორა ტიულ ი
ნიშნავდეს	ნიშნავ დეს
საბაზო	სა ბაზ ო
კობალტის	კობა ლტ ის
მომსახურების	მო მსახურებ ის
გალიაში	გა ლი აში
დაეღწია	დაე ღწ ია
ნაპოლეონი	ნაპო ლეონ ი
განიხილეს	განი ხილ ეს
გააუარესა	გაა უარეს ა
შეცვალონ	შე ცვალ ონ
ალაზნისა	ალ აზნი სა
პოემას	პო ემ ას
სტუდიასთან	სტუდი ასთან
დედინაცვლის	დედინ აცვ ლის
ფეხბურთელებით	ფეხ ბურთელ ებით
იხსნის	ი ხსნ ის
იკვეთება	ი კვეთ ება
ფარული	ფარ ული
დანიშნულებაა	დანიშნულებ აა
კარტოგრაფიის	კარ ტოგრაფი ის
აქტში	აქტ ში
არგუმენტების	არგუ მენტ ების
მოკვდა	მო კვდ ა
იუნიორთა	იუ ნიორ თა
ნეიტრონული	ნეიტ რონ ული
ფინალების	ფინალ ების
აღარასოდეს	აღ არ ასოდეს
ფილარმონიის	ფილარ მონი ის
თხზულებანი	თხ ზულებ ანი
ცხოვრების	ცხოვრებ ის
ელიტას	ელ იტ ას
გლიკოგენის	გლიკ ოგ ენის
ვალუტა	ვალუტ ა
მთათაშორის	მთა თაშორის
გავდა	გა ვ და
გზატკეცილზე	გზა ტკეცილ ზე
თეორიებში	თე ორი ებში
უამბო	უამ ბ ო
მდგომარეობასა	მდგომარეობ ასა
აგრძელებდნენ	ა გრძელებ დნენ
მცირეხნიანი	მცირე ხნ იანი
განსახიერებაა	გან სახიერებ აა
საგანია	სა გან ია
გამოხატავს	გამო ხატავ ს
გაუშვია	გაუ შვ ია
ამოუშენებიათ	ამო უშენებია თ
განთქმული	განთქმულ ი
სარკმლის	სა რკმლ ის
გაეყვანა	გაე ყვან ა
დაძირვა	და ძირვ ა
ჯონს	ჯო ნს
ჰაერით	ჰაერ ით
ფილტრი	ფილ ტრ ი
გამგებელს	გამ გებელ ს
სენსორული	სენ სორ ული
დუნაის	დუნა ი ს
კანონთან	კანონ თან
კეპლერმა	კე პლერ მა
მოითხოვს	მოი თხოვ ს
მოქალაქემ	მო ქალაქე მ
სათავეში	სა თავე ში
არქიტრავზე	არქი ტრავ ზე
სალ	სა ლ
ხელშეკრულების	ხელშე კრულებ ის
მესამეზე	მესა მე ზე
გადააჭარბა	გადაა ჭარბ ა
ენაზე	ენ აზე
ხევის	ხევ ის
კოლეჯში	კოლ ეჯ ში
ყვავილებით	ყვავილ ებით
კაჭარავა	კა ჭარ ავა
საბუთები	საბუთ ები
მოდერნიზება	მოდერნიზ ება
ინსტიტუტები	ინსტიტუტ ებ ი
დემოკრატიისა	დემო კრატი ისა
ნაპირს	ნაპირ ს
შეხედულებების	შე ხედულებ ების
დაგროვება	და გროვ ება
კონსულტანტად	კონსულ ტანტ ად
დირაკს	დი რაკ ს
სასკოლო	სა სკოლ ო
რეზონანსის	რეზონან სი ს
ხეებია	ხე ებია
პირიქითი	პირ იქით ი
მეფეებად	მე ფე ებად
მომწიფების	მო მწიფ ების
დამცველი	და მცველ ი
მოლაპარაკებაზე	მოლაპარა კებ აზე
ციცაბო	ციც აბო
განედებზე	გან ედ ებზე
პარიზსა	პარიზ სა
სიყვარულით	სიყვარულ ით
გამოსვლაზე	გამო სვლ აზე
თვე	თ ვე
ნორვ	ნო რვ
ზელანდიასა	ზე ლანდი ასა
განგებ	გან გებ
ქსოვილით	ქსოვილ ით
დათვს	და თვ ს
დამოკიდებულებამ	და მოკიდებულ ებამ
ხევსურთა	ხევ სურ თა
აიგივებდნენ	აიგივ ებდნენ
ბრტყლად	ბრტყ ლად
ისურვა	ისურვ ა
ნაფიც	ნა ფიც
ყრის	ყ რ ის
მონღოლთა	მ ონღოლ თა
აქციუმის	აქ ციუმის
ძალუძთ	ძალუ ძ თ
დააკარგვინა	დაა კარგვ ინა
აღზევება	აღ ზევ ება
ლეგიონის	ლეგი ონ ის
საქსონური	სა ქსონ ური
დედოფალი	დედ ოფალ ი
ჯაჭვების	ჯაჭვ ების
გაუკეთეს	გაუ კეთ ეს
იორდანიის	ი ორდან იის
მხეცს	მხ ეც ს
ღირსშესანიშნაობებს	ღირსშესანიშნაობ ებ ს
დაქალი	და ქ ალი
უჯრედის	უჯრედ ის
განადგურებაში	გა ნადგურებ აში
წიგნის	წიგნ ის
სქესებს	სქეს ებს
განუხრელად	განუ ხრ ელად
საქმეა	სა ქმე ა
ქინქლაძის	ქი ნქლაძ ის
დოიჩე	დო იჩ ე
მოძრავია	მო ძრავ ია
არმიამ	არმი ამ
ადგილიც	ადგილ იც
ვიტგენშტაინის	ვიტ გენშტაინ ის
ფანტასტიური	ფანტას ტ იური
წინაპრებიც	წინა პრ ებიც
სახელმწიფოებში	სა ხელმწიფო ებში
ღირსშესანიშნაობაა	ღირსშესანიშნაობ ა ა
პატრიოტიზმის	პატრი ოტ იზმის
ხაზით	ხაზ ით
მოცარტი	მო ცარტ ი
ბატონობისთვის	ბატონ ობ ისთვის
ხანს	ხან ს
ქალიშვილობის	ქალ იშვილ ობის
კალათა	კა ლათ ა
თანაშემწეობით	თანა შემწე ობით
ხურციძე	ხურცი ძ ე
აერთიანებდა	ა ერთიან ებდა
შაქრის	შა ქრ ის
გადავიდა	გადა ვიდ ა
პაოლო	პა ოლ ო
რანთა	რან თა
მდგომარეობისა	მდგომარეობ ისა
მორჩილად	მორჩილ ად
მობილურის	მო ბილურ ის
ოთხმა	ოთხ მა
ჩეს	ჩ ეს
სასურველი	სა სურველ ი
მუსიკისგან	მუს იკ ისგან
ვილჰელმი	ვილჰელმ ი
ეძია	ე ძ ია
ორგანიზაციებთან	ორგანიზაცი ებთან
ხორვატიის	ხორ ვატ იის
ხელით	ხელ ით
აცხადებდა	ა ცხადებ და
ორგანიზატორი	ორგან იზატორ ი
შესწავლაზე	შე სწავლ აზე
ლექსიკონების	ლექს იკონ ების
ტროპიკებში	ტროპიკ ებში
ბრალი	ბრალ ი
სადგურის	სადგურ ის
ძალაც	ძალ აც
მეურვეობის	მეურვე ობის
დაყო	და ყ ო
უმნიშვნელო	უ მნიშვნელ ო
ამოღების	ამო ღებ ის
გამოხსნის	გამო ხსნ ის
დოგმა	დო გმ ა
აპირებდა	ა პირებ და
ლეკებმა	ლე კ ებმა
დაფიქსირებული	და ფიქსირებ ული
ქვაბულებში	ქვაბულ ებში
სადაო	სა და ო
გამოცანა	გამო ცან ა
ოუენ	ოუ ენ
დიუნების	დი უნ ების
დაიღუპებოდა	და იღუპ ებოდა
ნადირობისას	ნადირ ობ ისას
მწარმოებელია	მ წარმოებ ელია
კლიტოსი	კლი ტ ოსი
ხეთებს	ხეთ ებს
მალაიზიაში	მალა იზი აში
ჩხარის	ჩხ არ ის
ნიშნავდა	ნიშნავ და
გრავიტაციულ	გრავიტაცი ულ
მარკა	მარკ ა
სიმშვიდე	სიმ შვიდ ე
სახანოები	სა ხანო ები
გერმანელებთან	გერმან ელ ებთან
აღზრდის	აღ ზრდ ის
ნავარა	ნა ვარ ა
სევილიასთან	სევ ილი ასთან
დაემსგავსა	დაე მსგავს ა
მოხდება	მო ხდ ება
დაპროექტებული	და პროექტ ებული
იაა	ი აა
კახეთს	კა ხეთ ს
ჰიმალაის	ჰი მალა ის
ხელმომწერი	ხელმომ წერ ი
ნივთი	ნი ვთ ი
აპლიკაციების	ა პლიკაცი ების
ლემპარდმა	ლემპ არდ მა
მარკოზი	მა რკოზ ი
ბავშვობაში	ბავშვობ აში
ტემპერატურულ	ტემპერა ტურ ულ
უძლურია	უ ძლურ ია
აფასებდა	ა ფასებ და
სამხატვრო	სა მხატვრ ო
ჯვაროსანი	ჯვარ ოსან ი
ნივთიერებას	ნი ვთიერებ ას
ტიტულატურაში	ტი ტულ ატურაში
ფორმირებული	ფორმ ირებ ული
კორეასა	კო რე ასა
დახვეწილია	და ხვეწ ილია
ჩუქურთმები	ჩუქურთმ ები
ლოცულობდნენ	ლო ცულობ დნენ
მოსწავლეებს	მოსწავლ ე ებს
გამოცემისთვის	გამო ცემ ისთვის
მღვიმიდან	მღვ იმ იდან
ძირითდად	ძირით დ ად
მოთხრობა	მო თხრობ ა
ზრდასრულ	ზრდ ასრულ
შეკრებაზე	შე კრებ აზე
ამაგრებდნენ	ა მაგრ ებდნენ
კარლოსი	კარ ლოს ი
რუსთა	რუ ს თა
ტერენტი	ტერ ენტი
მუნიოსი	მუ ნი ოსი
ორდენების	ორ დენ ების
ბორცვები	ბორ ცვ ები
გაბატონებული	გა ბატონ ებული
მდიდრები	მდიდრ ები
მოფერებით	მო ფერ ებით
ასეა	ა სე ა
მაყურებლისათვის	მაყურებლ ი სათვის
ბლანკა	ბლ ანკ ა
გადაედოთ	გადაე დო თ
დაბომბვას	და ბომბვ ას
ექსტერიერი	ექს ტერიერ ი
სყიდვის	სყიდვ ის
ესმერალდა	ეს მერალდა
გამოიწვიეს	გამო იწვი ეს
მოჭიქული	მო ჭიქ ული
ჰოკეიში	ჰო კეი ში
ტარანტინომ	ტარანტი ნ ომ
წარმოქმნას	წარმო ქმნ ას
გასაღების	გასა ღებ ის
ულტრაიისფერი	ულტრაი ისფერ ი
მოგეხსენებათ	მოგე ხსენებ ათ
წერილის	წერილ ის
არაფერია	არა ფერ ია
წესრიგის	წესრიგ ის
თომასის	თო მას ის
ქსელმა	ქს ელ მა
გახმაურებული	გა ხმაურ ებული
გამოჩენის	გამო ჩენ ის
რესპუბლიკები	რესპუბლ იკ ები
ანას	ან ას
შესასვლელში	შე სასვლელ ში
თაროს	თა რო ს
განუზომელი	განუ ზომ ელი
წიგნისათვის	წიგნ ისათვის
დახვდნენ	და ხვდ ნენ
ჯიოვანი	ჯი ოვანი
დამსახურებაა	და მსახურებ აა
ფრენისას	ფრენ ისას
ტერიტორიას	ტერი ტორი ას
ლარიქსის	ლარ ი ქსის
ნადირობს	ნადირ ობ ს
აბასმა	ა ბას მა
შემაღლებაზე	შე მაღლებ აზე
კეთილშობილური	კეთილ შობილ ური
კულტურული	კულტურ ული
დოლართან	დო ლარ თან
ეტრუსკული	ეტრუ სკ ული
კინოფესტივალის	კინო ფესტივალ ის
გადაიღეს	გადა იღ ეს
სატელიტური	სა ტელიტ ური
ძირამდე	ძირ ამდე
შთამომავალმა	შთამო მავალ მა
სულიწმინდის	სული წმინდ ის
კორფუზე	კორ ფუ ზე
გალი	გა ლ ი
მოქმედი	მოქმედ ი
ინაუგურაციის	ინაუგ ურ აციის
პარადოქსს	პარა დოქს ს
რაიონის	რაიონ ის
პოეტად	პო ეტ ად
ოჩაკოვის	ოჩა კოვ ის
გაიცემა	გაი ცემ ა
მწვერვალს	მ წვერვალ ს
ქართლში	ქარ თლ ში
გაეკეთებინათ	გაე კეთ ებინათ
გურამიშვილი	გურამ იშვილ ი
საშიშროება	სა შიშროებ ა
ცოდო	ცოდ ო
ფიგურად	ფი გურ ად
აღრიცხვამდე	აღ რიცხვ ამდე
გადაკვეთისას	გადა კვეთ ისას
კუბას	კუ ბ ას
გვარებს	გვარ ებს
სათვალთვალო	სა თვალთვალ ო
სხვილოს	სხ ვილ ოს
სახელწოდებათა	სახელ წოდებ ათა
განთავსებული	გან თავს ებული
ევროკავშირში	ევრო კავშირ ში
პასპორტი	პასპორტ ი
გაენათის	გაენათ ის
სტიქიური	ს ტიქი ური
დასახლება	და სახლებ ა
გათავისუფლებულ	გა თავისუფლებ ულ
გადაიხდიდა	გადაი ხდიდ ა
ჩააყენა	ჩა აყენ ა
ვარსკვლავები	ვარსკვლავ ები
თავისებურებების	თავის ებურებ ების
სასაფლაო	სა საფლაო
ბაკურციხეში	ბაკურ ციხე ში
პროფესიულ	პროფეს ი ულ
საყოფაცხოვრებო	საყოფა ცხოვრებ ო
გრუნტში	გრუ ნტ ში
კონკურსი	კონკურ ს ი
მოთხოვნისა	მო თხოვნ ისა
გაყიდვით	გა ყიდვ ით
ბაზირებული	ბა ზირ ებული
რუსეთის	რუ სეთ ის
შემობრუნება	შემო ბრუნ ება
ჯიმი	ჯი მ ი
მონაწილეობისთვის	მო ნაწილეობ ისთვის
გასწიეს	გა სწი ეს
პლაჟებით	პლაჟ ებით
ხელოსნის	ხელ ოსნ ის
ტაძრებისა	ტაძრ ებისა
ქულებს	ქულ ებს
შეეყარა	შეე ყარ ა
რაზმებმა	რა ზმ ებმა
განმეორების	გან მეორ ების
მამალს	მამა ლ ს
გეოგრაფმა	გეო გრაფ მა
მადაგასკარის	მადაგა სკარ ის
ფიზიკაში	ფიზიკ აში
უელსელი	უ ელს ელი
კოლხეთს	კოლ ხეთ ს
სიარულის	სიარულ ის
ფუძეებს	ფუძე ებს
გააკეთებდა	გაა კეთებ და
დამაჯერებელი	დამ აჯერებ ელი
საორკესტრო	სა ორკესტრ ო
მრავალჯერადი	მრავალ ჯერ ადი
ლეგენდის	ლეგენ დ ის
სენატორები	სენ ატორ ები
გიგზს	გი გზ ს
ფინეთს	ფინ ეთ ს
დამატებას	და მატებ ას
ონისე	ონ ის ე
განწირული	გან წირულ ი
თადარიგში	თადარი გ ში
ეჩვენება	ე ჩვენებ ა
მოსულის	მო სულ ის
კირით	კი რ ით
მიტოვებული	მი ტოვებ ული
გაღწევა	გა ღწევ ა
უყვარს	უ ყვარ ს
ღლონტი	ღლონ ტ ი
ფლეიტის	ფლე იტ ის
შეუქმნია	შეუ ქმნ ია
აწყობა	ა წყობ ა
კონუსისებური	კონ უს ისებური
პრინციპულ	პრინც იპ ულ
გარედან	გარე დან
სამართლიან	სამართლ იან
რაოდენობისა	რა ოდენობ ისა
საქმიანობად	სა ქმიანობ ად
თანაფარდობის	თანა ფარდ ობის
სეტყვა	სე ტყვ ა
იმპერატორს	იმპერ ატორ ს
პეისერსი	პე ისერ სი
მეამბოხეების	მე ამბოხე ების
საჭეს	სა ჭე ს
მორეის	მო რე ის
უხერხული	უ ხერხ ული
გამოვარდა	გამო ვარდ ა
ომშიც	ომ შიც
შუბი	შუ ბ ი
დადგომა	და დგომ ა
მაურიების	მა ური ების
წარმოშობისაა	წარმო შობ ისაა
ხეობების	ხ ეობ ების
სიმჭიდროვით	სიმ ჭიდროვ ით
ჩვენთვის	ჩვენ თვის
ქეთო	ქე თ ო
პრივილეგირებული	პრივი ლეგირ ებული
დასაჯეს	დასა ჯ ეს
სიკვდილით	სიკვდილ ით
კვირაში	კვირ აში
მნიშვნელობის	მნიშვნელო ბ ის
გამსახურდია	გა მსახურდია
დასამხობად	დასა მხობ ად
ხმისჩამწერი	ხ მისჩამწერ ი
გამოცხადებით	გამო ცხადებ ით
ფოტოგრაფის	ფოტო გრაფ ის
ქართლისა	ქარ თლ ისა
იცოდეთ	ი ცოდ ეთ
ახდენდნენ	ა ხდენ დნენ
ხილვადობის	ხილვად ობის
ფერარი	ფერ არ ი
სიმსივნით	სიმსი ვნ ით
აპენინის	ა პენინ ის
დამკვირვებლის	დამ კვირვებ ლის
გაიმარჯვეს	გაი მარჯვ ეს
შედეგიანი	შე დეგ იანი
პათოლოგია	პა თოლოგი ა
მურთაზი	მ ურ თაზი
ფლოტს	ფლ ოტ ს
ნედლეულად	ნედ ლეულ ად
წინამძღვრობა	წინა მძღვ რობა
მკვიდრი	მკვიდრ ი
პოლკოვნიკი	პოლ კოვნიკ ი
დეიტა	დე იტ ა
მანქანათმშენებლობა	მანქანა თმშენებ ლობა
უხსოვარი	უ ხსოვარ ი
ღარიბთა	ღარიბ თა
გამოიცემა	გამო იცემ ა
მაგალითები	მა გალით ები
სციპიონმა	ს ციპიონ მა
მისადგომ	მისა დგომ
მშობლიურ	მშობლი ურ
იატაკის	იატაკ ის
სომეხი	სომე ხ ი
იყინება	იყინ ება
ნამარხებს	ნა მარხ ებს
თანახმადაც	თანა ხმ ადაც
სქესთან	სქეს თან
რეპროდუქციულ	რე პროდუქცი ულ
დაბადებული	და ბადებ ული
ნეიტანს	ნე იტან ს
ფასით	ფას ით
მიხაილოვსკოეს	მიხა ილოვ სკოეს
დემონური	დე მონ ური
სთან	ს თან
აფხაზური	აფ ხაზ ური
ოდინს	ო დინ ს
ტერიტორიად	ტერი ტორი ად
თორელთა	თორ ელთა
სარდლობით	სარდ ლობ ით
დაუბრუნებია	დაუ ბრუნ ებია
საგრაფო	სა გრაფო
ადიდე	ა დიდ ე
ბეჭდური	ბეჭდ ური
მეტამორფიზმის	მეტა მორფ იზმის
რაბლეს	რა ბლ ეს
კერპის	კერ პ ის
კართაგენელებმა	კართაგენ ელ ებმა
კრიტიკოსებს	კრი ტიკოს ებს
აირები	ა ირ ები
