იტალიასთან	იტალ ი ასთან
მხითარ	მხი თარ
განეკუთვნებიან	განე კუთვნ ებიან
ძალაუფლებისთვის	ძალა უფლებ ისთვის
პერიოდულობის	პერი ოდ ულობის
დართეს	და რთ ეს
რეაგირება	რე აგირებ ა
გაეთავისუფლებინა	გაეთავისუფლებ ინა
ასპარეზზე	ასპარეზ ზე
გადაიხადონ	გადაი ხად ონ
ვასილი	ვა სილ ი
ინაწილებენ	ი ნაწილ ებენ
მოკლებულია	მო კლ ებულია
მოყავისფრო	მო ყავ ისფრო
ორივეს	ორ ივე ს
უმუშევრობის	უ მუშევრ ობის
წიგნთა	წიგნ თა
ეპიზოდებს	ეპი ზოდ ებს
ფაუნა	ფა უნ ა
მოცულობას	მო ცულობ ას
წავა	წა ვ ა
სტორთინგმა	ს ტორთინგ მა
მოყვარულები	მოყვარულ ები
პეგასის	პე გას ის
სატანა	სა ტან ა
ჭირი	ჭირ ი
ტყეს	ტყე ს
შემცვლელად	შემ ცვლელ ად
ინოკენტი	ინოკ ენტ ი
ახმოვანებს	ა ხმოვან ებს
ბრძოლებში	ბრძოლ ებში
სიჭარბე	სი ჭარბ ე
დოპლერის	დო პლერ ის
მოწინააღმდეგეთა	მოწინააღ მდეგე თა
კენეთ	კენ ეთ
წიწვოვანი	წი წვოვან ი
მოგება	მო გებ ა
მკლავი	მკლავ ი
სტალინის	სტა ლინ ის
იმსახურა	ი მსახურ ა
უპირისპირებს	უ პირისპირ ებს
ქურდობა	ქურ დ ობა
ნორისი	ნორ ის ი
ფართობებზე	ფართო ბ ებზე
გარშემოწერილობა	გარშემო წერილ ობა
უპირატესობა	უპირატე სობ ა
იტალიელთა	იტალ იელ თა
აპრილამდე	აპ რილ ამდე
თაობებს	თა ობ ებს
დაკარგულად	და კარგულ ად
დაფაროს	და ფარ ოს
იუბილეზე	იუბილე ზე
მფარველად	მ ფარველ ად
მორისმა	მო რის მა
კოშკურა	კოშკ ურა
ფლორენტინო	ფლორ ენტინ ო
პეტრეს	პეტრ ე ს
დარბაზ	დარბაზ
გომინდანის	გო მინდან ის
მოამბის	მო ამბ ის
წითელ	წითელ
სამეფოები	სამე ფო ები
შესაძლებელს	შესაძლ ებელ ს
სწავლა	სწავლ ა
ლაგუნას	ლა გუნ ას
ქსელებს	ქს ელ ებს
პროვინციასა	პრო ვინცი ასა
ილო	ილ ო
ავიაკატასტროფაში	ავია კატასტროფ აში
გააოცა	გაა ოც ა
ამოცანა	ა მოცან ა
ზღვებში	ზღვ ებში
აშილ	ა შ ილ
დასახლებამ	და სახლებ ამ
ალიზით	ალიზ ით
რიგისა	რიგ ისა
უკეთაა	უ კეთ აა
ეუფლება	ე უფლებ ა
სიზმრებს	სიზმრ ებს
გეოლოგიის	გე ოლოგი ის
ირანი	ირან ი
უღელტეხილზე	უღელ ტეხილ ზე
ავღანური	ავღ ან ური
ბოლომდე	ბოლო მდე
განსაზღვროს	გან საზღვრ ოს
სომხურმა	სომხ ურ მა
დაუტოვებიათ	დაუ ტოვებ იათ
მდინარეები	მდინარე ები
აბრეშუმი	აბრე შუმ ი
ერთვის	ერთ ვ ის
პოლიტიკიდან	პოლიტ იკ იდან
ფონ	ფონ
მრავალფეროვნების	მრავალ ფეროვნებ ის
იდენტურია	იდენტ ურ ია
არჩევნების	არჩევნ ებ ის
გადაადგილებისას	გადა ადგილ ებისას
აღმასრულებელ	აღმა სრულებ ელ
კუბა	კუბ ა
დაპირისპირებაში	დაპირის პირებ აში
თევზაძე	თევზ აძე
მიტროპოლიტმა	მი ტროპოლიტ მა
ვებსაიტი	ვებსა იტ ი
გოთიკური	გოთ იკური
ელფერის	ელ ფერ ის
ავტონომიის	ავტო ნომი ის
შესწავლითაა	შე სწავლ ითაა
ზომიერ	ზომ იერ
ფერით	ფერ ით
წინაა	წინ აა
მიერაა	მიე რ აა
მოძებნა	მო ძებნ ა
განჭვრიტა	განჭვრ იტ ა
რუთი	რუ თ ი
ეტაპიდან	ეტაპ იდან
აპარატები	ა პარატ ები
კოსოვოში	კო სოვ ოში
ჩამონგრეულია	ჩამო ნგრე ულია
კასტელის	კა სტელ ის
ვარჯიშობს	ვარჯიშ ობს
წარუდგინეს	წარუ დგინ ეს
გამოცდილებამ	გამოცდ ილ ებამ
ეთიოპიამ	ეთიოპ ი ამ
შეეხებოდა	შეე ხ ებოდა
აფასებს	ა ფასებ ს
შეტაკების	შე ტაკებ ის
ცოდვა	ცოდვ ა
დღიურ	დღიურ
მიწურულისთვის	მიწურ ულ ისთვის
კვალის	კვალ ის
ითვალისწინებდნენ	ი თვალისწინ ებდნენ
კრწანისის	კრწანის ის
ფიცის	ფიც ის
დაეტოვა	დაე ტოვ ა
ბაღებსა	ბა ღ ებსა
შერონ	შე რონ
ოსმან	ოს მან
ჩანჩქერები	ჩა ნჩქერ ები
ბანის	ბან ის
ნავარის	ნა ვარ ის
ბაგრატიონი	ბაგრატ იონ ი
საწარმოში	სა წარმო ში
კავშირგაბმულობა	კავშირგაბმ ულობ ა
სატელეგრაფო	სატელე გრაფ ო
ფერფლიდან	ფერ ფლ იდან
მახარაძეს	მა ხარაძ ეს
ნაწარმოებად	ნა წარმოებ ად
დადასტურებული	და დასტურ ებული
შენადნობების	შე ნადნობ ების
ფესვების	ფესვ ების
სასიმღერო	სასი მღერ ო
პოლინეზიელებმა	პოლი ნეზი ელებმა
ლანდშაფტი	ლანდშა ფტ ი
გერმანიაში	გერმან ი აში
კვარტლის	კვარტ ლ ის
მითებში	მ ით ებში
მოლუსკების	მოლუ სკ ების
დგამს	დგამ ს
მიკრობული	მიკრო ბ ული
ნელსონ	ნელ სონ
შეესივნენ	შე ეს ივნენ
ქალაქებს	ქალაქ ებს
ტერმინატორი	ტერმინ ატორ ი
ასპარეზობს	ასპარეზ ობ ს
ინტეგრაციას	ინტე გრაცი ას
პროლეტარიატის	პროლეტ არ იატის
ფოთლები	ფოთ ლებ ი
დალგლიში	და ლგლი ში
ქალაქიდან	ქალაქ იდან
ერზრუმის	ერ ზრუმ ის
დაწვრილებითი	და წვრილ ებითი
ამუშავებენ	ა მუშავ ებენ
თასიც	თას იც
ჯანლუიჯი	ჯანლუ იჯ ი
მონტესუმა	მონტე სუმა
ზამთარსა	ზამთა რ სა
მკვლევარი	მკვლე ვარ ი
პროდუქტიული	პროდუქ ტი ული
ლოთარინგიის	ლო თარინგი ის
ჯულსი	ჯულ სი
კოეფიციენტების	კო ეფიციენტ ების
უკუაგდო	უკუ აგდ ო
ზღვაოსანი	ზღვა ოსან ი
გრილი	გრი ლ ი
მილიონმა	მი ლიონ მა
ციკლოპს	ციკ ლოპ ს
კუთხეების	კუ თხე ების
რუსეთი	რუს ეთ ი
სიკაშკაშეს	სი კაშკაშ ეს
შეკავშირება	შე კავშირ ება
წვრილფეხა	წვრილ ფეხა
ალბრეხტი	ალბ რეხტ ი
მასაა	მასა ა
სამოსს	სამ ოს ს
ბოლივიაში	ბოლ ივი აში
თბილისელმა	თბილ ის ელმა
ერიდებოდნენ	ერი დებოდნენ
დოს	დ ოს
დაფინანსდა	და ფინანს და
ავანგარდის	ავანგარდ ი ს
დახვდა	და ხვდ ა
იკპ	იკ პ
მესამედს	მე სამედ ს
პირადობის	პირ ად ობის
ფასის	ფას ის
ფაქტსაც	ფა ქტ საც
შამანური	შა მან ური
ენი	ენ ი
ალპებსა	ალ პ ებსა
იონ	იონ
წნევაზე	წნ ევ აზე
ევაკუაციის	ევაკუ აციის
აირის	ა ირ ის
მამლუქთა	მამ ლუქ თა
ტოლსტოის	ტოლსტო ის
ვერსიას	ვერსი ას
ატყვია	ა ტყვ ია
შტუტგარტში	შტუტ გარ ტში
ლაშქრობის	ლაშქ რობ ის
ელფებმა	ე ლფ ებმა
ზევით	ზე ვ ით
ოფიცრებს	ოფიც რ ებს
ყოველივეს	ყოველ ივე ს
ახალზელანდიური	ახალზე ლანდი ური
მოსაგვარებლად	მოსა გვარ ებლად
უსისხლო	უ სისხლ ო
უქადდა	უქ ად და
პარტიებს	პარტი ებს
მასპინძელმა	მასპინძ ელ მა
აქლემის	აქ ლემ ის
ხასიათზე	ხასიათ ზე
ბარელი	ბარ ელი
პერსპექტიულ	პერსპექტ ი ულ
გაჩენამ	გა ჩენ ამ
ვაკეებზე	ვა კე ებზე
სამფლობელოების	სამ ფლობელო ების
კაპიტალით	კაპიტ ალ ით
კრისი	კრი ს ი
მოსამსახურე	მოსა მსახურ ე
უიარაღო	უ იარაღ ო
გადადგომის	გადა დგომ ის
ფსევდონიმით	ფს ევდონიმ ით
სასაფლაოზე	სასაფლა ო ზე
სპორების	სპორ ების
მონეტას	მონ ეტ ას
ვერცხლისფერი	ვერცხლის ფერ ი
ფაქტიურად	ფა ქტ იურად
ფუტურისტული	ფუტ ურ ისტული
შვილიშვილები	შვილ იშვილ ები
ცას	ც ას
სტეპი	სტ ეპ ი
აზარტულ	აზ არტ ულ
მინიატიურების	მინი ატიურ ების
ებრძოდა	ე ბრძო და
კანდის	კა ნდ ის
ტკივილით	ტკივილ ით
უედელის	უ ედ ელის
შეირთო	შეი რთ ო
მმართველებმა	მ მართველ ებმა
პრეზიდენტი	პრეზიდ ენტ ი
იარაღები	იარაღ ები
აღმართეს	აღ მართ ეს
სრულფასოვან	სრულ ფას ოვან
ატყობინებდნენ	ა ტყობინებ დნენ
ამბავს	ამბ ავ ს
წარმოებისთვის	წარმოებ ისთვის
მიუსაჯეს	მიუ საჯ ეს
დიოდორე	დიო დორ ე
უდრტვინველად	უდრტ ვინ ველად
გლოვის	გლო ვ ის
ანთროპოლოგიურად	ანთროპ ოლოგი ურად
ჩამკეტების	ჩამ კეტ ების
ჩაუტარებია	ჩაუ ტარ ებია
ცხენებს	ცხენ ებს
დანაყოფს	დანა ყოფ ს
სპორტის	სპორტ ის
სტარტზე	სტარტ ზე
რუპერტ	რუ პერტ
დამკვიდრებულ	და მკვიდრ ებულ
ჰაბსბურგი	ჰაბ სბურგ ი
ცვეტაევა	ცვეტაევ ა
ინტუიციური	ინ ტუიცი ური
მაქსიმილიან	მაქსიმი ლიან
ნაჯახით	ნა ჯახ ით
ბრძოლისთვის	ბრძოლ ისთვის
ტრადიციაში	ტრადიცი აში
ბაზრობა	ბაზ რობ ა
მოდულების	მო დულ ების
საბუთში	საბუთ ში
აჯობა	ა ჯ ობა
შეფასების	შე ფასებ ის
შესრულებისთვის	შე სრულებ ისთვის
მილში	მი ლ ში
პინოჩეტის	პი ნოჩე ტის
ანანია	ან ან ია
პროვინციები	პრო ვინცი ები
არმიისთვის	არმი ისთვის
ემისია	ემ ისია
გაეცნოს	გაე ცნ ოს
მარქსის	მარ ქს ის
შეყვანილი	შე ყვანილ ი
ასრულებდა	ა სრულებ და
გათხოვდა	გა თხოვ და
ძუძუმწოვრების	ძუძუმწო ვრებ ის
ყურადრებას	ყურ ადრ ებას
ლოცვა	ლოცვ ა
ფართედ	ფარ თედ
რიუკიუს	რი უკ იუს
დალას	და ლას
გადალახოს	გადა ლახ ოს
სიხშირის	სი ხშირ ის
ობიექტი	ობ იექტ ი
მთავრობით	მთავრობ ით
ზებუნებრივი	ზე ბუნებრივ ი
დაბადების	დაბადებ ის
პოლიგამია	პოლი გამი ა
აზიურ	ა ზი ურ
ასპარეზობენ	ასპარეზ ობენ
გამოადგა	გამოა დგ ა
ჯასტინი	ჯა სტინ ი
შანშე	შან შ ე
ნახევარსა	ნა ხევარ სა
ცალმხრივად	ცალ მხრივ ად
მხარისთვის	მ ხარ ისთვის
დედაქალაქიც	დედა ქალაქ იც
მასა	მა სა
დეპუტატს	დე პუტატ ს
კომენტარებს	კომენტ არ ებს
ილიას	ილი ას
ლეგიტიმაცია	ლეგ იტიმ აცია
მაისური	მა ისურ ი
ბოკასას	ბოკა ს ას
ბრი	ბრ ი
ტყვედ	ტყვე დ
ჟურნალისტებმა	ჟურნ ალისტ ებმა
გეორგიევსკის	გე ორგიევსკი ს
ხეობები	ხე ობ ები
სახლობდა	სახლ ობდა
თორა	თ ორ ა
ქალი	ქალ ი
ქვაზე	ქვ აზე
მეფეებთან	მე ფე ებთან
წარსულ	წარ სულ
დამპატიჟეს	დამ პატიჟ ეს
განვითარებადი	გან ვითარებ ადი
დაიკავოს	დაი კავ ოს
არაფორმალურად	არა ფორმ ალურად
ვინჩი	ვი ნჩ ი
ღმერთს	ღმერთ ს
მათკენ	მათ კენ
უთანხმოების	უთანხმ ო ების
დაავადებებისა	და ავადებ ებისა
ეწოდა	ე წოდ ა
ჰეპბერნი	ჰ ეპბერ ნი
კუბაზე	კუბ აზე
სუბიექტების	სუბ იექტ ების
გამოასალმა	გამოა სალ მა
ხაზარებმა	ხა ზარ ებმა
ფირმა	ფირმ ა
უქმე	უ ქმე
სამონადირეო	სა მონადირე ო
ფარზე	ფარ ზე
თვითმყოფადობა	თვითმ ყოფად ობა
არსის	ა რს ის
უშიშრად	უ შიშ რად
ართულებს	ა რთულ ებს
რეფერენდუმის	რე ფერენდუმ ის
ასაკამდე	ასა კ ამდე
ნაკლი	ნაკლ ი
რაიმუნდ	რაი მუნდ
პარანას	პარა ნ ას
ზეპირსიტყვიერად	ზეპირ სიტყვიერ ად
რომანული	რო მან ული
დაასახლა	დაა სახლ ა
მესამედით	მე სამედ ით
სამსახური	სა მსახურ ი
შიგნით	შიგ ნ ით
მუზეუმი	მუზეუმ ი
კეისრის	კე ის რის
ეტყოდა	ე ტყ ოდა
პაციენტებს	პაციენტ ებ ს
გოგონა	გო გონ ა
გრიგოლ	გრი გოლ
ბაგრატიონთა	ბაგრატ იონ თა
რბოლა	რბოლ ა
ერიქსონი	ერ იქსონი
დაყრდნობილ	და ყრდნობილ
საუბრობდა	საუბრ ობდა
შიშველია	შიშველ ია
სადგურების	სადგურ ების
ვოგის	ვ ოგ ის
გაგრაში	გა გრ აში
დარიოსმა	და რიოს მა
ვალტერ	ვ ალტერ
საძმომ	სა ძმო მ
წრეს	წ რე ს
შედის	შე დ ის
სიდნი	სი დნ ი
კბილებში	კბილ ებში
მონაწილეების	მო ნაწილე ების
გადმონაშთები	გადმო ნაშთ ები
გაორმაგდა	გა ორმაგ და
ფიზიოლოგიის	ფიზი ოლოგი ის
ქვაც	ქვ აც
ვარიაციების	ვარი აცი ების
რანგის	რა ნგ ის
კანეს	კან ეს
არეაში	არე აში
ჯუმბერ	ჯუ მბერ
ანკარის	ან კარ ის
ძალებისა	ძალ ებისა
მამის	მა მ ის
ფართობი	ფართო ბ ი
საწერად	სა წერ ად
ჯონსი	ჯო ნს ი
ბიზანტიელებს	ბიზანტ იელ ებს
ხილვა	ხილვ ა
ციფრით	ციფრ ით
კავშირების	კავშირ ების
პილასტრი	პილ ასტრ ი
ლოპე	ლოპ ე
ზომითა	ზომ ითა
თუშეთის	თ უშეთ ის
ჟამს	ჟ ამ ს
წინაღმდეგ	წინა ღ მდეგ
ტილზიტის	ტილ ზიტ ის
იღუპებიან	ი ღუპ ებიან
ვადით	ვა დ ით
ძვლოვანი	ძვლ ოვანი
მონიშნული	მო ნიშნ ული
ილაის	ილ ა ის
ტომს	ტომ ს
შეადგენდნენ	შე ადგენ დნენ
ერერა	ერე რ ა
კონსტრუქციულად	კონსტრუქ ცი ულად
ნაშიერს	ნა შიერ ს
მომზადებული	მო მზადებ ული
დასასრულისთვის	დასა სრულ ისთვის
დაწვრილებით	და წვრილ ებით
გადასაჭრელად	გადასა ჭრ ელად
ტრანსლაცია	ტრანს ლ აცია
შეხვედრას	შე ხვედრ ას
პოლიციელების	პოლი ცი ელების
დანერგვის	და ნერგ ვის
რაოდენობაც	რა ოდენობ აც
გაფრინდა	გა ფრინ და
ბუღა	ბუ ღ ა
ტრისტან	ტრი სტან
ჩამოგდებულ	ჩამო გდებ ულ
მტკვარი	მტკ ვარ ი
დაცემა	და ცემ ა
შვილს	შვილ ს
ექვსმა	ექვს მა
ღრუბლები	ღრუ ბლ ები
შეცვალეს	შე ცვალ ეს
ფუჭი	ფუჭ ი
კამათში	კა მათ ში
ჩათვალა	ჩა თვალ ა
მაიკლს	მა იკლ ს
მოსამართლემ	მოსამართ ლე მ
აჭისწყლის	ა ჭ ისწყლის
მოხალისე	მო ხალისე
პტოლემეს	პტოლე მე ს
ოდინი	ოდ ინ ი
ანატომიას	ანა ტომი ას
ერმიტაჟის	ერმი ტაჟი ს
კომპანიაა	კომპანი აა
ფასი	ფას ი
გამორიცხავდა	გამო რიცხ ავდა
სერაფიმე	სერ აფ იმე
ზღვაოსნები	ზღვა ოსნ ები
სუპერთასის	სუპერ თას ის
ძრავი	ძრავ ი
ნამგლისებრი	ნამ გლ ისებრი
ანგელა	ან გელ ა
უფლისაგან	უფლ ისაგან
ცერემონიის	ცერემონი ის
ზოლიანი	ზოლ იანი
სატახტო	სა ტახტო
ახალგაზრდობა	ახალგა ზრდ ობა
ქცევები	ქცევ ები
ნიუტონი	ნიუ ტონ ი
ვერაგულად	ვერა გულ ად
კუბი	კუბ ი
ავსტრიელის	ავსტრ ი ელის
დრაკონი	დრა კონ ი
პარკსა	პარ კ სა
უმცირესობაში	უმცირე სობ აში
ფორმატი	ფორ მატ ი
ვეშაპების	ვ ეშაპ ების
მოდური	მო დ ური
ერთეულში	ერთ ეულ ში
ტიერი	ტ იერ ი
თავისებურებებს	თავისებ ურებ ებს
ორივენი	ორ ივე ნი
დასახელებით	დასა ხელებ ით
განაყოფიერება	გა ნაყოფიერ ება
ჰეროდეს	ჰერ ო დეს
მეთაურობს	მე თაურ ობს
პროვინციებს	პრო ვინცი ებს
შესულიყო	შე სულ იყო
ალგეთის	ალ გეთ ის
ბურჯს	ბუ რჯ ს
სკანდიუმის	სკანდ იუმ ის
შეეგუე	შე ეგუ ე
მომწიფებული	მო მწიფ ებული
ასურბანიფალის	ასურ ბანიფალ ის
ჯაშუშები	ჯა შუშ ები
ბავშვებისთვის	ბავშვ ებისთვის
ბარბაროსები	ბარ ბაროს ები
ერთგვარი	ერთ გვარ ი
მწკრივი	მწკრივ ი
ეკითხა	ეკითხ ა
ვერაფერს	ვერა ფერ ს
სასიხარულო	სა სიხარულ ო
სიმძლავრეა	სი მძლავრ ეა
სუდარის	სუ დარ ის
ფურცლები	ფურც ლ ები
ედო	ედო
პეისერსმა	პე ისერ სმა
ინტელიგენცია	ინტე ლიგენცი ა
გრაფიკი	გრაფიკ ი
გადაიზრდება	გადა იზრდებ ა
საწერი	სა წერ ი
მია	მ ია
სურს	სურ ს
აღმოსავლეთ	აღმო სავლეთ
მეთოდმა	მე თოდ მა
ბილეთები	ბილე თ ები
ექსპორტირება	ექსპორტ ირება
მოხსენიებულ	მო ხსენიებ ულ
სამხრეთული	სა მხრეთ ული
დავითაშვილი	და ვით აშვილი
სამკაულებს	სა მკაულ ებს
საკვებს	სა კვებ ს
არსებანი	არსებ ანი
ბან	ბან
მოსულმა	მო სულ მა
სიცივისგან	სი ცივ ისგან
კაფეში	კა ფე ში
ფინანსებს	ფინანს ებს
ყბების	ყ ბ ების
ისტორიკოსს	ისტორ იკოს ს
ლაგამი	ლა გამ ი
ყრილობის	ყრი ლობ ის
ლაშქარი	ლაშქ არ ი
მდგრადობას	მდგრად ობას
ბუტიაა	ბუტი აა
რაიონისა	რაიონ ისა
სკოპიეს	სკოპი ე ს
აღიარებით	ა ღიარებ ით
ფეხბურთის	ფეხბურთ ის
მანერების	მან ერ ების
აირთა	ა ირ თა
პოსტებს	პოსტ ებს
ფიცს	ფიც ს
დღისთვის	დღ ისთვის
სამემკვიდრეო	სა მემკვიდრე ო
ოდინის	ოდ ინ ის
ქორწილამდე	ქორწილ ამდე
ადვილია	ადვილ ია
ნალექი	ნა ლექ ი
რეპერმა	რე პერ მა
ბრიგადის	ბრიგა დ ის
საგადასახადო	საგადასა ხად ო
შესაფერისი	შესა ფერის ი
ხელუხლებლად	ხელუხლებ ლ ად
განვითარებულმა	გან ვითარებ ულმა
თუთიყუში	თუთი ყუში
უარი	უარ ი
ჯუბა	ჯუ ბ ა
მიკროსკოპის	მიკრო სკოპ ის
სათაფლიის	სა თაფლ იის
საწვავად	სა წვავ ად
სამეურვეო	სა მეურვე ო
ქუთათელი	ქუთ ათ ელი
აბდელ	აბდ ელ
ქარიზმატული	ქარ იზმატ ული
ცხრამეტშიო	ცხრამეტ შიო
გაბნეულია	გა ბნეულ ია
შემდეგად	შე მდეგ ად
მოიგერია	მოი გერი ა
ჰანის	ჰან ის
მდედრის	მდედრ ის
მანქანიდან	მანქან იდან
იმიჯს	იმ იჯ ს
მძევალი	მძევ ალ ი
ნაშრომის	ნა შრომ ის
დატყვევების	და ტყვევებ ის
მიღებას	მი ღებ ას
ლალიმ	ლა ლ იმ
გადაწყდა	გადა წყდ ა
გაედინება	გა ედინებ ა
მნიშვნელობისაა	მნიშვნელო ბ ისაა
საფლავების	საფლავ ების
ტიბეტელები	ტი ბეტ ელები
სტილისტური	სტი ლისტ ური
სარდლებმა	სარდ ლ ებმა
ძნელად	ძ ნელ ად
მკლავებში	მკლავ ებში
ლეგალიზება	ლეგ ალიზ ება
დასი	და ს ი
ფულს	ფუ ლ ს
ანტიციკლონი	ანტი ციკლონი
მანერით	მან ერ ით
ნიკოლსკოეს	ნი კოლ სკოეს
შესამუშავებლად	შესა მუშავ ებლად
ეთაყვანებოდნენ	ე თაყვან ებოდნენ
მჟავებს	მჟავ ებს
ანალოგური	ანა ლოგ ური
გადაჰყავდა	გადა ჰყავ და
სახეობებიდან	სახეობ ებიდან
კლასზე	კლას ზე
ვაშინგტონში	ვაშინგ ტონ ში
შტატებიდან	შტატ ებიდან
სახელთან	სახელ თან
კვდებოდა	კვ დ ებოდა
გადამწერი	გადა მწერ ი
გადატრიალების	გადა ტრიალ ების
გონება	გონებ ა
კლავდიუსის	კლავ დიუს ის
გაეძლიერებინა	გაე ძლიერ ებინა
დაბლაა	დაბლ აა
მოიხსენიება	მოი ხსენიებ ა
წერტილების	წერტ ილ ების
ბოსნიელთა	ბო სნი ელთა
ლიტვის	ლი ტვ ის
ერთობლიობაში	ერთობლი ობ აში
ვენესუელაში	ვენეს უელ აში
ნაბოკოვის	ნაბო კოვ ის
მაჯაპაჰიტის	მა ჯაპაჰ იტის
ტანზანიაში	ტან ზანი აში
რუსეთსა	რუს ეთ სა
ჯი	ჯი
ნეიტრონის	ნეიტრ ონ ის
ვერნერ	ვერნერ
დელტა	დელტ ა
ესკადრის	ესკადრ ის
ყოფიერების	ყოფიერებ ის
ვისთანაც	ვის თანაც
გეგმავს	გეგმ ავს
ოსტატურად	ოსტატ ურად
გამომყოფი	გამო მყოფ ი
ალპებში	ალ პ ებში
ლორენცის	ლო რენც ის
პირველში	პირველ ში
ძვლით	ძვლ ით
არიდული	არიდ ული
ამილახვარს	ამი ლახვ არს
უვეას	უ ვე ას
ბარიერული	ბარ იერ ული
სექსუალურად	სექსუალ ურად
კლიფის	კლი ფ ის
ჩვენმა	ჩვენ მა
უთვალთვალებს	უ თვალთვალ ებს
ტურის	ტურ ის
სოლოები	სო ლო ები
სვასტიკის	სვ ასტიკ ის
მოეტანათ	მოე ტან ათ
მოტივების	მო ტივ ების
მეტიუ	მეტიუ
რიცხვით	რიცხვ ით
სავანას	სა ვან ას
სთავაზობდნენ	ს თავაზ ობდნენ
თვიური	თვი ური
რაინდის	რაინდ ის
ცოლ	ცოლ
ბერილიუმის	ბერილ იუმ ის
განვითარების	გან ვითარებ ის
ნახმარია	ნა ხმარ ია
ვიდრე	ვი დრ ე
ოდენობა	ოდენობ ა
ოცდამეერთე	ოცდამე ერთ ე
პარლამენტის	პარლამენტ ის
ჯუჯებს	ჯუ ჯ ებს
იურისტები	იურის ტ ები
თორმეტი	თორმეტ ი
ნოლანის	ნო ლან ის
კარნიზი	კარ ნიზი
პლიოცენში	პლი ოცენ ში
წარმართ	წარ მართ
სუბკულტურა	სუბ კულტურ ა
პოპულარიზაციის	პოპულარ იზაციის
კოქსის	კო ქს ის
შრე	შ რე
პერესის	პერ ეს ის
ხელმისაწვდომი	ხელმისა წვდომ ი
მეტის	მეტ ის
ნახევარფინალს	ნახევარ ფინალ ს
ველის	ველ ის
სარდინია	სარდ ინი ა
დაიგეგმა	დაი გეგმ ა
უმსხვილესი	უმსხვილ ეს ი
რევაზ	რე ვაზ
აჯანყებულები	აჯანყ ებულ ები
ბულგარულ	ბულ გარ ულ
მიაკუთვნა	მია კუთვნ ა
ლათინთა	ლათინ თ ა
ბილეთის	ბილე თ ის
ადგილმდებარეობით	ადგილ მდებარე ობით
ჰანსს	ჰა ნს ს
გმირები	გმირ ები
ბეღურა	ბე ღ ურა
ვერცხლის	ვერცხ ლ ის
ქვეჯგუფებში	ქვე ჯგუფ ებში
შედგებოდა	შე დგ ებოდა
მოედინებოდა	მო ედინებ ოდა
გეოცენტრული	გეო ცენტრ ული
შრომები	შრომ ები
ჩინელი	ჩი ნელ ი
სიგანის	სი გან ის
კანდიდატების	კანდიდატ ების
დაეჭირა	დაე ჭირ ა
კათოლიკოსს	კათოლიკოს ს
გამომცემლობებში	გამომ ცემლობ ებში
შემოქმედი	შე მოქმედ ი
დელეგაციის	დე ლეგაცი ის
ვაჭრობაში	ვაჭრ ობ აში
დაეხმარება	დაე ხმარებ ა
თერაპია	თე რაპი ა
აზუსტებს	ა ზუსტ ებს
თრაკიაში	თრა კი აში
გრანდე	გრან დ ე
კომპლექსია	კომპ ლექს ია
გობლინები	გო ბლინ ები
თრდატის	თრდა ტ ის
კინეტიკური	კი ნეტ იკური
დუბლის	დუ ბლ ის
ევერეტი	ევერ ეტ ი
უთანასწორობას	უთანა სწორ ობას
რეი	რე ი
მდედრების	მდედრ ების
ბრძანების	ბრძანებ ის
მდიდრდებოდა	მდიდრ დებოდა
პირველხარისხოვანი	პირველ ხარისხ ოვანი
შემწე	შემწე
ასხივებს	ა სხივ ებს
სერიალ	სერიალ
გარკვევას	გა რკვევ ას
დაქორწინებულ	და ქორწინ ებულ
გენერალს	გენერ ალ ს
გარბიან	გა რბ იან
დატოვებული	და ტოვ ებული
ჟარის	ჟ არ ის
უმეტესობა	უმეტესობა
ფრაზას	ფრა ზ ას
კილო	კი ლო
გადარჩნენ	გადა რჩ ნენ
შეიკრიბა	შე იკრიბ ა
არხს	არ ხ ს
ანდრონიკაშვილი	ანდრონი კაშვილ ი
დასახული	და სახ ული
ტრაქტატს	ტრა ქტატ ს
მედიკამენტები	მედიკა მენტ ები
ეჭვს	ე ჭვ ს
მანიშნებელი	მა ნიშნებ ელი
აგრონომიის	აგრო ნომი ის
სინდარულად	სინ დარ ულად
ინგ	ინგ
ბავშვობიდან	ბავშვობ იდან
ბლოკადას	ბლოკ ად ას
იცვლება	ი ცვლ ება
ვეტერანი	ვეტერ ან ი
გრადუსზე	გრად უს ზე
მნახველებს	მ ნახველ ებს
ოქტავია	ოქტავ ი ა
ამბოხებულები	ამბოხ ებულ ები
პოულობენ	პო ულობ ენ
სიმაღლეები	სი მაღლე ები
სიმბოლოების	სი მბოლო ების
სანსკ	სა ნსკ
იმპერიასთან	იმპერ ი ასთან
მონასტრისა	მონასტრ ისა
დასაყრდენად	დასა ყრდენ ად
შხამიანი	შხამ იანი
დოჟი	დო ჟ ი
ინტეგრაციის	ინტე გრაცი ის
ეიკონი	ე იკონ ი
სარტყლების	სა რტყლ ების
ამნისტია	ამ ნისტი ა
წყვეტენ	წყვეტ ენ
დაბანაკდნენ	და ბანაკ დნენ
წყალდიდობა	წყალდიდ ობ ა
კალა	კა ლ ა
ლაიბნიცის	ლაი ბნიცი ს
ორთქლის	ორთ ქლ ის
ოსმალურ	ოს მალ ურ
უპირატეს	უპირატე ს
ქვითკირის	ქვ ითკირ ის
თარიღდებოდა	თარიღ დებოდა
ერწყმიან	ე რწყმ იან
