იტალიასთან	იტა ლი ასთან
ასულს	ა სულ ს
განსხვავებაა	განსხვავ ებ აა
აღუდგნენ	აღუ დგ ნენ
დაარქვა	და არქვ ა
ვირს	ვირ ს
ჰაშიმოტოს	ჰაში მოტო ს
ლეგენდებს	ლეგ ენდ ებს
სწრაფვის	სწრაფვ ის
ასხამდნენ	ა სხამ დნენ
ბეკის	ბეკ ის
ნაომი	ნა ომ ი
მიდრეკილი	მი დრეკილ ი
პროგრესი	პრო გრეს ი
საუკუნოვან	საუკუნ ოვან
არაღიარებული	არა ღიარ ებული
ჰარპერ	ჰარ პერ
კორნელიუს	კორ ნელ იუს
ეკიპაჟის	ეკიპა ჟ ის
დიალექტით	დია ლექტ ით
რაჭაში	რა ჭ აში
გამყიდველის	გამ ყიდველ ის
აშკარაა	აშ კარ აა
მისულიყო	მი ს ულიყო
კონსტიტუცია	კონ სტიტუცი ა
უოლტ	უოლ ტ
აღგზნება	აღ გზნებ ა
შეკრა	შე კრ ა
ჩემი	ჩე მ ი
ვაჭრები	ვაჭრ ები
თავისმხრივ	თავის მხრივ
ჭრილობას	ჭ რილობ ას
ძაფებს	ძ აფ ებს
ააოხრა	ააოხრ ა
ცხენოსან	ცხენ ოსან
სიგნალს	სიგნალ ს
რტო	რ ტ ო
იერიქონის	იერი ქონ ის
მოოქროვილი	მოოქრო ვილ ი
საპიენსის	საპი ენსი ს
შერჩეულ	შე რჩეულ
გადასულიყვნენ	გადა სული ყვნენ
ვო	ვო
პასუხისმგებლები	პასუხისმ გებ ლები
ტილოები	ტი ლო ები
ტყუპისცალი	ტყუპისცალ ი
რეინჯერსის	რეინ ჯერს ის
თავდამსხმელმა	თავდამ სხმ ელმა
სიწმინდეს	სი წმინდ ეს
აქტით	აქტ ით
ვაკეთებო	ვა კეთებ ო
მეცხოველეობას	მეცხოველ ე ობას
სპორტში	ს პორტ ში
ეწარმოებინა	ე წარმო ებინა
ჩეჩნეთში	ჩე ჩნ ეთში
ჰიუსტონ	ჰ იუსტონ
ტუნისი	ტუნ ის ი
შვეიცარიის	შვე იცარი ის
ცხოველებსაც	ცხოველ ებსაც
დინ	დინ
შემცირდება	შე მცირ დება
დამარხული	და მარხ ული
შემოყვანილია	შემო ყვანილ ია
სიცილის	სიცი ლი ს
მეორის	მეორ ის
პენჯაბის	პენ ჯაბ ის
სიმდიდრისა	სი მდიდრ ისა
ჩინებული	ჩინებულ ი
ვარიანტების	ვარ იანტ ების
გამოძიება	გამო ძიებ ა
თებერვალს	თებერ ვალ ს
ტიიას	ტი ი ას
დიჯეის	დი ჯე ის
სხვადასხვა	სხვადა სხვა
საამირო	საამირ ო
ხიდან	ხ იდან
ინფორმაციები	ინფორმაცი ები
ჩაიტანეს	ჩაი ტან ეს
ხდიან	ხდ იან
აორტის	ა ორტ ის
კვერცხებით	კვერ ცხ ებით
ორგვარი	ორ გვარ ი
ინგლისელმა	ინგლი სელ მა
დაფებზე	და ფ ებზე
ბერძენმა	ბერ ძენ მა
კომენტარები	კომენ ტარ ები
ფეხბურთს	ფეხბურთ ს
რიტუალის	რიტუალ ის
ცხრილს	ცხ რილ ს
ადასტურებს	ა დასტურ ებს
უცვლელი	უ ცვლელ ი
ფხიზლად	ფხი ზ ლად
ოქტავის	ოქტავ ი ს
აკადემიის	აკადემი ის
ანდერძით	ანდერძ ით
ბუდეები	ბუ დე ები
ლოქის	ლო ქ ის
ხელსაწყოების	ხელსა წყო ების
თაღლითი	თაღ ლით ი
პროპორციების	პრო პორცი ების
შერწყმით	შ ერწყმ ით
გამიზნული	გა მიზნ ული
ეპისკოპოსის	ეპისკოპოს ის
ნაივაშის	ნა ივაშ ის
გარემოზე	გარემო ზე
საბურველი	სა ბურველ ი
სტაბილური	სტა ბილურ ი
ლივერპულში	ლივერ პულ ში
ქვიშაზე	ქვი შ აზე
დამცველის	და მცველ ის
ოცდაცხრამეტი	ოცდა ცხრამეტ ი
პლანეტაზე	პლანეტ აზე
ბორცვიანი	ბორ ცვ იანი
ორგანიზაციულ	ორგანიზაცი ულ
სპასპეტი	სპას პეტ ი
იაზიდ	იაზიდ
ქალაქისა	ქალაქ ისა
მძლავრია	მძლავრ ია
დაგეგმილია	დაგეგმ ილ ია
მოშლილი	მო შლ ილი
სძლიეს	ს ძლი ეს
არბიტრი	არბიტრ ი
გუნდებთან	გუნდ ებთან
ბედნიერ	ბედნიერ
გრიგოლის	გრი გოლ ის
ნოვგოროდში	ნოვ გოროდ ში
დაძახება	და ძახ ება
პორტუგალიის	პორტუ გალი ის
დამოკიდებულნი	დამოკიდებ ულ ნი
ფასდაუდებელი	ფასდაუ დ ებელი
წარმოდგება	წარმო დგ ება
მოიხსნა	მოი ხსნ ა
მახასიათებელ	მახასიათებელ
მიეღწია	მი ეღწია
მექის	მე ქ ის
საწინააღმდეგო	სა წინააღმდეგ ო
ნაგებობების	ნა გებობ ების
მთისპირა	მ თ ისპირა
მიმართეს	მი მართ ეს
სიასამურის	სიასამ ურ ის
თვითმართველობის	თვით მართველობ ის
ლაპლანდიის	ლაპ ლანდი ის
ლისის	ლის ის
უკავშირდება	უ კავშირდ ება
ვაგონების	ვა გონ ების
თავისებურებას	თავი სებურ ებას
თვისი	თვის ი
შესასრულებლად	შესა სრულ ებლად
სპირალურ	სპი რალ ურ
შეარყია	შე არყ ია
გადახრილი	გადა ხრ ილი
ნომრის	ნომრ ის
ერთიანად	ერთიან ად
რუსეთს	რუს ეთ ს
ანჯელესში	ანჯელ ეს ში
სინონიმად	სინ ონიმ ად
კილიმანჯაროს	კ ილიმანჯაროს
დიტრიხ	დი ტრიხ
დაუბრკოლებლად	დაუ ბრკოლებ ლად
მრწამსის	მრწამსი ს
წააგეს	წა აგ ეს
განკარგულების	გან კარგულებ ის
ლამარა	ლა მარ ა
მწვერვალია	მ წვერვალ ია
ბუჩქბალახები	ბუჩქ ბალახ ები
გედების	გე დ ების
ლურჯ	ლურჯ
ინფრასტრუქტურას	ინფრა სტრუქტურ ას
პირველყოფილ	პირველ ყოფილ
გამოხატულებაა	გამო ხატულ ებაა
კონტრაქტს	კონტრ აქტ ს
მარტის	მარ ტ ის
ეწამნენ	ე წამ ნენ
ლინმა	ლი ნ მა
დებდნენ	დ ებდნენ
ინდოეთის	ინდო ეთ ის
რევკომის	რევ კომ ის
ნერვიულობაზე	ნერვიულ ობაზე
დაემატება	დაე მატ ება
მოცულობით	მო ცულობ ით
იმყოფება	ი მყოფ ება
გამბიტი	გა მბი ტი
ლორეს	ლო რ ეს
აღმოჩენილა	აღმო ჩენ ილა
ბრისტოლის	ბრ ისტოლ ის
ნატეხი	ნა ტეხ ი
ლიმბურგის	ლი მ ბურგის
იქმნა	ი ქმნ ა
მამათაგან	მამა თაგან
უზბეკეთში	უზ ბეკ ეთში
კიბე	კი ბე
მძიმედ	მძიმე დ
საწინააღმდეგოდ	სა წინააღმდეგ ოდ
შრომამ	შრომ ამ
ატომს	ა ტომ ს
ტრაქტატი	ტრაქტ ატ ი
ნიკოლაი	ნიკოლ ა ი
აფიქრებინებს	ა ფიქრებინ ებს
ჩემპიონთან	ჩემპიო ნ თან
შეალია	შეა ლი ა
პიანინოზე	პიან ინო ზე
ზუსტ	ზუსტ
დამცველები	და მცველ ები
დრამისა	დრა მ ისა
ბუდიზმს	ბუდ იზმ ს
მინით	მი ნ ით
ლევან	ლე ვან
კაპიტალიზმის	კაპიტ ალ იზმის
პოლონურად	პოლონ ურ ად
ბაგრატი	ბაგრატ ი
ბიზნესმენ	ბიზნე სმენ
ალექსანდრიამ	ალექს ანდრ იამ
ალჟირში	ალ ჟირ ში
აგების	ა გებ ის
მოტივირებული	მო ტივ ირებული
მიმოსვლას	მიმო სვლ ას
ინგლისელ	ინგლი სელ
ზღვას	ზღვ ას
ჩანაწერად	ჩა ნაწერ ად
ლექსებზე	ლექს ებზე
სოციალური	სოცი ალურ ი
როჯერსს	რო ჯერს ს
კუნინგი	კუ ნინგ ი
მესოპოტამიაში	მესოპოტა მი აში
რის	რ ის
ლემი	ლემ ი
გადარჩენაში	გადა რჩენ აში
ზალცბურგი	ზალც ბურგ ი
კინგი	კი ნგ ი
გადასახლებას	გადა სახლ ებას
მოძიებული	მო ძიებ ული
სასარგებლო	სა სარგებლ ო
ფოტონი	ფო ტონ ი
სახელდახელოდ	სახელდა ხელ ოდ
შექმნასთან	შე ქმნ ასთან
ნაწილით	ნაწილ ით
მნიშვნელობით	მნიშვნელ ობ ით
შეშინებული	შე შინ ებული
უზენაესმა	უ ზენაეს მა
მომღერალმა	მომღერ ალ მა
ეშმაკის	ეშმა კ ის
როგორს	რო გორ ს
დანერგვა	და ნერგ ვა
წლისაა	წლ ის აა
სულისკვეთება	სულის კვეთ ება
გახანგრძლივება	გა ხანგრძლივ ება
მასალისაგან	მას ალ ისაგან
საფაშო	სა ფაშო
ვალს	ვალ ს
ნაკლებია	ნაკლებ ია
გადმოიღეს	გადმო იღ ეს
არიკა	არ იკ ა
ატყობინებს	ა ტყობინებ ს
ოქსიდები	ოქსიდ ები
ტერიერი	ტერიერ ი
მაილზი	მა ილზ ი
კამბოჯაში	კამბო ჯ აში
სტოკჰოლმი	სტოკჰოლ მ ი
მოემზადა	მოე მზად ა
გაეხსნა	გაე ხსნ ა
კომედიას	კო მედი ას
მსურველები	მ სურველ ები
არსებულიყო	არსებ ულიყო
კითხვისას	კითხვ ისას
უმუშევარი	უ მუშევარ ი
ქალისგან	ქალ ისგან
ხელოსანი	ხელ ოსანი
მეტიც	მეტ იც
ბაქანზე	ბა ქან ზე
ჯარებთან	ჯარ ებთან
დღითიდღე	დ ღ ითიდღე
გადაღებული	გადა ღებ ული
ჰაფნიუმის	ჰა ფნი უმის
ქუირ	ქუ ირ
მთამსვლელი	მთა მსვლელ ი
მთავრდება	მთავრ დება
წიგნისთვის	წიგნ ისთვის
და	და
ჯანსაღი	ჯანსა ღ ი
წყვეტდა	წყვეტ და
ელისე	ელ ის ე
შალკე	შალ კე
ფრთები	ფრთ ები
ფრაგმენტია	ფრა გმენტ ია
აღკვეცა	აღ კვეც ა
თანამშრომლობით	თანამშრომ ლობ ით
კიევში	კი ევ ში
დაგეგმეს	და გეგმ ეს
ტანკის	ტან კ ის
კრისტიან	კრი სტ იან
არდადეგებზე	არდა დეგ ებზე
სიმაგრეში	სიმაგრე ში
დააპროექტა	დაა პროექტ ა
ფრინველთა	ფრინ ველ თა
ზამთარი	ზამ თარ ი
ძირს	ძირ ს
ასოციაციების	ასოცი აცი ების
ნგრევის	ნგრევ ის
კავშირებს	კავშირ ებს
სასტიკად	სა სტიკ ად
მოუყარა	მოუ ყარ ა
ბრაზილიელები	ბრაზილ იელ ები
სქესისა	სქეს ისა
ჟინვალის	ჟ ინვალ ის
გაივლიდა	გაი ვლი და
რაიონების	რაიონ ების
სენატს	სენ ატ ს
გაერთიანებულნი	გ აერთიანებ ულნი
ბატონს	ბატონ ს
დაიმკვირდა	დაიმ კვირდ ა
ოქტავიუსი	ოქტავ ი უსი
გამოუცხადებია	გამოუ ცხად ებია
ინა	ინ ა
საკომპოზიციო	საკომ პოზიცი ო
გამოგონებამ	გამო გონებ ამ
მელოუნი	მე ლოუ ნი
თეძოები	თე ძო ები
პორტრეტს	პორტრეტ ს
წინარე	წინ არე
ადამიანზე	ადამიან ზე
გაჯერებული	გა ჯერ ებული
შეყვანით	შე ყვან ით
მყოფ	მყოფ
გასულიყო	გა ს ულიყო
ქედები	ქე დ ები
გლადიატორთა	გლადი ატორ თა
ავღანეთი	ავღან ეთ ი
ლაოსს	ლა ოს ს
დაამარცხა	დაა მარცხ ა
შიგთავსი	შიგ თავს ი
უხდიან	უ ხდ იან
კილაძე	კი ლ აძე
პრეტენდენტის	პრეტენ დენტ ის
ანგელოზს	ანგელოზ ს
ელოდებოდნენ	ელოდ ებოდნენ
დაიძრა	დაი ძრ ა
ამკობს	ამკობ ს
შემცველი	შე მცველ ი
მოძიება	მო ძიებ ა
პოლოს	პოლ ოს
ოთხეულის	ოთხ ეულ ის
გადააყენეს	გადა აყენ ეს
კონვენცია	კონ ვენცი ა
ინტენსიურად	ინტენს იურ ად
საჭადრაკო	სა ჭადრაკ ო
ათენს	ათ ენ ს
გენერლების	გენე რლ ების
ნელსონი	ნელ სონ ი
ასომთავრულში	ასომთავრ ულ ში
სელჩუკთა	სელ ჩუკ თა
კონსოლი	კონ სოლ ი
ტელევიზორი	ტელე ვიზ ორი
პერიფერიული	პერი ფერი ული
ვარჯიშზე	ვარჯიშ ზე
რაღაც	რა ღაც
წრიდან	წრ იდან
თავადთა	თავად თა
მექსიკიდან	მე ქსიკ იდან
ეკორეგიონს	ეკო რეგიონ ს
მომავალ	მო მავალ
სპექტრულ	სპექტ რ ულ
გაიცნობს	გაი ცნობ ს
ლოურენს	ლო ურენს
მითანი	მი თან ი
მცხოვრებლებს	მ ცხოვრებლ ებს
მოიყვანოს	მო იყვან ოს
გაუმხელს	გაუ მხელ ს
მეცნიერებებს	მეცნიერ ებ ებს
სამეზობლოში	სამეზო ბლო ში
ბატარეის	ბატ არე ის
მეთუნეობა	მეთუნე ობა
კლასობრივ	კლასობრივ
აკადემიკოსის	აკადემი კოს ის
მალმსტინის	მალ მსტინ ის
ლიკვიდაციას	ლიკვიდ აცი ას
გიგანტი	გიგა ნტ ი
ხაზთა	ხაზ თა
მსროლელთა	მ სროლ ელთა
წაბლა	წა ბლ ა
მოხდებოდა	მო ხდ ებოდა
დიდებულებმა	დიდ ებულ ებმა
მეთევზეობას	მეთევზ ე ობას
გალობით	გა ლობ ით
განმანათლებლობის	გ ანმანათლებ ლობის
მოქმედებისას	მო ქმედებ ისას
გამოცხადდა	გამო ცხად და
ქირურგია	ქირუ რგ ია
განასახიერა	განა სახიერ ა
მოკავშირეებს	მო კავშირე ებს
ალთაის	ალთა ის
მიისწრაფის	მიი სწრაფ ის
რეზიდენციაც	რეზი დენცი აც
მონაცემს	მონა ცემ ს
თანატოლებთან	თანა ტოლ ებთან
ერისკაცობაში	ერის კაც ობაში
სიმძლავრე	სი მძლავრ ე
პრეტენზიის	პრეტენ ზი ის
გადარჩება	გადა რჩ ება
მუჰამედმა	მუჰამე დ მა
სლავური	სლავ ური
გამყიდველი	გამ ყიდველ ი
იხარჯება	ი ხარჯ ება
ღამეები	ღამ ე ები
დამასკოს	დამა სკ ოს
ილარიონი	ილარ იონ ი
გაასწრო	გაა სწრ ო
მშენებლობისათვის	მშენებლობ ისათვის
კომუნაში	კომ უნ აში
დასაუფლებლად	დასა უფლებ ლად
მარცხმა	მარცხ მა
მყარდება	მყარ დება
ნათესავების	ნათესავ ების
რესტავრაციის	რესტავრაც იის
წელს	წელ ს
აგრესია	აგრ ესი ა
აგებულებისაა	აგ ებულებ ისაა
ლოკი	ლ ოკ ი
მოძღვრებით	მოძღვრ ებით
ისედაც	ის ედ აც
აირჩეს	ა ირჩ ეს
ბალახოვანი	ბალახ ოვანი
სახელწოდებები	სახელ წოდებ ები
რჩებოდნენ	რჩებ ოდნენ
ჩოგბურთელი	ჩოგბურთ ელი
გადავიღეთ	გადა ვიღ ეთ
ქიაჩელის	ქია ჩელ ის
ქრომის	ქრო მ ის
შავად	შავ ად
ნიღბის	ნიღბ ის
სვიფტის	სვი ფტ ის
ფერწერის	ფერ წერ ის
გველები	გველ ები
დაიქირავა	და იქირავ ა
გაარღვია	გაარ ღვი ა
პოეტთა	პო ეტ თა
კლდეზე	კლ დე ზე
თაფლი	თაფლ ი
მიენიჭოს	მიე ნიჭ ოს
ბავშვს	ბავშვ ს
კულტურებიდან	კულტურ ებიდან
თანამებრძოლებმა	თანამე ბრძოლ ებმა
მისა	მი ს ა
მოქმედებას	მო ქმედებ ას
გაიცნო	გაი ცნ ო
მიღწევას	მი ღწევ ას
ასუსტებდა	ა სუსტ ებდა
ფანების	ფა ნ ების
შიმპანზეების	შიმპან ზე ების
ჩაიწერება	ჩაი წერ ება
მონახაზს	მონა ხაზ ს
წინადადებაში	წინადა დ ებაში
წელსაა	წელს აა
რეგიონზე	რეგიონ ზე
ტენდენციებს	ტენ დენცი ებს
ფოსფორი	ფოს ფორ ი
გაჟღენთილია	გა ჟღენთილი ა
გასწვრივ	გა სწვ რივ
აკავშირებდნენ	ა კავშირებ დნენ
კლიენტები	კლი ენტ ები
სხეულს	სხეულ ს
გამბედაობა	გამ ბედ აობა
შენდება	შე ნ დება
მობეზრდა	მობე ზრდ ა
გრიგოლი	გრი გოლ ი
მავერიქსი	მა ვერიქს ი
დაახლოვებით	და ახლოვ ებით
თხრილი	თხრ ილ ი
გაუმჯობესდა	გა უმჯობეს და
ინგლისურის	ინგლი სურ ის
მადანს	მა დან ს
მებრძოლებთან	მე ბრძოლ ებთან
სპაგეტის	სპ აგეტ ის
ასეულობით	ასე ულ ობით
მხარის	მ ხარ ის
სახეობებისთვის	სახეობ ებისთვის
ბრილიანტის	ბრ ილიანტი ს
დომენტი	დო მენ ტი
ჩილემ	ჩი ლე მ
საჭირო	საჭირო
ჯადოსანი	ჯა დ ოსანი
უზომო	უ ზომ ო
სასმელს	სა სმელ ს
ტაძრების	ტაძრ ების
მოღვაწეებს	მოღვაწ ე ებს
მერიდიანი	მერ იდიან ი
პასი	პა ს ი
სამფლობელოდ	სა მფლობელო დ
ზოგს	ზო გ ს
გაღვიძებული	გა ღვიძ ებული
ზომაც	ზომ აც
მრეწველობასა	მრეწვე ლობ ასა
იაპონიისა	იაპ ონი ისა
ამბოხებას	ამბ ოხ ებას
ფოთი	ფოთ ი
დეტროიტ	დე ტროიტ
პირად	პირ ად
ფუნდამენტური	ფუნდა მენტ ური
დაწყებულიყო	და წყებ ულიყო
სარდლობდნენ	სარდ ლობ დნენ
ვარიანტს	ვარ იანტ ს
ნალექების	ნა ლექ ების
მსახიობთა	მსახიობ თა
დარბევა	და რბევ ა
კალაპოტში	კალ აპოტ ში
ოქტომბრისათვის	ოქტომ ბრ ისათვის
ბევრ	ბე ვრ
პრინციპული	პრინც იპ ული
პოლკოვნიკმა	პოლ კოვნიკ მა
სერიულად	სე რი ულად
ბიზნესს	ბიზნე ს ს
ქარიშხლის	ქარიშ ხლ ის
გამოვლინდეს	გამო ვლინ დეს
ნარინჯისფერი	ნარინჯი სფერ ი
ანტონიუსსა	ანტონ იუს სა
ნოემბრისთვის	ნო ემბრ ისთვის
ბებიამ	ბე ბი ამ
მეწარმე	მეწარმე
მაიორი	მა იორ ი
შერიგება	შე რიგებ ა
გამზადებული	გა მზად ებული
მუზეუმად	მუზეუმ ად
ქართ	ქარ თ
საიქიო	სა იქი ო
დასამკვიდრებლად	დასა მკვიდრ ებლად
ვეფხისტყაოსანში	ვეფხისტყა ოსან ში
კარდინალურად	კარდინა ლ ურად
ლიდერობით	ლი დერ ობით
ტელურიდი	ტ ელურიდ ი
გაუწიეს	გაუ წი ეს
დანამდვილებით	და ნამდვილ ებით
ბრაზილიაში	ბრაზილ ი აში
ბრაზილიელი	ბრაზილ იელ ი
თაღიანი	თაღ იანი
თეთრი	თეთრ ი
ალეგორიული	ალ ეგორი ული
თაგვის	თა გვ ის
ფერფლი	ფერ ფლ ი
ხსნარის	ხსნ არ ის
მისწრაფებების	მი სწრაფებ ების
გადაადგილდებოდნენ	გადა ადგილდ ებოდნენ
ბილბაოს	ბილ ბ აოს
დახვრეტა	და ხვრეტ ა
მოსვლიდან	მო სვლ იდან
დასცინოდა	დას ცინ ოდა
თანმხლებ	თან მხლებ
მიხვდა	მი ხვ და
ჯეიკობს	ჯე იკობ ს
ჰიპერძრავით	ჰიპერ ძრავ ით
ვარდება	ვა რ დება
ანონიმი	ან ონიმ ი
მოლდოვა	მოლდ ოვ ა
დაფინანსების	და ფინანსებ ის
ყრუ	ყრუ
კეცალკოატლის	კეცალ კო ატლის
აღიარა	აღი არ ა
თავდაჯერებული	თავდა ჯერ ებული
საფაღარათო	საფა ღარათ ო
ორიენტაცია	ორიენტ აცია
გარდაბნის	გარდა ბნ ის
იმყოფებოდეს	ი მყოფ ებოდეს
ხმლით	ხმლ ით
გადაგვარების	გადა გვარ ების
ახლანდელი	ა ხლანდ ელი
ნარჩენების	ნა რჩენ ების
განდი	გა ნდ ი
ტერბიუმის	ტერ ბიუმ ის
ხარობდა	ხარ ობდა
ანთება	ან თებ ა
აღმშენებლობითი	აღ მშენებლობ ითი
ამოს	ამ ოს
ერია	ერი ა
ნიკარაგუის	ნი კარაგუ ის
სამონასტრო	სა მონასტრ ო
ბელგიური	ბელ გი ური
უფროა	უ ფრო ა
ჰქმნის	ჰ ქმნ ის
მისწრაფებას	მი სწრაფებ ას
სოციალისტი	სოცი ალისტ ი
პირობით	პირ ობით
კარლოსმა	კარ ლოს მა
თხრის	თხრ ის
განისაზღვროს	განი საზღვრ ოს
თვითმმართველობაში	თვითმ მართველობ აში
უმძიმეს	უ მძიმ ეს
ქვეყნისთვის	ქვეყნ ისთვის
ჩამოვარდა	ჩამო ვარდ ა
ნომინაციაზე	ნომინ აცი აზე
იბსენის	ი ბსენ ის
რაიონებად	რაიონ ებად
ალაჰის	ალ აჰ ის
კურსკის	კურ სკ ის
გადაიტანეს	გადა იტან ეს
ლაბორატორია	ლაბორ ატორი ა
უოლტი	უოლ ტ ი
საზოგადოებასთან	სა ზოგადოებ ასთან
აქტებს	აქტ ებს
კვაზიმოდო	კვაზიმო დო
გადაუხადოს	გადაუ ხად ოს
ახლიდან	ახლ იდან
ანთროპოლოგიურ	ანთროპო ლოგი ურ
დაზღვევა	დაზღვევ ა
გარეგანი	გარეგ ან ი
კალთაზე	კალ თ აზე
ფრანსისკო	ფრა ნს ისკო
ავტოგზა	ავტო გზ ა
წინა	წინ ა
სამხრეთს	სამხრ ეთ ს
სანტიმეტრის	სანტი მეტრ ის
ფირმაში	ფირმ აში
შოშიტა	შო შიტ ა
მინერალების	მინე რალ ების
ჰუნების	ჰუ ნ ების
მნიშვნელობაც	მნიშვნელ ობ აც
პროგრამებში	პრო გრამ ებში
შეაღწია	შე აღწი ა
ჩამოყალიბებისათვის	ჩამო ყალიბ ებისათვის
ნასკას	ნა სკ ას
ბაიერში	ბა იერ ში
შედიან	შე დ იან
კვანძები	კვანძ ები
დღესასწაულების	დღესასწაულ ების
ზედამხედველობის	ზედა მხედველ ობის
ინტერფეისი	ინტერფე ის ი
ანტარქტიდის	ანტარქტი დ ის
ნოემბერში	ნო ემბერ ში
თრაკიას	თრა კი ას
საფრანგეთმა	საფრან გეთ მა
გასაცოცხლებლად	გასა ცოცხლ ებლად
თავიდანვე	თავ იდანვე
იზომ	ი ზომ
ფორმათა	ფორმ ათა
რიგაში	რიგ აში
განათლებაზე	გა ნათლება ზე
ხუთ	ხუთ
მოხდის	მო ხდ ის
შოტლანდიური	შო ტლანდი ური
საჩუქრად	სა ჩუქრ ად
ჩაცმულობა	ჩა ცმულ ობა
ოცზე	ოც ზე
ოლიმპიური	ოლიმპი ურ ი
უამრავმა	უ ამრავ მა
ფლოტისა	ფლ ოტ ისა
ტერი	ტე რ ი
ჯენერალ	ჯე ნ ერალ
ალევის	ა ლე ვის
სამკურნალო	სამკურნა ლო
ბლეკ	ბ ლეკ
მოქალაქეების	მო ქალაქე ების
საავადმყოფოს	სა ავადმყოფ ოს
დედამისმა	დე დამის მა
ტბებია	ტ ბ ებია
დაზიანებისა	და ზიან ებისა
ცოლების	ცოლ ების
გაიფიქრა	გაი ფიქრ ა
ტურნირს	ტურნირ ს
რგოლოვანი	რ გოლ ოვანი
იმპულსი	იმპ ულს ი
სელჩუკების	სელ ჩუკ ების
მდინარემ	მდინარე მ
ფრად	ფრ ად
ძალებზე	ძალ ებზე
ბელტის	ბელ ტი ს
მორინ	მო რინ
სარგებლობაში	სარგებ ლობ აში
გადასცემდა	გადა სცემ და
ივრის	ი ვრ ის
დაუთმეს	დაუ თმ ეს
მაგმა	მაგ მა
უნივერსიტეტებში	უნივერსიტეტ ებში
ჭანტურიას	ჭანტ ური ას
დანა	დან ა
დისკების	დისკ ების
ონილი	ონ ილი
ბრძოლაც	ბრძოლ აც
მოძრაობაა	მო ძრაობ აა
რობინი	რო ბინ ი
ტემპერატურათა	ტემპერატურ ათა
ტუფის	ტუ ფ ის
კუების	კუ ების
მავნებელი	მ ავნებ ელი
ნაწარმოებებიც	ნაწარმო ებ ებიც
აკროპოლისი	ა კროპოლი სი
ჰოლანდიურ	ჰო ლანდი ურ
იდეები	იდე ები
იდეამ	იდე ამ
პალეოზოური	პალეო ზო ური
ტაკის	ტა კი ს
ენკე	ე ნ კე
რეინკარნაციის	რეინ კარნ აციის
ეგზარქოსი	ეგზარქოს ი
შირაზის	შირ აზ ის
გამსჭვალულია	გამ სჭვალული ა
კარიბჭეები	კარიბჭე ები
ესიზმრება	ე სიზმრ ება
იგება	ი გებ ა
ჯერემი	ჯე რემ ი
არქეოლოგიის	არქე ოლოგ იის
მოხალისეები	მოხალი სე ები
ტაილერის	ტაი ლერ ის
გაგრძელების	გა გრძელებ ის
შეჰზადე	შეჰ ზად ე
ოპერებში	ო პერ ებში
აღმდგარი	აღ მდგარ ი
ბილბორდ	ბილ ბორდ
ტექნოგენური	ტექნ ოგენური
იხსნებოდა	ი ხსნ ებოდა
ასლის	ა სლ ის
მიუნხენ	მიუ ნხენ
სერგო	სერ გ ო
ალეპოს	ალე პ ოს
ბირთვთან	ბი რთვ თან
შრომით	შრომ ით
შეწყვილებული	შე წყვილ ებული
ამეცადინოს	ა მეცადინ ოს
ნობელის	ნობ ელის
მდელოების	მდე ლო ების
შემქმნელია	შემ ქმნელ ია
ჭორები	ჭ ორ ები
საფრანგეთისგან	საფრან გეთ ისგან
პოსპოლიტა	პოს პოლიტ ა
ავალებენ	ა ვალ ებენ
სპერმის	ს პერმ ის
ტომას	ტომ ას
გაბრუნდა	გა ბრუნდ ა
საკრავებზე	სა კრავ ებზე
სხვათა	ს ხვ ათა
ტონის	ტონ ის
ორბიტის	ორ ბიტ ის
მიხვდება	მი ხვ დება
ისეა	ისე ა
საფეიქრო	საფე ი ქრო
თვეზე	თ ვე ზე
კოდს	კო დ ს
პარტიზანული	პარტი ზან ული
შვედებმა	შვე დ ებმა
მოჰყვება	მო ჰყვ ება
ნანდას	ნა ნდ ას
რაკი	რაკ ი
ტელეფონებს	ტელეფონ ებს
რაინზე	რაი ნ ზე
დავდივარ	და ვდივარ
მწუხარების	მწუხ არ ების
რედაქტორობდა	რედა ქტორ ობდა
ბ	ბ
ბოთლი	ბოთლ ი
მშვიდობით	მშვიდობ ით
სუდანს	სუ დან ს
მხარდამხარ	მხარდამ ხარ
ყოველმა	ყო ველ მა
ყოფით	ყოფ ით
გადატანის	გადა ტან ის
გვექნება	გვე ქნებ ა
შინდისფერი	ში ნდ ისფერი
გაემგზავრა	გაე მგზავრ ა
მანჩესტერში	მან ჩესტერ ში
კინგ	კი ნგ
იქვეა	ი ქვე ა
ოდესღაც	ოდეს ღაც
ლადენი	ლა დენ ი
ლოცვაში	ლოცვ აში
საშვილოსნოში	სა შვილოსნ ოში
ქაღალდის	ქაღალდ ის
ყრმა	ყრ მა
სეზონიც	სე ზონ იც
პროპორცია	პრო პორცი ა
როლებისთვის	რ ოლ ებისთვის
შესარჩევ	შესა რჩევ
გლობუსის	გლო ბუს ის
ინტერვენცია	ინტერ ვენცი ა
პალაუს	პა ლა უს
უბნები	უბნებ ი
შეერთებული	შე ერთებ ული
ცხოველებისათვის	ცხოველ ებისათვის
აგენტია	ა გენტ ია
სფეროებში	სფერო ებში
ბრუნდება	ბრუნდ ება
ინსტრუმენტები	ინსტრუ მენტ ები
სისტემაა	სისტემ აა
ქვრივს	ქვრივ ს
კვლავ	კვლავ
შვაბიის	შვა ბი ის
თლის	თ ლ ის
შემკრები	შემ კრებ ი
