იტალიასთან	იტა ლი ასთან
კომპლექსური	კომპ ლექს ური
პირველობა	პირველ ობ ა
პიროვნების	პირო ვნებ ის
ნოა	ნო ა
მეორეულ	მეორე ულ
ყაბარდოს	ყა ბარდ ოს
კასკადის	კა სკად ის
კოორდინირებული	კოორდი ნ ირებული
განკარგულებაშია	გან კარგულებ აშია
შეინახოს	შე ინახ ოს
ადრევე	ადრევ ე
მერების	მე რ ების
ხალხით	ხალხ ით
ღვაწლისთვის	ღვაწლ ისთვის
ქალიშვილთან	ქალ იშვილ თან
კოსმოსი	კოსმო ს ი
მკვეთრადაა	მკვეთ რ ადაა
სანახაობა	სა ნახაობ ა
ფურცლებზე	ფურც ლ ებზე
ხორცშესხმა	ხორცშე სხმ ა
ზღუდავდა	ზღუდავ და
იწოდა	ი წოდ ა
მოგებაში	მო გებ აში
წავედი	წა ვედ ი
მიბაძვით	მი ბაძვ ით
პასიურად	პას იურ ად
აკრიტიკებს	ა კრიტიკ ებს
გ	გ
საფასურის	სა ფასურ ის
პერსპექტივა	პერსპექტ ი ვა
რეგიონთა	რეგიონ თა
სმაუგი	სმა უგ ი
გაძარცვის	გა ძარცვ ის
კაკაბაძის	კაკა ბ აძის
რეზერფორდმა	რეზერ ფორდ მა
სარკმელია	სა რკმელ ია
ბრძოლას	ბრძოლ ას
მოეპოვებინათ	მოე პოვ ებინათ
ამარტივებს	ა მარტივ ებს
მღელვარე	მ ღელვარ ე
ჰორის	ჰო რ ის
რუბლი	რუ ბლ ი
ვარიაციებს	ვარია ცი ებს
მეფეების	მეფ ე ების
ხელჩართული	ხელ ჩართულ ი
მეტოქეობა	მე ტოქე ობა
უცხოეთში	უცხო ეთ ში
ლითოსფეროს	ლით ოსფერო ს
პოლიმერიზაციის	პოლი მერ იზაციის
აკუსტიკა	აკუ სტიკ ა
მექსიკას	მე ქსიკ ას
დებიტი	დე ბიტ ი
ერამდე	ერ ამდე
დასრულებაზე	და სრულებ აზე
ჯაჭვში	ჯაჭვ ში
გამოთვლის	გამო თვლ ის
დაბლობ	და ბლობ
მეცნიერულ	მეცნიერ ულ
წარწერებს	წარ წერ ებს
ვარაო	ვარ ა ო
რესურსების	რე სურს ების
დამ	და მ
თამაშებით	თამაშ ებით
იმირის	ი მირ ის
ინახებოდა	ინახ ებოდა
ასული	ა სულ ი
ვლადიმერი	ვლადი მერ ი
ლეშით	ლე შ ით
მწერლობის	მწერლობ ის
ელსა	ელ სა
აკრძალული	ა კრძალ ული
თანმიმდევრობის	თანმიმდევრ ობის
ქვიშაქვითა	ქვიშ აქვ ითა
შეშის	შე შ ის
თორემ	თო რ ემ
ნამარხების	ნა მარხ ების
განვითარებისთვის	გან ვითარებ ისთვის
მუნიციპალიტეტია	მუნიციპა ლიტეტ ია
აანალიზებს	ა ანალიზ ებს
დარტყმებით	და რტყმ ებით
შესვენების	შე სვენებ ის
ოფისში	ოფის ში
უარყოფითი	უარ ყოფ ითი
ფიოდორ	ფი ოდორ
დანადგარები	დანა დგარ ები
ხიხანის	ხი ხან ის
უფლებებზე	უფლებ ებზე
დაახ	და ახ
ქალღმერთ	ქალ ღმერთ
რაკეტის	რაკეტ ის
ანალიზმა	ანალიზ მა
კომუნები	კომ უნ ები
ფრედმა	ფრედ მა
მოთხრობებში	მო თხრობ ებში
მოესწრო	მოე სწრ ო
მუსულმანების	მუს ულმან ების
გამოვდივარ	გამო ვდივარ
პირნი	პირ ნი
ადგილზე	ადგილ ზე
ოლდ	ოლ დ
მოკირწყლული	მოკირ წყლ ული
გამოუცემელი	გამოუ ცემ ელი
მიქა	მი ქ ა
კასრებში	კას რ ებში
ჩაეწერათ	ჩაე წერ ათ
არგუნა	არგ უნ ა
საზღვართან	სა ზღვარ თან
ჩაასახლა	ჩა ასახლ ა
მონადირეთა	მო ნადირე თა
სიმა	სიმ ა
მომღერალთა	მო მღერალ თა
ფარგლებს	ფარგლ ებ ს
კარამაზოვები	კარ ამაზოვ ები
გარსისა	გა რს ისა
დარჩენია	და რჩენ ია
ჯოშ	ჯო შ
ბგერით	ბგერ ით
დინო	დინ ო
პოლიციაში	პოლიცი აში
ღრმა	ღრმ ა
შავია	შავ ია
შტორმი	შ ტორმ ი
სკორსეზეს	სკორ სეზ ეს
უესექსის	უ ესექს ის
გაუსწორდნენ	გაუ სწორ დნენ
გაიტანდა	გა იტან და
მდედრზე	მდე დრ ზე
მცენარეებზე	მცენარე ებ ზე
მოუგია	მოუ გ ია
პიუს	პი უს
ვეგას	ვე გ ას
მუსლიმის	მუს ლიმ ის
უკავშირდებოდეს	უ კავშირდ ებოდეს
ფენა	ფენ ა
რიცხვის	რიცხვ ის
სცენარების	სცენარ ების
ამყარებს	ა მყარებ ს
ბოშური	ბო შ ური
დაიწყეს	და იწყ ეს
ჯაყელმა	ჯა ყელ მა
თარიღთან	თარიღ თან
შეუმჩნეველია	შეუ მჩნევ ელია
წარმოებაზე	წარმოებ აზე
ჯიშები	ჯიშ ები
სასანიდების	სასა ნ იდების
კონსული	კონსულ ი
ბონაპარტი	ბონა პარტ ი
დიალოგი	დია ლოგ ი
კოტორის	კო ტორ ის
მხედველობას	მხედველობ ას
ნორმალური	ნორმალურ ი
საჭიროდ	საჭირო დ
ყოველწლიური	ყოველ წლი ური
შეეტიათ	შეე ტი ათ
ბოსნიური	ბო სნი ური
მალდერი	მალ დერ ი
ჯოჯოხეთის	ჯოჯო ხეთ ის
აკრიტიკებდნენ	ა კრიტიკ ებდნენ
კრებულებში	კრე ბულ ებში
შექმნან	შე ქმნ ან
გამოგიაროს	გამოგი არო ს
მემუარებში	მე მუარ ებში
აბაზანის	აბაზ ან ის
ასკვნის	ასკვნ ის
მესერში	მე სერ ში
ხელშია	ხელ შია
ირიდიუმის	ირ იდიუმ ის
ბეიფილდის	ბეი ფილდ ის
მოგონებების	მო გონებ ების
ტოქსიკური	ტოქს იკურ ი
ბონაპარტეს	ბონა პარტ ეს
კონტროლზე	კონტროლ ზე
ასამბლეაში	ა სამბლე აში
ხმები	ხმ ები
მოტყუება	მო ტყუ ება
დამწერლობების	და მწერლობ ების
აიათოლა	აია თოლ ა
მარმარილო	მარ მარილო
მიმავალ	მი მავალ
ასაღებს	ასა ღებ ს
საკვებია	სა კვებ ია
ყვავილით	ყვავილ ით
გვალვიან	გვა ლვ იან
დასერილია	დას ერილ ია
იცვამენ	იცვ ამ ენ
ბი	ბი
ბინადრობდნენ	ბინადრ ობდნენ
გაყიდვები	გა ყიდვ ები
ინდოეთსა	ინდოეთ სა
მხურვალე	მ ხურვალ ე
ბრუტუსმა	ბრუ ტუს მა
გინდა	გინ და
გათხრილი	გა თხრ ილი
მაგიდის	მაგიდ ის
მადრასის	მად რას ის
რეკორდია	რე კორდ ია
ორასი	ორ ას ი
რობინის	რო ბინ ის
კონსერვატული	კონსერვ ატ ული
თეატრებში	თეატრ ებში
გამოსხივება	გამო სხივ ება
საზოგადოების	სა ზოგადო ების
სეზონმა	სე ზონ მა
დასაფლავება	და საფლავ ება
ყველზე	ყველ ზე
დონე	დო ნე
კომპიუტერებზე	კომპიუ ტერ ებზე
ანთებას	ანთებ ას
მონეტებს	მო ნეტ ებს
კლავიშისტი	კლავ იშ ისტი
გაშიშვლებულია	გა შიშვლ ებულია
მოიხსენია	მო იხსენ ია
ასულიყო	ას ულიყო
ჰარმონიული	ჰა რმონი ული
ენვერ	ენ ვერ
მიზნებზე	მიზნ ებზე
ზემდგომი	ზე მდგომ ი
ელენეს	ე ლენ ეს
მერსიის	მე რს იის
მონაცემი	მონა ცემ ი
პრივატიზაცია	პრი ვატ იზაცია
პირამიდის	პირ ამიდ ის
დაბომბვა	და ბომბვ ა
შესწევდა	შეს წევ და
ჰენდრი	ჰენ დრ ი
მსხვილ	მსხვილ
რომთან	რომ თან
ვრცელი	ვრცელ ი
ლეღვს	ლე ღვ ს
მაიკროსოფტმა	მაიკროსოფტ მა
მემატიანის	მემატ იან ის
შეუფერხებლად	შეუ ფერხ ებლად
საბადოების	სა ბადო ების
ართურ	ართ ურ
დადგინდა	და დგინ და
ჯუნგლებში	ჯუ ნგლ ებში
კორპუსში	კორ პუს ში
ქმედებით	ქმედებ ით
ბარათაშვილი	ბარ ათ აშვილი
ფინეთის	ფ ინეთ ის
წარმომქმნელი	წარმო მქმნელ ი
შენახულ	შე ნახულ
რაოდენობას	რა ოდენობ ას
დომენის	დო მენ ის
შირლი	შირ ლ ი
ვარვარა	ვარვარ ა
წიაღისეულით	წიაღი სეულ ით
რაიკომის	რაი კომ ის
ნავები	ნა ვ ები
სერიალისთვის	სე რიალ ისთვის
მიწვეულ	მი წვეულ
დანაყოფი	დანა ყოფ ი
ბრალდების	ბრალდებ ის
გადაიხადა	გადაი ხად ა
დაწესებულებებში	და წესებულ ებებში
ვიზიტისას	ვიზიტ ისას
ბროდვეიზე	ბრო დვეი ზე
თავდაპირველ	თავდა პირველ
აყენებენ	ა ყენებ ენ
ქართულია	ქართ ულ ია
ზესტაფონი	ზესტა ფონი
დეტალურ	დეტალ ურ
კუბური	კუ ბ ური
ნივთიერებაა	ნი ვთიერებ აა
ღონისძიებებისა	ღონის ძიებ ებისა
იძახდა	ი ძახ და
ბუჩქნარში	ბუჩქ ნარ ში
ერთადერთმა	ერთ ადერთ მა
ნაწილთან	ნაწილ თან
მელიქის	მ ელიქ ის
რობსონი	რობ სონი
განზოგადება	გან ზოგად ება
მიეტოვებინა	მიე ტოვებინ ა
გრადუსი	გრადუს ი
იხ	იხ
ელვა	ელ ვა
იცოდეს	ი ცოდ ეს
იოსელიანი	იოსელ იან ი
ეყრდნობიან	ე ყრდნობ იან
სათავო	სა თავ ო
გაჭირვებული	გა ჭირვებ ული
გზას	გზ ას
მოუხდათ	მოუ ხდ ათ
სკოტ	სკ ოტ
სამსახურს	სა მსახურ ს
კალათების	კა ლათ ების
დაფარა	და ფარ ა
კონი	კონ ი
ბარიერები	ბარ იერ ები
შემსრულებელმა	შემ სრულებელ მა
ასულები	ა სულ ები
დასახლებასთან	და სახლებ ასთან
ვიეტნამის	ვი ეტნამ ის
წვეტიანი	წვეტ იანი
ტაუერი	ტა უ ერი
იეთიმ	ი ეთ იმ
ტაილანდი	ტაი ლანდ ი
ზაფხულით	ზაფხულ ით
უმრავლესობისათვის	უმრავლ ესობ ისათვის
გაფანტული	გა ფანტ ული
დაცვის	დაცვ ის
ჯდომის	ჯდომ ის
გალია	გა ლ ია
ვერცხლი	ვერც ხლ ი
კანონზომიერებების	კანონ ზომიერ ებების
კოორდინირება	კოორდი ნირ ება
ღვთისგან	ღვთ ისგან
ნაწარმოებებში	ნა წარმოებ ებში
რაიონია	რაიონ ია
კამარებით	კა მარ ებით
რუსეთთან	რუს ეთ თან
ასპირანტურა	ასპირანტ ურ ა
წვრილად	წვრილ ად
ჭრილები	ჭრილ ები
პრობლემას	პრობლე მ ას
გვიყვება	გვი ყვ ება
სწრაფია	სწრაფ ია
ერთჯერადი	ერთ ჯერ ადი
არსებობისას	არსებ ობ ისას
მუსიკოსის	მუს იკოს ის
ომებს	ო მ ებს
გზავნილი	გზა ვნილ ი
თვით	თვ ით
შვილისთვის	შვილ ისთვის
ვაჭარმა	ვა ჭარ მა
ფერდობთა	ფერ დობ თა
უშველა	უ შველ ა
ფლანგური	ფლ ანგ ური
საამისოდ	სა ამის ოდ
უფლებებისა	უფლებ ებისა
იშვიათმიწა	იშვიათ მიწა
კვაჭანტირაძის	კვა ჭანტირ აძის
ამფხე	ამ ფხ ე
გაურკვევლობა	გაუ რკვევ ლობა
თუმც	თუმ ც
საგამოცდო	საგამო ცდ ო
ფიქსირებულ	ფიქსირებულ
ლომონოსოვის	ლომონო სოვ ის
ხილვის	ხილვ ის
ბუჩქებია	ბუჩქ ებია
კონტაქტს	კონტაქტ ს
ფეხბურთელმა	ფეხბურთ ელ მა
მიუძღვით	მი უძღვ ით
ფოთოლს	ფო თოლ ს
სასმელად	სასმელ ად
პიროვნებათაგანს	პირო ვნებ ათაგანს
პროდიუსერები	პროდიუსერ ები
სურა	სურ ა
აღიქმება	აღი ქმ ება
გათავისუფლებულმა	გა თავისუფლებ ულმა
გალაპაგოსის	გა ლაპაგ ოსის
აიღეს	ა იღ ეს
დახასიათებით	და ხასიათებ ით
წიგნადი	წიგნ ადი
დემოკრატიის	დემ ოკრატი ის
ბონში	ბონ ში
სიქსტ	სი ქსტ
ამბავია	ამბავ ია
ტრადიციისამებრ	ტრადიცი ისამებრ
ხორვატიისა	ხორ ვატი ისა
შეწყობა	შე წყობ ა
გამძლეობის	გამძლე ობის
განვითარდა	გან ვითარ და
დემოგრაფიულ	დემ ოგრაფი ულ
ჟურნალისთვის	ჟურნა ლ ისთვის
ჩხოროწყუს	ჩხოროწყ უს
სკოლას	ს კოლ ას
სენატორი	სენ ატორ ი
ნამუშევრებს	ნამუშევ რ ებს
საკითხი	საკითხ ი
კირქვას	კი რქვ ას
ზომასთან	ზომ ასთან
მანგლისისა	მან გლის ისა
სჭირდებათ	ს ჭირდ ებათ
როზა	რ ოზ ა
საუკუნეებში	სა უკუნე ებში
ანანიაშვილი	ანან იაშვილი
ერთობლივი	ერთ ობლივ ი
იაგელონების	იაგელონ ების
აცტეკები	ა ცტეკ ები
ნაგებობათაგან	ნაგებ ობ ათაგან
ამინომჟავები	ამინო მჟავ ები
ცალცალკე	ცალ ცალკე
ნახა	ნახ ა
მამისაგან	მამ ისაგან
სამება	სამ ება
ათეიზმი	ათეი ზმ ი
დასაყენებლად	დასა ყენ ებლად
ჩხეიძე	ჩხ ეიძ ე
ბაბილონი	ბაბ ილონ ი
შედარებისთვის	შედა რებ ისთვის
მოცილება	მო ცილ ება
ვიტ	ვი ტ
ინდუსტრიაში	ინდუსტრი აში
ლეს	ლ ეს
სკამზე	სკამ ზე
ავსტრიამ	ავსტრ ი ამ
ინტერვალი	ინტერ ვალ ი
მხარეზე	მხარ ე ზე
განმარტებული	განმარტ ებ ული
ბულგარეთთან	ბულგარ ეთ თან
ეშინიათ	ე შინ იათ
აღტაცებული	აღ ტაცებ ული
დანალექები	დანა ლექ ები
ინდიური	ინდი ურ ი
სუნთქვას	სუნთქვ ას
საფრანგეთიდან	საფრან გეთ იდან
ზღაპრების	ზღაპრ ების
ჩარლტონ	ჩა რლ ტონ
ლინგვისტიკის	ლინ გვისტ იკის
ვირთხების	ვირ თხ ების
ამბოხება	ამბოხ ება
იდუმალ	იდ უმალ
რომაელთა	რო მაელ თა
პორტუგალია	პორტუგალი ა
ტაძარს	ტა ძარ ს
ყოველთვის	ყოველ თვი ს
ეკვატორიდან	ეკვატორ იდან
სარგებელს	სა რგებელ ს
შენიშვნებით	შე ნიშვნ ებით
აირი	აი რ ი
ჯადოქრების	ჯადო ქრ ების
ეკრანებზე	ეკრან ებზე
გოგოს	გოგ ოს
გასართობად	გასა რთობ ად
სარედაქციო	სა რედაქცი ო
სტოკ	სტოკ
ფოტოსფეროს	ფოტო სფერო ს
კოლეგიის	კო ლეგ იის
ნაბიჯი	ნა ბიჯ ი
სამკუთხა	სამ კუთხ ა
მინერალურ	მინ ერალ ურ
მიკროორგანიზმი	მიკროორგანიზ მ ი
ყელზე	ყელ ზე
დაინტერესებული	დაინტერ ესებულ ი
განვითარებაზე	გან ვითარებ აზე
გენეალოგია	გენეალოგი ა
ეკლესიებთან	ეკლესი ებთან
მასწავლებლად	მა სწავლებლ ად
რეჟიმში	რეჟ იმ ში
მონოგამია	მონო გამ ია
სამნიტი	სამ ნიტ ი
მდგომი	მდგომ ი
გერმანიის	გერმან ი ის
კოლექტივმა	კოლექტ ივ მა
მოსული	მო სულ ი
იუსტინიანე	იუსტი ნიან ე
შეამსუბუქა	შეა მსუბუქ ა
შტურმის	შტურმი ს
ციციანოვი	ციცი ანოვ ი
უდავოა	უ დავო ა
კარადის	კარ ად ის
ლეიკერსი	ლეიკ ერს ი
მჯდარი	მჯდარ ი
თაუნში	თა უნ ში
ნათესაობას	ნათესა ობ ას
არახელსაყრელი	არა ხელსაყრ ელი
აძლიერებდა	ა ძლიერებ და
ქალიშვილ	ქალ იშვილ
შემოუნახავს	შემოუ ნახავ ს
დალევის	და ლევ ის
სახელმწიფოთაშორისი	სახელ მწიფო თაშორისი
რუს	რუს
რეგულირების	რეგულირ ების
სიმსივნის	სიმ სივნ ის
ასპექტების	ა სპექტ ების
ეპისტოლე	ეპი სტოლ ე
შეჯიბრი	შეჯი ბრ ი
კოლოსი	კოლო ს ი
დაკვირვებას	და კვირვებ ას
გადმოასვენეს	გადმო ასვენ ეს
გარდაცვლილი	გარდა ცვლილ ი
კვერცხუჯრედი	კვერცხ უჯრედ ი
მნახველთა	მ ნახველ თა
ეკონომიკურ	ეკონომი კ ურ
მუზა	მ უზ ა
იასამნისფერი	იასამ ნ ისფერი
გამგის	გამ გ ის
შეიპყრობს	შეი პყრ ობს
პასპორტში	პა სპორტ ში
ასკანის	ა სკან ის
მხატვრული	მხატვრ ული
მეცნიერმა	მეცნიერ მა
კომუნიკაცია	კომუნიკა ცი ა
ეკოლოგიის	ეკ ოლოგი ის
უთხრა	უ თხრ ა
რეპერი	რე პერ ი
ზედმეტსახელი	ზედ მეტსახელ ი
იონიზაციის	იონი ზ აციის
სტილმა	სტილ მა
მოხვედრით	მო ხვედრ ით
მოყვანის	მო ყვან ის
კარტოფილის	კარტო ფილ ის
გაყინულია	გა ყინ ულია
მატებდა	მატებ და
ჩხეიძის	ჩხ ეიძ ის
ასტეროიდს	ასტერ ოიდ ს
ფსიქიკური	ფსიქი კ ური
ატოლ	ა ტოლ
ორანჟის	ორ ანჟ ის
ხელიდან	ხელ იდან
მეგობრობა	მეგობრ ობა
სერბული	სერ ბ ული
შეჯახების	შე ჯახებ ის
ჩინეთიდან	ჩინ ეთ იდან
ავტორია	ავტორ ია
პეი	პე ი
ხელუხლებელ	ხელუხლებ ელ
სჯეროდა	ს ჯერ ოდა
სახელმწიფოებმა	სახელ მწიფო ებმა
მისიონერმა	მისიონერ მა
დინოზავრების	დინოზა ვრ ების
თავდასხმითი	თავდა სხმ ითი
განკვეთა	გან კვეთ ა
წუთიერი	წუ თ იერი
მცენარეებით	მცენარე ებით
შედედების	შე დედ ების
ნორვეგიისა	ნორვე გი ისა
წყლიანი	წყლ იანი
რომანსი	რო მანს ი
რომსა	რო მ სა
ნაწილებიც	ნაწილ ებიც
თანამდებობა	თანამ დებობ ა
კინოფილმში	კინო ფილმ ში
ფერწერულ	ფერ წერ ულ
ისლამიზაციის	ის ლამ იზაციის
სტრატეგიის	სტრატ ეგი ის
სიმტკიცეს	სი მტკიც ეს
სოჭის	სო ჭ ის
უსაფრთხოა	უსაფრთხ ო ა
დაიჭრა	და იჭრ ა
ჯულიან	ჯული ან
ნახევარფინალამდე	ნახევარ ფინალ ამდე
ნარკოტიკების	ნარკოტი კ ების
კაცები	კაც ები
დაუტოვებია	დაუ ტოვ ებია
დავასკვნათ	დავ ასკვნ ათ
გამოშვებაში	გამო შვებ აში
გამოსაზამთრებლად	გამოსა ზამთრ ებლად
კომიტეტში	კომ იტეტ ში
ჰიმნი	ჰიმ ნ ი
იქსი	იქს ი
კოდიფიკაცია	კოდ იფიკაცი ა
იბეგრება	ი ბეგრ ება
ტანისა	ტან ისა
ბახტაძე	ბა ხტ აძე
თხემის	თხ ემ ის
სეთ	სეთ
სერგეი	სერ გე ი
ანდომებს	ა ნდომ ებს
პოზიციებიდან	პოზიცი ებიდან
ანარქია	ან არქი ა
ანიტა	ან იტ ა
გავიარო	გავ იარ ო
გაზეთი	გა ზეთ ი
დანიშვნის	და ნიშვნ ის
ძალაუფლებასთან	ძალა უფლებ ასთან
მოიქცა	მო იქც ა
სრულ	სრულ
წარადგინეს	წარ ადგინ ეს
გარდენის	გარ დენ ის
ჭამს	ჭამ ს
აკადემიამ	აკადემი ამ
ვაქცინა	ვა ქცინ ა
მასივი	მას ივ ი
კონფერენციებს	კონ ფერენცი ებს
დაჯგუფებები	და ჯგუფებ ები
ნაირის	ნაირ ის
იმიგრანტების	იმი გრანტ ების
ნაწილაკების	ნაწილაკ ების
აღდგენილ	აღ დგენილ
რობოტი	რობ ოტ ი
ტონას	ტონ ას
გამოუვიდა	გამოუ ვიდ ა
ფესვის	ფესვ ის
ენერგიული	ენერგი ული
ჩატარებულ	ჩა ტარებ ულ
დაადასტურეს	დაა დასტურ ეს
შემოწმება	შე მოწმ ება
თოვლითაა	თო ვლ ითაა
ალაზნის	ალა ზნ ის
შელფური	შე ლფ ური
ძუძუმწოვრებს	ძუძუმწოვ რებ ს
განვითარებულია	გან ვითარებ ულია
შვიდის	შვიდ ის
გადაიყვანეს	გადა იყვან ეს
ბრაზდება	ბრა ზ დება
ნამარხები	ნა მარხ ები
ორგანოებიდან	ორ განო ებიდან
გონებრივ	გონ ებრივ
მცენარეებთან	მცენარე ებ თან
ანექსირებული	ანექს ირებ ული
ანბანით	ან ბან ით
ბოროტად	ბოროტ ად
იტაცებდა	იტაც ებდა
იონიის	ი ონი ის
გენერალურმა	გენერ ალ ურმა
ნაცნობი	ნა ცნობ ი
რომლებიც	რომ ლებ იც
ლიტვაში	ლი ტვ აში
ნესტორ	ნე სტორ
უმრავლესობაში	უმრავლ ესობ აში
გრძნობას	გრძნობ ას
ალფონს	ალ ფონს
ინტეგრალური	ინტე გრ ალური
პროცესებში	პროცეს ებში
ფოლკლორი	ფოლკ ლორ ი
რუსთავი	რუს თავ ი
გაყოფილ	გა ყოფილ
ჩაუდგნენ	ჩაუ დგ ნენ
კბილი	კბილ ი
ხველა	ხვ ელ ა
ნული	ნ ული
სადაბო	სა დაბ ო
ევაკუირებული	ევ აკუ ირებული
ჰავანაში	ჰა ვან აში
მამა	მა მ ა
ვაცლავ	ვაც ლავ
ამბობ	ამბობ
ბზარი	ბ ზარ ი
განყოფილებად	გან ყოფილებ ად
ცდის	ც დ ის
თავდაცვაზე	თავ დაცვ აზე
ალეურის	ა ლე ურის
განეხორციელებინა	განე ხორციელ ებინა
შიმპანზეთა	შიმპან ზე თა
ნაპრალში	ნაპრ ალ ში
კორეა	კორ ე ა
წინაპირობას	წინა პირობა ს
ვიკიპედიაში	ვიკი პედი აში
შეჩერებას	შე ჩერ ებას
ცეცხლგამძლე	ცეცხლ გამძლე
შვილთან	შვილ თან
გვთავაზობს	გვ თავაზობ ს
მთიულები	მთი ულ ები
ტაო	ტ აო
გადაიცემა	გადაი ცემ ა
ანტონიუსთან	ან ტონიუს თან
მრავალფეროვნებას	მრავალფეროვნე ბ ას
ხიდზე	ხი დ ზე
თარგმანში	თარგ მან ში
კავშირი	კავშირ ი
კილოთი	კი ლო თი
ეტლით	ეტ ლ ით
ცივილიზაციამ	ცივილიზ აცი ამ
ლეგიონების	ლეგ იონ ების
კოლხებმა	კოლ ხ ებმა
აგერმა	ა გერ მა
სამინისტრომ	სამინი სტრო მ
განცხადებების	გან ცხადებ ების
დროულად	დრო ულად
ნიკ	ნიკ
ისგან	ი ს გან
დროსვე	დრო სვე
მწვანედ	მწვა ნე დ
დარფურის	დარ ფურ ის
ზინაიდა	ზი ნაი და
მკერდი	მკერდ ი
ხმებს	ხმ ებს
ფეხსაცმელი	ფეხსაც მ ელი
ინფორმაციაზე	ინფორმაცი აზე
დამპყრობთა	დამ პყრობ თა
ტრანზიტის	ტრანზიტ ის
ჩაშენებულია	ჩა შენებულ ია
ანდრონიკაშვილმა	ანდრონი კაშვილ მა
ნადირობითა	ნადირ ობ ითა
სტრატიგრაფიული	სტრატ იგრაფი ული
ჰქვიათ	ჰ ქვ იათ
სამკოშკიანი	სამ კოშკ იანი
გასართობ	გასა რთობ
ამიერ	ამ იერ
იწევდა	ი წევ და
ამოწყვიტეს	ამო წყვიტ ეს
სხვისი	სხ ვ ისი
ეყრდნობოდა	ე ყრდნობ ოდა
ათაბაგობა	ათაბა გ ობა
ავრორას	ავრ ორ ას
თურქმენული	თურქმენ ულ ი
ნაკადების	ნა კად ების
აირია	აი რ ია
სისხლდენა	სისხლ დენ ა
ქებით	ქ ებ ით
არსებულა	არსებ ულა
შობელძაღლმა	შობელ ძაღლ მა
წამოიწყეს	წამო იწყ ეს
თანა	თან ა
მოიხსენიებდნენ	მოი ხსენიებ დნენ
საფასური	სა ფასურ ი
იზაბელა	იზა ბელა
ფსიქოლოგიის	ფსიქო ლოგი ის
წილადი	წი ლად ი
ბოლი	ბო ლ ი
დაეხია	დაე ხ ია
ლეკი	ლეკ ი
მიიღონ	მი იღ ონ
შარლ	შარ ლ
ერთგულება	ერთ გულ ება
იმან	ი მან
სოციალიზაციის	სოცი ალ იზაციის
მოუწყვეს	მოუ წყვ ეს
ენტერპრაიზ	ენტერპრაიზ
გოლს	გოლ ს
ორმხრივ	ორ მხრივ
დინარი	დინ არ ი
რეჟიმით	რეჟ იმ ით
სინტაქსი	სინ ტაქს ი
ტყვარჩელის	ტყვ არჩელ ის
ქონდა	ქონდ ა
შემდეგადაც	შე მდეგ ადაც
ჩანაფიქრს	ჩანა ფიქრ ს
ვაკეები	ვა კე ები
დიფერენციაცია	დი ფერენცი აცია
იმპერიისათვის	იმპერ ი ისათვის
ლანთანის	ლან თანის
ივლისის	ივ ლის ის
შედევრის	შე დევრ ის
გინდათ	გინდა თ
ლიბერალები	ლიბე რალ ები
ჰელიუმად	ჰელ იუმ ად
კატალოგი	კატალ ოგ ი
რომელიღაც	რომელ იღ აც
გათხრების	გა თხრ ების
ორგანიზაციათა	ორგანიზ აცი ათა
ეყრდნობა	ე ყრდნობ ა
ჰენრიკ	ჰენ რი კ
ასლი	ა სლ ი
ინტელექტუალთა	ინტელექ ტუალ თა
იორკშირი	იორკ შირი
მუსტიეს	მუს ტი ეს
დიდგორი	დიდგორ ი
გაბატონებულ	გა ბატონ ებულ
პლანეტების	პლანეტ ების
მოუტანდა	მოუ ტან და
გაკრული	გა კრულ ი
ტექსტილის	ტექსტ ილის
პათოსი	პა თ ოსი
შესამჩნევი	შესა მჩნევ ი
მცენარეს	მცენარე ს
ჩინელების	ჩინ ელ ების
წარდგენის	წარ დგენ ის
ჯაგეკლიანი	ჯაგე კლ იანი
სელიმი	სელ იმ ი
მოიწონა	მოი წონ ა
სექტემბერი	სექტ ემბერ ი
ყველასთან	ყველ ასთან
ბირმინგემის	ბირმინ გემ ის
პერიოდსა	პერი ოდ სა
მიგვითითებს	მიგვი თითებ ს
ხელშეწყობით	ხელშე წყობ ით
ადამიანთა	ადამიან თა
ჩასვლიდან	ჩა სვლ იდან
არქიტექტურისა	არქიტექ ტურ ისა
იგზავნებოდა	ი გზავნ ებოდა
ამილახვარის	ამილახ ვარ ის
ემსახუროს	ე მსახურ ოს
სერიებში	სერ ი ებში
კუნძულმა	კუნძულ მა
ლექციებს	ლექცი ებს
დაკარგულ	და კარგ ულ
კოლექციებში	კო ლექცი ებში
აპრილისათვის	აპ რილ ისათვის
სახლად	სახლ ად
იზოტოპებს	იზო ტოპ ებს
მუშაობით	მუშა ობ ით
გზატკეცილები	გზა ტკეცილ ები
ჰყოლია	ჰყოლ ია
ეძლეოდათ	ე ძლეოდა თ
დარაჯობდა	დარაჯ ობდა
კუნძულელთა	კუნძულ ელთა
დარუბანდის	დარუ ბანდ ის
ქცეული	ქცეულ ი
ერთგვარად	ერთ გვარ ად
ნისლეულში	ნის ლეულ ში
ფოგტი	ფო გ ტი
თვეს	თვე ს
ლირიულ	ლი რი ულ
ბანაკში	ბანაკ ში
გაძლიერებისათვის	გა ძლიერებ ისათვის
დაღესტნის	დაღესტ ნ ის
ღამურების	ღამ ურ ების
ტერიტორიები	ტერი ტორი ები
ტემპი	ტემ პ ი
ბერნაბეუს	ბერნ აბეუ ს
კრისტინამ	კრისტ ინ ამ
ყოფილან	ყოფილ ან
