იტალიასთან	იტალი ა სთან
ფილმებისთვის	ფილმ ების თვის
ეზიდებოდა	ეზიდ ებოდა
წევრობის	წევრ ობის
ქუჩიშვილი	ქუჩ ი შვილი
ფერმერების	ფერმერ ების
ირჩევდნენ	ირჩევ დნენ
ჯილდოებით	ჯილდო ებით
ინფორმაციას	ინფორმაცი ას
მეცნიერება	მეცნიერებ ა
ერაყისა	ერაყ ისა
ორსახლიანი	ორსახლ იანი
დამტკიცებას	დამტკიცებ ას
ბრაიანმა	ბრაიან მა
თაობას	თაობ ას
სარესტავრაციო	სარესტავრ ა ციო
გამოუგზავნა	გამოუგზავნ ა
ჩამოგვიტანა	ჩამოგვიტან ა
ტერიტორიისა	ტერიტორი ისა
წარმართული	წარმართ ული
ყურები	ყურ ები
გასცემდა	გასცემ და
ლოცვას	ლოცვ ას
მსოფლიოდან	მსოფლიო დან
გასაბჭოების	გასაბჭო ების
გადაზიდვები	გადაზიდვ ები
მატჩით	მატჩ ით
ინსტრუმენტულია	ინსტრუმენტ ულია
მიტროპოლიტი	მიტროპოლიტ ი
მოიხადა	მოიხად ა
თურქმანული	თურქმან ული
ღირსშესანიშნავ	ღირსშესანიშნა ვ
მსახიობმა	მსახიობ მა
მოხელეები	მოხელე ები
რიფის	რიფ ის
გამარჯვებულებს	გამარჯვებ ულ ებს
კოსმიური	კოსმი ური
ტოპონიმი	ტოპონიმ ი
მოდელს	მოდელ ს
მწვანე	მწვან ე
განესახიერებინა	განესახიერ ებინა
ისწავლა	ისწავლ ა
მერილ	მერი ლ
ერთნაირი	ერთნაირ ი
ცოის	ცო ის
ჰერაკლეს	ჰერაკლ ეს
ღვინით	ღვინ ით
მოუჭრა	მოუჭრ ა
რაოდენობრივი	რაოდენობ რივი
დასაჩქარებლად	დასაჩქარ ებლად
მოიტანა	მოიტან ა
გრანდ	გრან დ
იუდეის	იუდე ის
რაკეტებით	რაკეტ ებით
საზღვრებთან	საზღვრ ებთან
ანტიკურ	ანტ იკურ
ვარ	ვარ
ჟღერადობას	ჟღერადობ ას
რესურსებს	რესურს ებს
სამომხმარებლო	სამომხმარ ებლო
სიტყვაა	სიტყვ ა ა
დიზაინში	დიზაინ ში
ჰორიზონტის	ჰორიზონ ტის
წესებში	წეს ებში
ზელანდიამ	ზელანდი ამ
ჭაბუა	ჭაბუ ა
ნორმები	ნორმ ები
აქტიურობით	აქტიურ ობით
კრიზისის	კრიზის ის
მექანიკა	მექანიკ ა
მოყვითალოა	მოყვ ითალო ა
რომანტიკულ	რომანტ იკულ
დავების	დავ ების
მოიხატა	მოიხატ ა
ლიდიის	ლიდ იის
მორწმუნეთათვის	მორწმუნე თა თვის
ფანტასტიკური	ფანტასტიკ ური
ქვეშა	ქვეშ ა
ღიობები	ღიობ ები
დიდიე	დიდ იე
კომპიუტერების	კომპიუტერ ების
სუბიექტს	სუბიექტ ს
იცხოვრონ	იცხოვრ ონ
სასაცილო	სასაცილ ო
საუკუნეებისა	საუკუნე ების ა
რეჟიმს	რეჟიმ ს
უსახურად	უსახ ურად
ხელსაყრელ	ხელსაყრ ელ
ორიგინალობა	ორიგინალ ობა
უკანა	უკან ა
პაკისტანში	პაკისტან ში
ხელისუფლებასთან	ხელისუფლებ ას თან
მუსიკაა	მუსიკ ა ა
პატრიკი	პატრიკ ი
ფაკულტეტის	ფაკულტეტ ის
წარმოშობილია	წარმოშობ ილია
შემადგენლობის	შემადგენლობ ის
ინგლისურენოვანი	ინგლისურენ ოვანი
კინოსტუდიის	კინოსტუდ იის
სწავლებას	სწავლ ებას
ბევრის	ბევრ ის
სპექტრი	სპექტრ ი
იყრის	იყრ ის
ჩარევამ	ჩარევ ამ
მილიარდზე	მილიარდ ზე
უდაბნოა	უდაბნო ა
შფოთვა	შფოთვ ა
პოპულარობისა	პოპულარ ობის ა
დაიტბორა	დაიტბორ ა
მგზავრთა	მგზავრ თა
მოიგეს	მოიგ ეს
ნიჭიერ	ნიჭ იერ
კანავარო	კანავარ ო
გახარებული	გახარებ ული
ნულის	ნულ ის
გასცეს	გასც ეს
სულაც	სულ აც
ბაზარი	ბაზარ ი
ხევი	ხევ ი
დილეგში	დილეგ ში
ტრანსფერი	ტრანსფერ ი
ვისკონტის	ვისკონტი ს
მოვლენად	მოვლენ ად
უფსკრული	უფსკრულ ი
კიბეა	კიბე ა
სათავეს	სათავ ეს
რომელმა	რომელ მა
ცდას	ცდ ას
ლოიალობის	ლოიალ ობის
ჟღერადობით	ჟღერადობ ით
გადასვლამ	გადასვლ ამ
არეებში	არე ებში
არსებების	არსებ ების
კურდღლის	კურდღ ლის
ნაშრომით	ნაშრომ ით
გვერდით	გვერდ ით
გაძლიერებულმა	გაძლიერებ ულმა
მოსახლეობაში	მოსახლეობ აში
ანატომიის	ანატომი ის
აქბარი	აქბარ ი
სხვებმა	სხვ ებმა
მისდევს	მისდევ ს
ოსები	ოს ები
ლიტრამდე	ლიტრ ამდე
მონარქიის	მონარქი ის
სუპერთასი	სუპერთას ი
შერჩენილია	შერჩენ ილია
გამავრცელებელმა	გამავრცელებ ელმა
მიაღწიონ	მიაღწი ონ
გასვენებაზე	გასვენებ აზე
აღქმული	აღქმ ული
ინგლისელებმა	ინგლისელ ებმა
კლონების	კლონ ების
გადიოდნენ	გადი ოდნენ
ხომალდს	ხომალდ ს
ზაქრო	ზაქ რო
შლამის	შლამ ის
მომცა	მომც ა
მაქსიმალური	მაქსიმ ალური
ამჯერადაც	ამჯერ ა დაც
ბოლივიის	ბოლივი ის
პატიმრობაში	პატიმრობ აში
ჩურჩხელების	ჩურჩხელ ების
გიუნაშვილის	გი უნა შვილის
ტრიასულ	ტრიას ულ
ფანკის	ფან კის
სახესხვაობა	სახესხვა ობა
ფერმერთა	ფერმერ თა
მაცდური	მაცდ ური
მსყიდველობითი	მსყიდ ველ ობითი
ნოკიამ	ნოკი ამ
ლინდემანი	ლინდ ემანი
ჩავთვლით	ჩავთვლ ით
ტაკელოტ	ტაკ ელ ოტ
ქულით	ქულ ით
საბერძნეთში	საბერძნეთ ში
ხორენაცი	ხორენაც ი
მარციუსი	მარციუ სი
მოიჭრა	მოიჭრ ა
დასტური	დასტურ ი
განზრახვა	განზრახვ ა
მწვანეთა	მწვან ეთა
განაყოფიერებული	განაყოფიერ ებული
იდეალური	იდეალ ური
შერთვა	შერთ ვა
უარყოფითია	უარყოფ ითი ა
კოდი	კოდ ი
ტაძრებით	ტაძრ ებით
დაკარგვით	დაკარგვ ით
სამლოცველო	სამლოცვე ლო
ხშრად	ხშ რად
ნესტან	ნესტ ან
ზელანდიიდან	ზელანდი იდან
მათგანი	მათგან ი
მეგობარმა	მეგობარ მა
პქ	პქ
ტერიტორიებთან	ტერიტორი ებთან
დამატებები	დამატებ ები
ბილ	ბ ილ
მყინვარებით	მყინვარ ებით
ფასიან	ფას იან
ქავერი	ქავ ერი
ვჩალიჩობ	ვჩალიჩ ობ
სამართალმცოდნეობის	სამართალ მცოდნე ობის
ბერის	ბერ ის
გია	გ ი ა
ესაია	ესა ია
მთებზე	მთ ებზე
რეინბოუ	რეინ ბოუ
ფოთოლში	ფოთოლ ში
ფაკულტეტების	ფაკულტეტ ების
ლიგებში	ლიგ ებში
ჩაიფიქრა	ჩა ი ფიქრა
გარშემორტყმული	გარშემორტყმუ ლი
რუსთავისა	რუსთავ ის ა
კომერციული	კომერცი ული
ასრულება	ასრულებ ა
წარუშლელ	წარუშლ ელ
დანაკვთული	დანაკვთ ული
პუბლიკა	პუბლიკ ა
რუსთაველის	რუსთავ ელის
სხვათაშორის	სხვ ა თაშორის
ნიკარაგუას	ნიკარაგუ ას
იმხანად	იმხან ად
მსხვერპლიც	მსხვერპ ლი ც
ლორთქიფანიძის	ლორთქიფანიძ ის
პატიებას	პატი ებას
მომხდარი	მომხდარ ი
სასტიკი	სასტიკ ი
მითითებულია	მითითებ ულია
დაპყრობის	დაპყრობ ის
სახელად	სახელ ად
შვილებს	შვილ ებს
საწყალი	საწყ ალი
წინააღდეგ	წინააღ დეგ
გაუმჯობესებული	გაუმჯობესებ ული
დომინირებს	დომინირებ ს
მასით	მას ით
მუმიის	მუმ იის
ორდენით	ორდენ ით
კლინიკურ	კლინიკ ურ
მმართველობისას	მმართველობ ისას
კილოებს	კილო ებს
ამათგან	ამ ათ გან
აჯანყებულმა	აჯანყებულ მა
სენიორი	სენ იორი
ად	ად
კრიტიკოსებმა	კრიტიკოს ებმა
რესპუბლიკელების	რესპუბლიკ ელ ების
ალა	ალ ა
ბარეზი	ბარეზ ი
რიგოლეტოს	რიგოლეტ ოს
დასუსტდა	დასუსტ და
სნეულებათა	სნეულ ება თა
იძენენ	იძენ ენ
ფაქტორების	ფაქტორ ების
ფონოლოგია	ფონოლოგ ია
ამავ	ამ ავ
სეზონურ	სეზონ ურ
თეორიასთან	თეორი ა სთან
იქნება	იქნ ება
დაიცვა	დაიცვ ა
მკვდარ	მკვდა რ
ნათქვამია	ნათქვამ ია
გემები	გემ ები
ჩანაცვლდა	ჩანაცვლ და
ჩაუვარდა	ჩაუვარდ ა
დარიოსის	დარიოს ის
ხარჯზე	ხარჯ ზე
მაჩვენებელზე	მაჩვენებ ელზე
კალენდარული	კალენდარ ული
გადაჭიმულ	გადაჭიმ ულ
ნორფოლკის	ნორფოლკ ის
იოკო	იო კო
კატეგორიებში	კატეგორი ებში
დამუშავება	დამუშავ ება
მასალების	მასალ ების
ინგლისში	ინგლის ში
მესამეა	მესამე ა
პროდუქტიულობა	პროდუქტიულ ობა
ვესტერნი	ვესტერნ ი
შემოქმედებამ	შემოქმედებ ამ
პროგნოზით	პროგნოზ ით
შეიწოვება	შეიწოვ ება
არიდებდა	არიდ ებდა
ქურუმები	ქურუმ ები
ეტყვის	ეტყვ ის
გამარჯვებაში	გამარჯვებ აში
გეოპოლიტიკურ	გეოპოლიტ იკურ
რეპრიზა	რეპრიზ ა
იყო	იყო
პატარა	პატარ ა
კაცით	კაც ით
კოლონიზატორები	კოლონიზატორ ები
განხილვა	განხილვ ა
ჯერომ	ჯერ ომ
ინფორმაციაა	ინფორმაცი ა ა
ვატიკანი	ვატიკან ი
კონსულტანტი	კონსულტ ანტი
პრეისტორიული	პრეისტორი ული
კონფლიქტი	კონფლიქტ ი
რესპუბლიკელი	რესპუბლიკ ელი
სარეველების	სარეველ ების
ინფექციურ	ინფექცი ურ
უზრუნველყო	უზრუნველ ყო
შემოსავლებისა	შემოსავლ ების ა
რემიქსები	რემიქს ები
ველებად	ველ ებად
თარიღებს	თარიღ ებს
კლიმატი	კლიმატ ი
საქალაქო	საქალაქ ო
ფლეტჩერი	ფლეტჩერ ი
ელინისტური	ელინისტ ური
მოსალოდნელ	მოსალოდნ ელ
გაუხდა	გაუხდ ა
ძროხების	ძროხ ების
ანადგურებდნენ	ანადგურებ დნენ
დივიზიის	დივიზი ის
წყაროებისა	წყარო ების ა
საოფისე	საოფის ე
მაისამდე	მაის ამდე
უსაფრთხოებას	უსაფრთხო ებას
ფოთოლმცვენი	ფოთოლმცვ ენი
შესამოწმებლად	შესამოწმ ებლად
მარკესის	მარკეს ის
ენერგიაზე	ენერგი აზე
სწავლება	სწავლებ ა
ჰუტუს	ჰუ ტუს
ბრუნს	ბრუნ ს
მონარქს	მონარქ ს
ბიბლიაში	ბიბლი აში
ძველები	ძველ ები
მოიქცნენ	მოიქც ნენ
იზიდავდა	იზიდავ და
პალატას	პალატ ას
რეფერენდუმი	რეფერენდუმ ი
მოპოვებამდე	მოპოვებ ამდე
გადამდგარი	გადა მდგარი
სამძებრო	სამძებ რო
გამოსაკვლევად	გამოსაკვლევ ად
კუჭში	კუჭ ში
ქრისტიანული	ქრისტიან ული
ბრეტონის	ბრეტონ ის
მსურველი	მსურველ ი
ლივიუსი	ლივიუს ი
წაგებული	წაგებ ული
როკ	რო კ
შესუსტებულია	შესუსტ ებულია
საკათედრო	საკათედრ ო
დალი	და ლი
ვოლდემორს	ვოლდემორ ს
კლუბებმა	კლუბ ებმა
პროტესტანტები	პროტესტანტ ები
პრეპარატები	პრეპარა ტები
ქვეითი	ქვეით ი
პროექტში	პროექტ ში
ალექსანდერი	ალექსანდ ერი
თეიმურაზმა	თეიმურაზ მა
ლიუნგსტადი	ლიუნგსტა დი
დაუმთავრებელი	დაუმთავრებ ელი
ზედაპირი	ზედაპირ ი
შეხების	შეხებ ის
გერმანიისა	გერმანი ისა
ნამი	ნამ ი
დოკუმენტაციის	დოკუმენტ აციის
მდინარეს	მდინარე ს
მიქსფირი	მიქსფირ ი
რისთვის	რ ისთვის
დეპოზიტების	დეპ ოზი ტების
გაიფანტა	გაიფანტ ა
ორგანიზმებში	ორგანიზმ ებში
შარდის	შარდ ის
წესში	წეს ში
წაყვანას	წაყვან ას
მშვენიერების	მშვენიერ ების
პარაზიტული	პარაზიტ ული
ჯირკვლები	ჯირკვლ ები
კუნძულებიდან	კუნძულ ებიდან
რესპუბლიკების	რესპუბლიკ ების
მიაკუთვნებდა	მიაკუთვნ ებდა
ატლანტისა	ატლანტ ისა
გართხმული	გართხმ ული
სახელია	სახელ ი ა
გამძლეობას	გამძლე ობას
მეთოდეს	მეთოდ ეს
ნორმალურად	ნორმალ ურად
ხუნდაძე	ხუნდ აძე
ლეპიდუსი	ლეპიდუ სი
საყურეები	საყურე ები
რწმუნებული	რწმუნებულ ი
ეცხოვრათ	ეცხოვრ ათ
სცენარში	სცენარ ში
სიმამაცის	სიმამაც ის
მახასიათებლების	მახასიათებლებ ის
გეომეტრიული	გეომეტრი ული
ბოლოებში	ბოლო ებში
მწერლების	მწერლ ების
სფეროა	სფერო ა
კონცეფციაში	კონცეფცი აში
კონცერტს	კონცერტ ს
სვანეთის	სვან ეთის
ქანებით	ქან ებით
სანაოსნოდ	სანაოსნ ოდ
წააწყდა	წააწყ და
მანუჩარმა	მანუჩარ მა
კატეგორიის	კატეგორი ის
ფართო	ფართ ო
უდიდესი	უდიდეს ი
კარიბის	კარიბ ის
ქვიშიანი	ქვიშ იანი
გენეტიკური	გენეტიკურ ი
ათვისებას	ათვის ებას
ნებადართულია	ნებადართულ ია
მინერალთა	მინერალ თა
რუსი	რუს ი
ორგანიზაციების	ორგანიზაცი ების
ტექნოლოგია	ტექნოლოგი ა
ქანთა	ქან თა
სეგუნდა	სეგუნდ ა
ინსტრუქცია	ინსტრუქც ი ა
იმპროვიზაციული	იმპროვიზ აციული
მონაზვნები	მონაზვნ ები
სწამთ	სწამ თ
მიცვალებულებს	მიცვალებ ულ ებს
დაადგინა	დაადგინ ა
ერებს	ერ ებს
დეკორი	დეკორ ი
ოსური	ოს ური
გადაღებას	გადაღებ ას
აღიარებაზე	აღიარებ აზე
უფიქრია	უფიქრ ია
შემოსასვლელი	შემო ს ასვლელი
მთიანეთში	მთიანეთ ში
ისრაელისა	ისრაელ ისა
დააზიანოს	დააზიან ოს
ირგვლივ	ირგვლი ვ
ქალაქთან	ქალაქ თან
რენე	რენ ე
ძველებური	ძველებ ური
შემოვიდნენ	შემოვი დნენ
დასდევს	დასდევ ს
კანაფის	კანაფ ის
სხვაობით	სხვაობ ით
მრავალრიცხოვანმა	მრავალრიცხოვ ან მა
სახელებით	სახელ ებით
შემცირდა	შემცირ და
ბუნებრივ	ბუნებ რივ
ფაქიზი	ფაქიზ ი
ავი	ავ ი
მუშაობას	მუშაობ ას
ქორწინებაზე	ქორწინებ აზე
მ	მ
გამოსყიდვის	გამოსყიდ ვის
ხაზინის	ხაზინ ის
ლურჯა	ლურჯ ა
ზიმბაბვეს	ზ იმბაბვე ს
პროფესიის	პროფესი ის
ნამუშევრებიდან	ნამუშევრებ იდან
ყვითელმიწა	ყვითელ მიწა
იანგმა	იანგ მა
რუსუდანი	რუსუდ ანი
გამოსავლენად	გამოსავლენ ად
მუსულმანური	მუსულმან ური
დარღვევისათვის	დარღვევ ისა თვის
სუნ	ს უნ
თავისებურებაა	თავისებურ ება ა
მიდგმული	მიდგმ ული
მრავალთა	მრავალ თა
რაციონალური	რაციონალ ური
მინიმუმი	მინიმუმ ი
ზაფხულობით	ზაფხულ ობით
მოიხმარდა	მოიხმარ და
შესრულებული	შესრულებ ული
ჩანაწერია	ჩანაწერ ია
იმჟამინდელ	ი მჟამინდელ
გაუხსნა	გაუხსნ ა
დანაწილება	დანაწილებ ა
მადლობა	მადლ ობა
წელი	წელ ი
შიდსთან	შიდს თან
შემსრულებელს	შემსრულებ ელს
მნათობი	მნათობ ი
ნახვაც	ნახვ აც
პერიოდისა	პერიოდ ის ა
ბოლოებზე	ბოლო ებზე
დრონები	დრო ნები
ქუდები	ქუდ ები
მაქსიმეს	მაქსიმ ეს
ხვრელი	ხვრელ ი
მძვინვარე	მძვინვარ ე
მინერალ	მინერა ლ
თასები	თას ები
დაკისრებულ	დაკისრ ებულ
მღვდელ	მღვდ ელ
წინააღმდეგ	წინააღ მდეგ
წარმოიქმნას	წარმოიქმნ ას
ძილის	ძილ ის
ამოწევის	ამოწევ ის
ხაში	ხ აში
ფრედერიკ	ფრედ ერიკ
ბოთლებში	ბოთლ ებში
დამხობით	დამხობ ით
კიდეც	კიდე ც
მოსახლების	მოსახლ ების
წმიდანმა	წმიდან მა
ოსმალეთსა	ოსმალეთ სა
შვილები	შვილ ები
პრიმიტიულ	პრიმიტი ულ
ტიესტოს	ტიესტ ოს
ლაბორანტად	ლაბორანტ ად
მტერთან	მტერ თან
კურიოზული	კურიოზ ული
რეპერ	რეპ ერ
გამოთვლითი	გამოთვლ ითი
სისტემასა	სისტემ ას ა
სცნეს	სც ნეს
ტოტს	ტოტ ს
ირვინ	ირ ვინ
დომინიონის	დომინიონ ის
სამამულო	სა მამულო
ფილმში	ფილმ ში
ბუხარა	ბუხარ ა
სექტა	სექტ ა
შემოკლდა	შემოკლ და
ენერგიის	ენერგი ის
გაფართოებას	გაფართოებ ას
ნათელს	ნათელ ს
თავადების	თავად ების
რევოლუციაში	რევოლუცი აში
შავბნელი	შავბნელ ი
სართულიანი	სართულ იანი
ჩააბაროს	ჩააბარ ოს
კომუნისტები	კომუნისტ ები
კვალიფიცირებული	კვალიფიც ირებული
დასვენება	დასვენებ ა
ჩამოუვარდებოდა	ჩამოუვარ დებოდა
მიუთითა	მიუთით ა
აინტერესებს	აინტერესე ბს
დადეს	დად ეს
ესტონელი	ესტონ ელი
ამდენივე	ამდენ ივე
რელიეფს	რელიეფ ს
ითარგმნოს	ითარგმნ ოს
მიუკერძოებელი	მიუკერძ ო ებელი
მაზრები	მაზრ ები
უსახსოვრა	უსახსოვრ ა
ტარიფები	ტარიფ ები
ქვესივრცე	ქვესივრც ე
ინდუისტურ	ინდუისტ ურ
ცუდი	ცუდ ი
მარიკოფას	მარიკოფ ას
ყოფას	ყოფ ას
დროითი	დრო ითი
სპეციალისტებს	სპეციალისტ ებს
დასის	დას ის
დაცული	დაც ული
გამოვლენა	გამოვლენ ა
თაღით	თაღ ით
ჰეგელის	ჰეგ ელის
ხელვაჩაურის	ხელვაჩა ურის
კომბოსტოს	კომბოსტ ოს
ჯაყელი	ჯაყელ ი
მთავარსარდლის	მთავარსარდ ლის
მიეხედა	მიეხე და
განათებული	განათებ ული
რაიონ	რაი ონ
ჩუბინაშვილი	ჩუბინ ა შვილი
მიკენის	მიკენ ის
მამულში	მამულ ში
ჩემპიონები	ჩემპიონ ები
სამოსში	სამოს ში
დატანებულია	დატან ებულია
ჰომინიდებს	ჰომინიდე ბს
არმიის	არმი ის
ძალაუფლებით	ძალაუფლებ ით
ფუღუროში	ფუღურ ოში
ძმის	ძმ ის
კონფედერაციის	კონფედერაცი ის
სტაჟირებაზე	სტაჟირ ება ზე
შენარჩუნება	შენარჩუნ ება
ჯამში	ჯამ ში
კრახით	კრახ ით
რეჟისორ	რეჟისო რ
ქვესიმრავლეთა	ქვესიმრავლ ეთა
ქედი	ქედ ი
ტესტოსტერონის	ტესტოსტერ ონის
გერბები	გერბ ები
სხვაგვარად	სხვაგვარ ად
რუსთავს	რუსთავ ს
კვადრატიდან	კვადრატ იდან
უდავო	უდავ ო
წელთაღრიცხვით	წელთაღრიცხვ ით
მაყაშვილი	მაყ ა შვილი
შენობიდან	შენობ იდან
ინტერესთა	ინტერეს თა
ნეტარ	ნეტ არ
ჯარებით	ჯარ ებით
კორტესმა	კორტეს მა
მხრებზე	მხრ ებზე
მრავალმა	მრავალ მა
სემიუელ	სემიუ ელ
ლაგაში	ლაგაშ ი
ურთიერთკავშირი	ურთიერთ კავშირ ი
გარდამტეხი	გარდამტეხ ი
ნანსის	ნან სის
ჭრილი	ჭრილ ი
ნიშის	ნიშ ის
ხმოვნები	ხმოვნ ები
პრესტიჟი	პრესტიჟ ი
აკრონიმი	აკრონიმ ი
სპეციალური	სპეციალ ური
განკურნება	განკურნ ება
გათვლებით	გათვლ ებით
კორნემ	კორნ ემ
რკალი	რკალ ი
უფლებამოსილებები	უფლებამოსილე ბ ები
დირექტორად	დირექტორ ად
მოახლე	მოახლ ე
აფეთქების	აფეთქებ ის
ელემენტებად	ელემენტ ებად
აღმართა	აღმართ ა
მთა	მთ ა
ბრაუნმა	ბრაუნ მა
დაახრჩო	დაახრჩ ო
რევი	რევ ი
შემოღებულ	შემოღ ებულ
შესაძლებლობებს	შესაძლებლობ ებს
ჯოუნსი	ჯოუნს ი
რიონის	რიონ ის
თქვენ	თქვ ენ
ჯოისს	ჯოის ს
ზურგზე	ზურგ ზე
დამუშავებულ	დამუშავ ებულ
მუნდიალი	მუნდიალ ი
პედაგოგად	პედაგოგ ად
მსახიობური	მსახიობ ური
ბაიაზიდის	ბაიაზიდ ის
ფეხს	ფეხ ს
ფლანგიდან	ფლანგ იდან
სიმღერებისგან	სიმღერ ების გან
კიდეში	კიდე ში
შეეჯახა	შეეჯახ ა
ჩამალული	ჩამალ ული
ეგზემპლიარის	ეგზემპლი არის
ძეს	ძ ეს
წინამორბედ	წინამორბ ედ
ლამბერტის	ლამბერტ ის
თევზები	თევზ ები
ოთხმოცდაათიანი	ოთხმოცდა ათ იანი
კადრში	კადრ ში
არენად	არენ ად
გადაერთო	გადაერთ ო
ვერსად	ვერ ს ად
მეხუთეა	მეხუთ ე ა
სიბრძნით	სიბრძნ ით
გამუდმებით	გამუდმ ებით
თავადვე	თავად ვე
იმალებოდა	იმალებ ოდა
ჰიჩკოკს	ჰიჩკოკ ს
თანაგუნდელებთან	თანაგუნდელ ებთან
მთხრობელი	მთხრობ ელი
სცენარის	სცენარ ის
ბავშვებთან	ბავშვ ებთან
ვარშავაში	ვარშავ აში
ფეხბურთელებმა	ფეხბურთ ელებმა
ყრილობაზე	ყრილობ აზე
სტადიას	სტადი ას
გატარების	გატარებ ის
გაზეთები	გაზეთ ები
ნიკოლსონი	ნიკოლ სონი
მღვიმელის	მღვიმე ლის
ჩანაცვლების	ჩანაცვლ ების
ქალაქურ	ქალაქ ურ
მოსწონს	მოსწონ ს
გრეტა	გრ ეტა
ჰაერზე	ჰაერ ზე
მორწმუნეები	მორწმუნე ები
ჭრელი	ჭრ ელი
მართვით	მართვ ით
ბავშვობისას	ბავშვობ ისას
თავდასხმის	თავდასხმ ის
სინგლებზე	სინგლ ებზე
ეშინია	ეშინ ია
კომპანიისთვის	კომპანი ისთვის
ტანზანიის	ტანზანი ის
მარკს	მარკ ს
გუმბათი	გუმბათ ი
პულტი	პულ ტი
ლიპარტიანი	ლიპარტ იანი
ნაწილია	ნაწილ ია
სიდიდის	სიდიდ ის
ფორმულაა	ფორმულ ა ა
ლექცია	ლექცი ა
მიცვალებულის	მიცვალებ ულის
ნევშატელის	ნევშატ ელის
დიდებულებთან	დიდებულ ებთან
მონაწილენი	მონაწილ ენი
შეხვდებოდა	შეხვდ ებოდა
ფესტივალს	ფესტივალ ს
კლასიფიკაციაში	კლასიფიკაცი აში
უბეს	უბე ს
სკოლებში	სკოლ ებში
ვოლდემორმა	ვოლდემორ მა
შეზღუდული	შეზღუდ ული
ითხოვეს	ითხოვ ეს
ქალღმერთის	ქალღმერთ ის
რევოლუცია	რევოლუცი ა
უსმენდნენ	უსმენ დნენ
ჩაეფლო	ჩაეფლ ო
თვლიდა	თვლი და
პათოლოგიური	პათოლოგ იური
ღვთაებაა	ღვთაებ ა ა
ოფიცრებთან	ოფიცრ ებთან
სჯულის	სჯულ ის
წარმატებაზე	წარმატებ აზე
ადარებდნენ	ადარებ დნენ
საკითხისათვის	საკითხ ის ათვის
შეყვარებულები	შეყვარებუ ლები
საწყლოსნო	საწყ ლოს ნო
კორლეონეს	კორლეონ ეს
ტრიალი	ტრიალ ი
უსამართლო	უსამართლ ო
ფირმამ	ფირმ ამ
შარი	შარ ი
ემოციურ	ემოცი ურ
ერთუჯრედიან	ერთუჯრედ იან
ნახევარკუნძული	ნახევარკუნძულ ი
სუფსის	სუფ სის
ჩასულმა	ჩასულ მა
წრიულ	წრი ულ
ვიეტნამური	ვიეტნამ ური
არისტოტელემ	არისტოტელ ემ
გაღვივდა	გაღვივ და
მეთოდს	მეთოდ ს
თაფლს	თაფლ ს
ქამრები	ქამ რები
გამოსულა	გამოსულ ა
ქრისტეს	ქრისტ ეს
შენობასთან	შენ ობა სთან
რანგით	რანგ ით
რამდენი	რამდენ ი
დასახლებად	დასახლებ ად
ისტორიოგრაფია	ისტორიოგრაფი ა
ლოდინის	ლოდინ ის
წარმოიშვნენ	წარმოიშვ ნენ
წევრთან	წევრ თან
მეტნაკლებად	მეტნაკლ ებად
საბაბს	საბაბ ს
საუკუნამდე	საუკუნ ამდე
მეტალურგიაში	მეტალურგ იაში
მეჰმედს	მეჰმედ ს
ამირ	ამ ირ
მსახიობის	მსახიობ ის
უძრავად	უძრავ ად
თესლების	თესლ ების
ვაზას	ვაზ ას
ქეთი	ქეთ ი
საეპისკოპოსო	საეპისკოპო სო
მთავრობას	მთავრობ ას
ხაზებს	ხაზ ებს
გაბნეული	გაბნე ული
შრეების	შრე ების
გაყვანის	გაყვან ის
დამატებული	დამატებ ული
კატალონიელებმა	კატალონი ელებმა
მელია	მელი ა
მიაშურა	მიაშურ ა
მისისიპის	მისისიპ ის
ქვეშ	ქვეშ
ფრანგების	ფრანგ ების
ერებისა	ერ ების ა
ირწმუნებოდა	ირწმუნ ებოდა
ცნობიდან	ცნობ იდან
იტალიამ	იტალი ამ
გააქრისტიანა	გააქრისტ იან ა
ადიდებს	ადიდებ ს
დაადგინონ	დაადგინ ონ
დიქტატორს	დიქტატორ ს
იუპიტერს	იუპიტერ ს
სპარსელმა	სპარსელ მა
კონფერენციაში	კონფერენც იაში
რომლებითაც	რომლ ებით აც
რეგიონებია	რეგიონ ები ა
სამშობლოს	სამშობლ ოს
სისტემას	სისტემ ას
გამოაქვეყნეს	გამოაქვეყ ნეს
ბინარული	ბინა რული
წელია	წელ ია
თვითონვე	თვითონ ვე
ბუნებრივი	ბუნებრივ ი
რადიკალურ	რადიკალ ურ
სანუკვარი	სანუკვარ ი
კრისტალები	კრისტა ლები
მიქელანჯელო	მიქელანჯელ ო
მეტრეველი	მეტრევ ელი
ბოკაჩო	ბოკაჩ ო
ნატალის	ნატალ ის
პადუსის	პადუ სის
წმენდენ	წმენდ ენ
სტალინური	სტალინ ური
ოთკუთხა	ოთკუთხ ა
დაქორწინებული	დაქორწინ ებული
ინსცენირებული	ინსცენ ირებული
გადააყენა	გადააყენ ა
კლებულობს	კლებულ ობს
პოსტი	პოსტ ი
ღრმად	ღრმ ად
ღვინოების	ღვინო ების
ორტეგა	ორტეგ ა
ცაში	ც აში
წამოყენებული	წამოყენ ებული
მელიქიშვილი	მელიქ ი შვილი
მეტყველებენ	მეტყველებ ენ
ანალიტიკურ	ანალიტიკ ურ
ბალეტში	ბალეტ ში
ჭამის	ჭამ ის
ჰავანის	ჰავან ის
