იტალიასთან	ი ტალი ასთან
მთავრის	მთავრ ის
ბეწვზე	ბე წვ ზე
მაქსიმილიანის	მა ქსიმ ილიანის
სი	სი
ანტიგონე	ანტი გონ ე
მოშორება	მო შორ ება
ტოვებენ	ტოვ ებენ
კომუნისტების	კომუნ ისტ ების
ვეშაპის	ვეშ აპ ის
დადგენილი	და დგენილ ი
წრფელი	წრფ ელი
გრიგორი	გრი გორ ი
აღმოსავლეთითაა	აღმო სავლეთ ითაა
საზოგადოებისთვის	საზოგად ო ებისთვის
კუნძულებისაგან	კუნძულ ებ ისაგან
გიტარისტმა	გიტარ ისტ მა
გადახრის	გადა ხრ ის
ედი	ე დ ი
რეგიონალური	რეგიონ ალური
სიმონე	სი მონ ე
დაწესებულებაა	დაწეს ებულ ებაა
ნიდერლანდელი	ნიდერ ლანდ ელი
სოლომონ	სოლო მონ
კენკრით	კენ კრ ით
მერაბიშვილის	მერა ბ იშვილის
სტილისა	ს ტილ ისა
კათოლიკების	კათოლ იკ ების
გაემზადა	გაე მზად ა
თოჯინური	თო ჯინ ური
რევოლუციონერ	რევოლუცი ონერ
ჩეხეთში	ჩეხ ეთ ში
ანგარიშები	ანგარიშ ები
მაშინდელმა	მაში ნდელ მა
გამარტივება	გა მარტივ ება
ჩამოსულები	ჩამო სულ ები
წაკითხვის	წა კითხვ ის
სინდისი	სინდის ი
რძე	რძ ე
ჯალალედინის	ჯალალ ედინ ის
კრისტოფ	კრისტ ოფ
ორიდან	ორ იდან
სხეულებს	სხ ეულ ებს
ღირსეული	ღირს ეულ ი
ილორის	ილ ორ ის
ხელმოკლე	ხელ მოკლე
შესასვლელს	შე სასვლელ ს
დავიდა	და ვიდ ა
სცენებში	სცენ ებში
გარნიზონი	გარნი ზონ ი
ფრანგთა	ფრან გ თა
აეშენებინა	აეშენ ებინა
ყოფითი	ყოფ ითი
მითვისება	მი თვის ება
ჩეხოსლოვაკია	ჩეხო სლოვაკი ა
არჩევით	ა რჩევ ით
ირწმუნა	ი რწმუნ ა
ფეოდალის	ფეოდალ ის
საქმესთან	სა ქმე სთან
ოტონის	ო ტონ ის
აბრაჰამ	ა ბრა ჰამ
სამსაფეხურიანი	სამსა ფეხურ იანი
სკრის	ს კრ ის
ფლინტი	ფ ლინ ტი
შენაერთს	შენა ერთ ს
ნოველა	ნოვ ელ ა
ბავშვებსაც	ბავშვ ებსაც
დემოგრაფიის	დემო გრაფი ის
ოიდიპოსი	ოიდიპოს ი
პატრონები	პატრონ ები
უჩნდება	უ ჩნდ ება
სავოიის	სავ ო იის
ღონისძიება	ღონის ძი ება
ტაძრისათვის	ტაძრ ისათვის
გამოცხადდება	გამო ცხად დება
ტყის	ტყ ის
ისმისო	ის მის ო
ემუშავა	ე მუშავ ა
აშლილობა	ა შლილ ობა
ძვლის	ძ ვლ ის
გაბრიელის	გაბ რიელ ის
აღსანიშნად	აღსა ნიშნ ად
ყიზილბაშებმა	ყიზილ ბაშ ებმა
ლაზერის	ლაზე რ ის
ალენ	ალ ენ
გასცლოდა	გას ც ლოდა
ენტონის	ენ ტონ ის
მთავრობისთვის	მთავრ ობ ისთვის
ცხადყო	ცხად ყო
გურიელების	გუ რიელ ების
მუქი	მ უქ ი
სტუმრობის	სტუმრ ობ ის
ინტერთან	ინტე რ თან
საკუთრებას	სა კუთრ ებას
უხვადაა	უხვ ადაა
წინსვლას	წინ სვლ ას
თავადი	თავად ი
სწავლობს	სწავლ ობს
გვიჩვენებს	გვი ჩვენ ებს
დაზვერვა	დაზვერვ ა
ჯერარდმა	ჯერ არდ მა
დამარცხება	და მარცხ ება
პეინს	პე ინ ს
უსწორდება	უ სწორ დება
მისეული	მის ეული
სოკოს	სო კო ს
ბუბლეის	ბუ ბლეი ს
ხვრელს	ხვრ ელ ს
ჰოლის	ჰოლ ის
ქვას	ქვ ას
ფარავენ	ფარ ავ ენ
გამოგზავნილ	გამო გზავნ ილ
გაცვლა	გა ცვლ ა
მიეძღვნა	მიე ძღვ ნა
მეფისაგან	მეფ ისაგან
სამსართულიანი	სამსა რთულ იანი
სტრატოვულკანი	სტრატოვულ კან ი
ლოიდი	ლო იდ ი
შთამომავლებად	შთა მომავლ ებად
მაისისთვის	მა ის ისთვის
კრებდა	კრებ და
ნაწარმოებს	ნაწარმო ებ ს
ემოციურობა	ემოც იურ ობა
მესხები	მ ესხ ები
წამოწეული	წამო წ ეული
ჩენდლერის	ჩენდ ლერ ის
მოკრძალებულ	მოკრძალ ებულ
ისვრიან	ის ვრ იან
მიშა	მ იშ ა
გიმნაზიას	გიმნაზი ას
განიხილავენ	განი ხილ ავენ
ყურეში	ყურე ში
თუ	თუ
ტენოჩტიტლანი	ტენოჩტიტლან ი
აალტოს	ა ალტ ოს
რეაქცია	რე აქცი ა
სამწევროვანი	სამ წევრ ოვანი
აღმოჩნდეს	აღმო ჩნდ ეს
დიზრაელი	დიზ რაელ ი
აღიარებს	ა ღიარებ ს
შვებულება	შვ ებულ ება
ტირენიის	ტირე ნი ის
უჯრედული	უჯრედ ული
ოჯიბვე	ო ჯიბვ ე
ნაჩვენები	ნა ჩვენებ ი
შეძრა	შე ძრ ა
თავისუფლებაზე	თავის უფლებ აზე
გადაბმული	გადა ბმულ ი
შეუდარებელი	შეუ დარ ებელი
ენებად	ენ ებად
სოროებში	სორ ო ებში
გლდანისკენ	გლდა ნ ისკენ
საზღვრისპირა	საზღვრ ისპირა
ველზე	ველ ზე
სანაპირო	სანაპი რო
წამოწყება	წამო წყ ება
აქვეყნებენ	აქვე ყნ ებენ
ზღაპრები	ზღა პრ ები
ზოგიერთში	ზოგი ერთ ში
ენობრივი	ენ ობრივ ი
შეამჩნიეს	შე ამჩნი ეს
ცნობდნენ	ცნობ დნენ
ლეგალურ	ლეგ ალურ
დაენიშნა	დაე ნიშნ ა
დაპყრობამ	და პყრობ ამ
გადახალისების	გადა ხალის ების
ქრომოსომების	ქრომოს ომ ების
ანტონიუს	ანტონი უს
შემზარავი	შემ ზარ ავი
მანტიიდან	მ ანტი იდან
საარქივო	სა არქი ვო
არხებით	არხ ებით
თვალების	თვალ ებ ის
მიემგზავრებიან	მიე მგზავრ ებიან
გაერთიანებულ	გა ერთიან ებულ
კანონზომიერებებს	კანონ ზომიერ ებებს
მოლაპარაკებებში	მოლ აპარაკ ებებში
შუამავალი	შუა მავალ ი
მისწრაფებებს	მი სწრაფ ებებს
მეთაური	მეთაურ ი
მთავრობასა	მთავრ ობ ასა
ოცდასამი	ოცდა სამ ი
თავშესაფარში	თავშესა ფარ ში
პრო	პრო
ელით	ელ ით
ციალი	ცი ა ლი
კათედრალური	კათედ რალ ური
ტენდენციების	ტენ დენც იების
ლითონისაგან	ლით ონ ისაგან
მაღალგანვითარებული	მაღალგან ვითარებ ული
იტანჯებოდა	იტან ჯ ებოდა
ნაწილებსა	ნაწილ ებ სა
დახრილი	დახ რილ ი
რომელიც	რომ ელ იც
შებრძოლებოდა	შე ბრძოლ ებოდა
სახასიათო	სა ხასიათ ო
ფაღავა	ფა ღავა
საზოგადოებათა	საზოგად ო ებათა
ცვლილების	ცვლილ ებ ის
ნიკი	ნიკ ი
მთლიანობა	მთლ იან ობა
რიტუალებში	რიტუალ ებში
ჰკვეთს	ჰ კვეთ ს
მატერიკის	მატერ იკ ის
ბოლესლავ	ბოლეს ლავ
მშვიდობიან	მშვიდობ იან
ბორის	ბორ ის
ჩეროკების	ჩერ ოკ ების
დადგენის	და დგენ ის
ნიმუშით	ნიმუშ ით
საყვირები	სა ყვირ ები
შეასრულოს	შეა სრულ ოს
გამოყვანის	გამო ყვან ის
განუყრელად	განუ ყრელ ად
შარდენი	შარ დენ ი
დაწესება	და წეს ება
პრობლემად	პრობლე მ ად
მავრიტანიის	მავრი ტან იის
ოქტომბერში	ოქტომ ბერ ში
გრაფიკაზე	გრაფ იკ აზე
მაკედონელებს	მაკედონ ელ ებს
გაზეთისთვის	გაზ ეთ ისთვის
მაჭავარიანი	მაჭა ვარ იანი
ექსპერიმენტი	ექსპერი მენტ ი
ზაქათის	ზაქ ათ ის
სამღვდელოებამ	სამღვდელ ო ებამ
შინაგანი	შინა გან ი
უძლებს	უ ძლ ებს
მყინვარზე	მყინვარ ზე
ფრთხილად	ფრთხილ ად
მედისონ	მედი სონ
დაშორებული	და შორ ებული
სალაროს	სა ლარ ოს
ტოსკანას	ტოს კან ას
აუზებში	ა უზ ებში
ორატორია	ორა ტორ ია
ელისი	ელი ს ი
კირკ	კირ კ
კუბის	კუბ ის
მოწყობილობაა	მოწყობილ ობ აა
იერარქიული	იერ არქი ული
გადაცემულ	გადა ცემ ულ
თანაშემწედ	თანა შემწე დ
ტელეარხ	ტელე არხ
ჩეჩენი	ჩე ჩენ ი
სადღეღამისო	სა დღეღამ ისო
იქ	იქ
პროდიუსერებმა	პროდიუსერ ებმა
სენეგალში	სენეგა ლ ში
პროვინციებიდან	პროვინ ცი ებიდან
ნაპირიდან	ნა პირ იდან
საკონტინენტთაშორისო	სა კონტინენტ თაშორისო
სპექტრით	სპექტ რ ით
აკვირდებოდნენ	აკვირ დებ ოდნენ
აეროდრომი	აერ ოდრომ ი
ინდიელები	ინდი ელ ები
ჩადენილი	ჩა დენ ილი
შერთო	შ ერთ ო
ოსკარ	ოს კარ
სამმა	ს ამ მა
ბერები	ბერ ები
ფერმერები	ფერ მერ ები
ზომას	ზომ ას
მოკვეთის	მო კვეთ ის
მომრგვალებული	მო მრგვალ ებული
ცდა	ცდ ა
შესრულება	შე სრულებ ა
დათმობილი	და თმობ ილი
ისარგებლა	ისა რგებლ ა
ნაწილობრივ	ნაწილ ობრივ
თბილისმა	თბილ ის მა
ვაჭრობასა	ვაჭრ ობ ასა
იაკუბ	ია კუბ
დანებების	და ნებ ების
ვანდალები	ვანდა ლ ები
სამეფოებში	სამე ფო ებში
სვამენ	სვამ ენ
ნაადრევად	ნაად რევ ად
ხანძარმა	ხან ძარ მა
სალი	ს ალ ი
კორპუსის	კორ პუს ის
ბოსნიელ	ბოსნი ელ
იმისგან	ი მ ისგან
საგვარეულოდან	საგვარ ეულ ოდან
გილმორი	გილ მორ ი
დიდებულ	დიდ ებულ
მილიარდამდე	მილი არდ ამდე
კარლუშ	კარ ლ უშ
გაგება	გა გ ება
პიტერის	პი ტერ ის
მოიყვანა	მო იყვან ა
გადაურჩა	გადაურ ჩ ა
უილისი	უ ილ ისი
უელსის	უ ელს ის
ორს	ორ ს
გაუგზავნა	გაუ გზავნ ა
შეთავაზებით	შე თავაზ ებით
კრის	კრ ის
გასავლელად	გასა ვლელ ად
მასაში	მა ს აში
ძლიერდებოდა	ძლიერ დებოდა
ჯეიმს	ჯე იმ ს
მორფი	მორფ ი
ადგილასაა	ადგილ ასაა
უხეშ	უხ ეშ
ფასდება	ფას დება
გიტარების	გიტარ ების
კრისტოფერი	კრისტო ფერ ი
მკვრივია	მკვრივ ია
აბაი	აბა ი
ავგუსტუსმა	ავგუს ტუს მა
კოლუმბიას	კოლუმბ ი ას
გლახაკებს	გლახა კ ებს
სახედ	სახე დ
გუმბათისებრი	გუმბათ ისებრი
ხედვის	ხედვ ის
შეიარაღებაზე	შე იარაღ ებაზე
მედიჩი	მედ იჩ ი
ალპინიზმის	ალ პინ იზმის
გაჭირვებას	გაჭირ ვ ებას
ზრუნვა	ზრუნ ვ ა
ნსდაპ	ნ სდაპ
პროგიმნაზია	პრო გიმნაზი ა
აღორძინებისა	აღორ ძინ ებისა
ალბომიდან	ალბ ომ იდან
რაინი	რა ინ ი
ვერაფერი	ვერა ფერ ი
ბიზანტიელები	ბიზანტი ელ ები
გამოკვეთა	გამო კვეთ ა
დაიმკვიდრა	დაი მკვიდრ ა
იპარება	ი პარ ება
ლეიდენის	ლეი დენ ის
მზისა	მ ზის ა
ეკლესიისგან	ეკლესი ისგან
მაფიის	მა ფი ის
ცხოვრებაში	ცხოვრებ აში
იზრუნებდა	ი ზრუნ ებდა
თავისით	თა ვის ით
შენდა	შენ დ ა
დეკრეტი	დეკ რეტ ი
ვაჭრობისათვის	ვაჭრ ობ ისათვის
ჩარკვიანი	ჩა რკვ იანი
ჰოლი	ჰოლ ი
გაცემის	გა ცემ ის
ნიკოს	ნიკ ოს
მი	მი
აქტი	აქტ ი
ბანაბას	ბან აბა ს
მიზანმიმართულად	მიზანმი მართულ ად
ჯაზისა	ჯა ზ ისა
მხარისა	მ ხარ ისა
კათოლიკები	კათოლ იკ ები
პარტნიორების	პარტ ნიორ ების
შეესრულებინა	შეე სრულებ ინა
იკურთხა	ი კურთხ ა
მონაკვეთებში	მონა კვეთ ებში
ფილოსოფიაში	ფილოსოფ ი აში
ასოთი	ას ო თი
ტირაჟი	ტირ აჟ ი
გაბნეულ	გაბ ნეულ
ერთადერთი	ერთად ერთ ი
სტრასბურგის	სტრას ბურგ ის
ტორტი	ტორ ტი
შარვაშიძეთა	შარვაში ძ ეთა
გამოიყო	გამო იყო
უცხო	უცხო
უზრუნველყოფის	უზრუნველყ ოფ ის
შურისძიებას	შურის ძი ებას
გამოეცათ	გამოე ცა თ
შეუცვლელად	შეუ ცვლ ელად
ბრძოლებს	ბრძოლ ებს
მუზეუმისთვის	მუზეუმ ისთვის
ქცეულ	ქცეულ
ორიგინალურია	ორიგინ ალ ურია
დაეკრა	და ე კრა
ბუნებრივმა	ბუნებრივ მა
აღრიცხვას	აღრიცხვ ას
კელნი	კელ ნ ი
გავრცელებული	გა ვრცელ ებული
სვეტლანა	სვე ტ ლანა
საშუალი	სა შუა ლი
იხევდა	ი ხევ და
სასახლეც	სასა ხლე ც
აზრები	აზრ ები
ცოდვების	ცოდ ვ ების
აიაქსს	აია ქს ს
ბენდის	ბენ დ ის
თვალშისაცემი	თვალშისა ცემ ი
ასახავდა	ასა ხავ და
გეოგრაფთა	გე ოგრაფ თა
მიულერის	მიუ ლერ ის
მცემ	მ ცემ
ბაკალავრის	ბაკალავრ ის
საკინძები	საკინ ძ ები
რელიეფია	რელიეფ ია
შეკუმშული	შე კუმშ ული
შეცვლა	შე ცვლ ა
ნალი	ნა ლ ი
მიწათმფლობელი	მიწათ მფლობელ ი
ბოქს	ბო ქ ს
ღამით	ღამ ით
აღასრულებდა	აღა სრულ ებდა
სლავები	ს ლავ ები
დააგროვა	დაა გროვ ა
ნაწილშიც	ნაწილ შიც
გამჭვირვალეა	გამჭვირ ვალ ეა
მეტამორფოზი	მეტამორფ ოზ ი
საბუნებისმეტყველო	საბუნების მეტყველ ო
თვითმფრინავია	თვითმ ფრინავ ია
ფუძის	ფუძ ის
ტომეული	ტომ ეული
სამყაროში	სამყარ ო ში
პრეზენტაციის	პრეზენ ტაცი ის
მათგანს	მათ გან ს
ჩაებნენ	ჩა ებ ნენ
გულიტი	გულ იტ ი
ცივილიზაციებს	ცივილიზ აცი ებს
ფარსმან	ფარს მან
ალფონსომ	ალფონ ს ომ
მოაბეს	მოა ბ ეს
საბჭოურ	საბჭო ურ
ცხინვალში	ცხ ინვალ ში
საბჯენი	სა ბჯენ ი
უზრუნველყოფა	უზრუნველყ ოფ ა
ირლანდია	ირ ლანდი ა
გამოცემები	გამო ცემ ები
ორკები	ორკ ებ ი
ვირუსული	ვი რუს ული
პოსტზე	პოს ტ ზე
მენეჯმენტს	მენეჯ მენტ ს
კომპოზიტორი	კომპოზიტორ ი
მიმაგრებული	მი მაგრ ებული
ხეობებში	ხე ობ ებში
გლარუსისა	გლა რუს ისა
ციტოპლაზმაში	ციტო პლაზმ აში
ფორმის	ფორმ ის
მეგობრის	მეგობრ ის
სასჯელაღსრულების	სა სჯელ აღსრულების
შედეგებით	შე დეგ ებით
შიმშილისგან	შიმშ ილ ისგან
ჩაატარებდა	ჩაა ტარ ებდა
მხედველობაში	მხედველობ აში
ჰუსიტების	ჰუს იტ ების
მარველის	მარ ველ ის
სდებს	ს დ ებს
მარჯანიშვილმა	მარჯან იშვილ მა
სოციოლოგია	სოცი ოლოგი ა
ლარი	ლარ ი
რიგობითი	რიგ ობითი
სირთულეების	სირთულ ე ების
სხივური	სხივ ური
ნუკრის	ნუ კრ ის
წყალტუბო	წყალტუ ბო
მკაცრ	მკაცრ
წყლით	წყლ ით
შუმანის	შუ მან ის
ბალეარის	ბალე არ ის
ტირაჟით	ტირ აჟ ით
ქედებს	ქ ედ ებს
ფერის	ფერ ის
ავგუსტ	ავგუს ტ
შეურიგებელი	შეუ რიგ ებელი
ტრანსცენდენტური	ტრანსცენ დენ ტური
მანერითა	მა ნერ ითა
სტატიაში	სტა ტი აში
ცილის	ცილ ის
შედეგებიც	შე დეგ ებიც
იურისპრუდენციას	იურისპრუდენ ც იას
აღემატებოდეს	აღე მატებ ოდეს
აღდგენის	აღ დგენ ის
სახლთუხუცესი	სახლ თუხუცეს ი
მასალაა	მას ალ აა
მოლეკულის	მოლ ეკულ ის
ჯაზის	ჯა ზ ის
ბორნით	ბორ ნ ით
ჰიტლერის	ჰიტლერ ის
მეშვეობითაც	მეშვე ობით აც
ენათმეცნიერული	ენათმეცნიერ ული
კონსერვატორებს	კონსერვ ატორ ებს
შეძლებდნენ	შე ძლ ებდნენ
გლუვი	გლუ ვ ი
ნისლეულის	ნისლ ეულ ის
გადაწყვეტილებაში	გადაწყვე ტილ ებაში
არენაზე	ა რენ აზე
მინერალები	მინერა ლ ები
შეეცადეო	შეე ცად ეო
პატრიოტულმა	პატრი ოტ ულმა
გრანადა	გრან ად ა
ჯგუფებიდან	ჯგუფ ებიდან
ზედაპირიდან	ზედაპი რ იდან
მსხვერპლთა	მსხვერპლ თა
ასაღებად	ასა ღებ ად
მდებარეობისა	მდებარ ეობ ისა
დაქვრივებული	და ქვრივ ებული
მეჩეთად	მეჩ ეთ ად
მთავარსარდლად	მთავარსა რდლ ად
ცდილობდა	ცდი ლობ და
ღამურები	ღამ ურ ები
მოვალეობასაც	მოვალე ობ ასაც
ვარგისიანობის	ვარგის იანობის
სახეობებთან	სახე ობ ებთან
სათაური	სათა ურ ი
სივილ	სი ვილ
თვისებებსა	თვის ებ ებსა
აღიარებული	ა ღიარებ ული
პრემიერა	პრემიერ ა
ერლის	ერ ლ ის
გადაღმა	გადა ღ მა
გაწევრიანებული	გაწევრ იან ებული
ტექნოლოგიებით	ტექნ ოლოგი ებით
ფურცლის	ფურ ცლ ის
ვაკანსიაზე	ვა კან სიაზე
იმპერიასა	იმპერი ასა
სპორებით	ს პორ ებით
ჩინურმა	ჩინ ურ მა
კარებს	კარ ებს
დერეფანი	დერეფ ან ი
ქვირითს	ქ ვირ ითს
ნაშრომისა	ნა შრომ ისა
ასაკზე	ასა კ ზე
ამგვარმა	ამ გვარ მა
ოსმალეთი	ოსმა ლეთ ი
ტორპედოში	ტორ პედ ოში
სრიალის	ს რიალ ის
ციხესიმაგრეს	ციხე სიმაგრე ს
კლარკის	კლა რკ ის
დასასრულისა	დასა სრულ ისა
შინა	ში ნ ა
მონანიების	მონა ნი ების
პრეზიდენტია	პრეზიდენტ ია
განმტკიცებისა	გან მტკიცებ ისა
გარიცხეს	გა რიცხ ეს
შეტევები	შე ტევ ები
ვსაუბრობთ	ვ საუბრ ობთ
რომლისთვისაც	რომ ლ ისთვისაც
სამარაგო	სა მარაგ ო
თეატრით	თეატრ ით
შიშობდა	ში შ ობდა
ენებში	ენ ებში
წყაროებს	წყარ ო ებს
ფრენს	ფრენ ს
ძიუდო	ძი უდ ო
იაპონია	იაპონ ი ა
ადგილობრივები	ადგილ ობრივ ები
კომპრომისი	კომპრომ ისი
დაჰყვეს	და ჰყვ ეს
აჩქარებას	ა ჩქარ ებას
საკურთხეველში	სა კურთხევ ელში
აუქმებს	ა უქმ ებს
მოიცავდნენ	მოი ცავ დნენ
ლეიბორისტული	ლეიბორ ისტულ ი
შავკანიანების	შავკან იან ების
გადახლართული	გადა ხლართულ ი
თრგუნავს	თრ გუნ ავს
კონსტიტუციურ	კონს ტიტუცი ურ
როკის	რო კ ის
ავანგარდი	ავან გარდ ი
კალთიდან	კალ თ იდან
ქვაკუთხედი	ქვა კუთხედ ი
უეიდის	უე იდ ის
წყალზე	წყალ ზე
ბლოკადაში	ბლოკ ად აში
გადაუარა	გადა უარ ა
კონფესიის	კონ ფესი ის
განცალკევებულად	განცალკე ვ ებულად
ზაფხულიდან	ზაფხულ იდან
მიცვალების	მი ცვალ ების
საავტობუსო	საავტო ბუს ო
სერიალის	სერი ალ ის
ადამიანებთან	ადამ იან ებთან
თანამდებობიდან	თანამდე ბობ იდან
დაესაჯა	და ესაჯა
ფესტივალი	ფესტი ვალ ი
განხრით	გან ხრ ით
ექსტრემალური	ექსტრე მალ ური
მომენტისთვის	მო მენტ ისთვის
ჩუის	ჩუ ის
თანამედროვეობაში	თანამედრო ვე ობაში
მითქვამს	მი თქვამ ს
ჭამდნენ	ჭამ დნენ
გლეხურ	გლეხ ურ
ფლანგებიდან	ფლ ანგ ებიდან
აღბეჭდილია	აღ ბეჭდ ილია
ენტერპრაიზი	ენტ ერპრაიზ ი
სააკაძის	სააკა ძ ის
დაარსებულმა	და არსებ ულმა
აღებების	აღ ებ ების
დასამარცხებლად	დასა მარცხ ებლად
ფინალი	ფინალ ი
ბილიკზე	ბილ იკ ზე
შემუშავებაში	შე მუშავ ებაში
მტევნისებრ	მტევ ნ ისებრ
დამზადებას	და მზად ებას
მოკვდება	მო კვდ ება
ტერმინია	ტერმინ ია
მეცნიერებების	მეცნიერ ებ ების
გამოფენებს	გამო ფენ ებს
მამაცი	მამა ც ი
განთავისუფლება	გან თავისუფლ ება
ყაზბეგმა	ყაზ ბეგ მა
ფერადოვანი	ფერ ად ოვანი
კამერა	კა მერ ა
მემარჯვენეების	მე მარჯვ ენეების
ტორესის	ტო რეს ის
დაგროვილი	და გროვ ილი
სამსხმელო	სამ სხმელ ო
ავტომატურ	ავტო მატ ურ
დაუმარცხებელი	დაუ მარცხ ებელი
წესდებით	წეს დებ ით
ფილიპეს	ფილი პ ეს
მეცენატი	მეცე ნატ ი
ვაჟების	ვ აჟ ების
რესპუბლიკურ	რესპუბლი კ ურ
ტერასებიანი	ტერ ას ებიანი
სალექსო	სა ლექს ო
დავენპორტმა	დავენ პორტ მა
საილუსტრაციო	სა ილუსტრ აციო
საალყო	სა ალ ყო
ვანისა	ვან ისა
ფეხების	ფე ხ ების
ლოლუა	ლო ლუ ა
ტილოს	ტი ლო ს
ახდენდა	ახ დენ და
განკარგულება	გან კარგულ ება
ერთხელაც	ერთ ხელ აც
წვეროები	წვ ერ ოები
შეიტანოს	შე იტან ოს
არენაში	ა რენ აში
დაიხოცა	დაი ხოც ა
მიექცა	მი ექც ა
შესაძლებლობების	შესაძლ ებლობ ების
ფერმის	ფერ მ ის
ვაჟიშვილი	ვაჟ იშვილ ი
ინსტინქტი	ინსტი ნქტ ი
სიწმიდე	სი წმიდ ე
ავრცელებს	ა ვრცელ ებს
შორიდან	შორ იდან
უმასპინძლებს	უ მასპინძლ ებს
ძეგლში	ძე გლ ში
ლიკა	ლ იკ ა
ჰანოვერში	ჰანო ვერ ში
ფირები	ფირ ები
ერეოდნენ	ე რე ოდნენ
მიუღიათ	მი უღ იათ
იზრდება	ი ზრდ ება
ჰოლდინგი	ჰოლ დინგ ი
ისრაელს	ის რაელ ს
ფანჯრებით	ფან ჯრ ებით
ნაოჭები	ნა ოჭ ები
გადიდებული	გა დიდ ებული
იძულებით	იძულ ებით
აღმშენებლობის	აღმშენებლო ბ ის
კლასის	კლას ის
მეურნეობით	მეურნე ობ ით
აგებდნენ	ა გებ დნენ
მარკოს	მარ კ ოს
გაფართოებასთან	გა ფართო ებასთან
კობის	კ ობ ის
მაღალანაზღაურებადი	მაღალანა ზღაურ ებადი
პრობლემაც	პრობლე მ აც
რუსეთისათვის	რუს ეთ ისათვის
ლეიბლ	ლეი ბლ
აკაკი	აკ აკ ი
ინტერაქტიული	ინტერ აქტ იული
ლაბრადორის	ლაბრად ორ ის
გენეტიკის	გენ ეტიკ ის
უცხოელთა	უცხო ელ თა
აკავებდა	ა კავ ებდა
კავშირგაბმულობის	კავშირგა ბმულ ობის
სამკლაური	სამ კლა ური
მერაბ	მერა ბ
დებდა	დებ და
ფიზიკისა	ფიზ იკ ისა
სართავი	სა რთავ ი
წერტილზე	წერ ტილ ზე
ჰამბურგი	ჰამ ბურგ ი
ტაიმში	ტაი მ ში
ხაზოვანი	ხაზ ოვანი
უსამართლოდ	უსა მართლ ოდ
დააკავშირებს	დაა კავშირ ებს
აქაველთა	აქა ველ თა
დაუფლებოდა	და უფლებ ოდა
წმ	წმ
იბერთა	ი ბერ თა
გრენლანდიას	გრენ ლანდი ას
ურთიერთობა	ურთიერთ ობ ა
სიძველით	სი ძველ ით
პარფიუმერიასა	პარფი უმ ერიასა
უსაფრთხო	უსაფრთხ ო
ბირნი	ბირ ნი
ფერმების	ფერ მ ების
გაზვიადებული	გა ზვიად ებული
გვინეა	გვი ნე ა
აღწევდეს	ა ღწევ დეს
თმით	თმ ით
წარმოვიდგინოთ	წარმოვი დგინ ოთ
მუშაობაში	მუშა ობ აში
შთაგონება	შთა გონ ება
ორსავე	ორ სავე
ორგვარია	ორ გვარ ია
კერპები	კერ პ ები
ალასკა	ალას კ ა
ავტონომია	ავტო ნომი ა
ახალგაზრდულ	ახალ გაზრდ ულ
სნუპი	სნუ პ ი
სააგარაკო	საა გარაკ ო
ქვეყნებმა	ქვე ყნ ებმა
მოზიდვას	მო ზიდვ ას
გამომხატველია	გამომხატვ ელ ია
უნგრეთში	უნგრ ეთ ში
რუფუს	რუ ფუ ს
კაპიტელები	კაპიტ ელ ები
წოვის	წოვ ის
თემატურ	თემატ ურ
ლაზიკაში	ლაზ იკ აში
სტუდენტები	სტუდ ენტ ები
ყანა	ყ ან ა
ფარაონს	ფარა ონ ს
ღმერთებისა	ღმერთ ებისა
მკაცრმა	მკაცრ მა
ფიტარეთის	ფი ტარ ეთის
ფლორენცია	ფლორ ენცი ა
შემოსულ	შემო სულ
დედობრივი	დე დ ობრივი
დემოგრაფიული	დემო გრაფი ული
ისრაელში	ის რაელ ში
მონაწილეობით	მონაწილე ობ ით
დახმარებოდნენ	და ხმარებ ოდნენ
მილების	მილ ების
პროდუქტს	პროდუქტ ს
ალკოჰოლურ	ალკოჰოლ ურ
გაგრძელებას	გა გრძელებ ას
შტატებთან	შ ტატ ებთან
აღნიშნულ	აღ ნიშნულ
ორთქლი	ორთქლ ი
წინაპარს	წინა პარ ს
გარდაცვლილნი	გარდა ცვლილ ნი
თაღების	თა ღებ ის
დაკარგეს	და კარგ ეს
ლინგვისტურ	ლინგვ ისტ ურ
კოლხიდაში	კოლ ხ იდაში
კონვერტირებადი	კონვერ ტ ირებადი
ეგნატე	ეგ ნატ ე
ბასრი	ბას რ ი
მაგისტრატი	მაგისტრ ატი
ღელე	ღ ელ ე
ფაქტებს	ფ აქტ ებს
ბერგენში	ბერ გენ ში
განმარტებით	გან მარტ ებით
ახალშობილს	ახალ შობილ ს
ნაციონალისტთა	ნაციონალ ისტ თა
ხელნაწერის	ხელნა წერ ის
მარტოსული	მარტო სულ ი
მანიპულირება	მანიპული რ ება
ინდიანაპოლის	ინდი ან აპოლის
ხმარებაშია	ხმარებ აშია
დატვირთვის	დატვირთ ვ ის
მერაბიკოს	მერა ბ იკოს
მრევლს	მრ ევლ ს
ეთნონიმი	ეთნ ონიმ ი
შეინახა	შეი ნახ ა
ბოროტებას	ბოროტ ებას
წამყვანად	წამ ყვან ად
ბორჯომი	ბორჯ ომ ი
უწევდათ	უ წევ დათ
შემსრულებელთა	შემსრულ ებელ თა
გამოიყოფოდა	გამოი ყოფ ოდა
აზრით	აზრ ით
ისლამს	ის ლამ ს
სპიკერი	სპი კერ ი
ქალებიც	ქალ ებიც
