იტალიასთან	იტა ლი ასთან
ტევადობით	ტევად ობ ით
დრამერმა	დრა მერ მა
გამსახურდიას	გამსახურ დი ას
პოლონელების	პოლონ ელ ების
იტვირთა	ი ტვირთ ა
ხაზიდან	ხაზ იდან
გამოძახილია	გამო ძახ ილია
გზიდან	გზ იდან
მიიჩნევს	მიიჩნ ევ ს
მორი	მო რ ი
ხართ	ხარ თ
დარგებში	დარ გ ებში
პოლ	პოლ
პირუტყვი	პირუ ტყვ ი
ტემბრი	ტ ემბრ ი
შენადნობები	შენადნობ ები
რთავენ	რ თავ ენ
გაფორმება	გა ფორმ ება
გრაფიკული	გრაფ იკ ული
ტახტის	ტა ხტ ის
შეხედულებით	შეხედ ულ ებით
კლასიფიცირებას	კლას იფიცირ ებას
ელექტროენერგიის	ელექტრო ენერგი ის
ოლქების	ოლ ქ ების
ინჟინერთა	ინჟინ ერ თა
მურვან	მ ურ ვან
საღებავი	საღებ ავ ი
მეშლება	მე შლ ება
ანტონიონის	ანტ ონი ონის
ფქვილის	ფქ ვილ ის
ცრემლების	ცრემ ლ ების
ამოქმედდა	ა მოქმედ და
ბელაქანის	ბელ აქ ანის
დამატების	და მატებ ის
ჩანასახს	ჩანა სახ ს
უნიის	უ ნი ის
სახოკია	სახ ოკ ია
უილი	უ ილ ი
თვითმმართველი	თვით მმართველ ი
ოკუპირებული	ოკუპ ირებულ ი
ბატალიონის	ბატა ლიონ ის
დაძაბულობა	დაძაბ ულობ ა
გაწყვეტილი	გა წყვეტილ ი
დისციპლინაა	დისციპლინ აა
იარაღად	იარაღ ად
მარცხდებოდა	მარცხ დებ ოდა
წყალსადენი	წყალსა დენ ი
ძინის	ძინ ის
ირწყვებოდა	ი რწყვ ებოდა
ისწავლოს	ი სწავლ ოს
რაღა	რ აღა
ციტადელს	ციტად ელ ს
მარშრუტის	მარშრუტ ის
ლილი	ლი ლი
სრულდება	სრულდ ება
ციტადელი	ციტად ელ ი
ურთიერთკავშირს	ურთიერთ კავშირ ს
სიკვდილზე	სიკვდილ ზე
გათვალისწინებით	გა თვალისწინ ებით
ცვალებადია	ცვალ ებად ია
ლეონს	ლეონ ს
ლუთერანული	ლუთ ერ ანული
კარტოგრაფიულ	კარტ ოგრაფი ულ
შემცირებამ	შე მცირ ებამ
კიბეზე	კი ბე ზე
პატრიოტი	პატრი ოტ ი
წაიკითხა	წაი კითხ ა
ამბების	ამბ ების
მთავრებს	მთავრ ებს
დაშლისას	და შლ ისას
მინიმუმ	მინიმ უმ
განდიდებას	გან დიდ ებას
ხელოვნებაში	ხელოვნ ებაში
კლუბად	კლუბ ად
დასცინის	დას ცინ ის
მაჩვენებლებით	მაჩვენ ებლ ებით
თაფლის	თა ფლ ის
ექნება	ე ქნებ ა
ჰიპოთეტური	ჰიპოთე ტურ ი
თეიმურაზსა	თეიმუ რაზ სა
შეაჩერებდა	შეა ჩერ ებდა
ავადდებიან	ავად დ ებიან
აირჩევდნენ	აი რჩევ დნენ
სახეშეცვლილი	სახ ე შეცვლილი
ტაოში	ტა ოში
იშვიათ	იშვიათ
სამარხთა	სა მარხ თა
ეპილეფსია	ეპილე ფს ია
გამოსაცდელად	გამო საცდელ ად
კომუნისტთა	კომუნ ისტ თა
ადგენდნენ	ა დგენ დნენ
ჰორკრუქსების	ჰორკრუ ქს ების
ივერია	ივერ ი ა
მხატვრობა	მხატვ რობ ა
სალამური	სალამ ურ ი
სასიძო	სას იძ ო
საუკუნეს	სა უკუნე ს
ფართოდ	ფა რთ ოდ
მივიდნენ	მი ვიდ ნენ
ზრდასთან	ზრდ ასთან
შედეგით	შე დეგ ით
სიგარეტში	სიგა რეტ ში
გარანტი	გარ ანტი
გიზერ	გიზ ერ
მასისა	მა ს ისა
მიიტანოს	მი იტან ოს
მონაწილეს	მონაწილ ე ს
ნოველოს	ნო ველ ოს
პარტნიორობას	პარტნი ორ ობას
ენრიკე	ენ რიკ ე
პროცენტი	პროც ენტ ი
ლაციოს	ლ აციო ს
ფინალისტთა	ფინ ალისტ თა
ქორწინებისა	ქორწინ ებ ისა
ზონების	ზონ ების
ვაჭრებმა	ვაჭრ ებმა
საქმეებით	სა ქმე ებით
კულტი	კულტ ი
წარმოშობს	წარმო შობ ს
ფეოდალურ	ფეოდ ალ ურ
ბიუროკრატიული	ბიურო კრატიული
სათავეშიც	სათა ვე შიც
ანალოგს	ანა ლოგ ს
იმანაც	ი მან აც
უწყალობა	უ წყალ ობა
ჯობსმა	ჯ ობსმა
ხელებით	ხელ ებით
მიმართული	მი მართ ული
წვავენ	წვავ ენ
იერიში	იერ იშ ი
ანანურის	ან ან ურის
ჯვრისწერის	ჯვრის წერ ის
საფეხურად	ს აფეხურ ად
პრელუდია	პრე ლუ დია
შეგვხვდა	შეგვ ხვდ ა
მოპყრობას	მო პყრობ ას
ვირი	ვი რ ი
ოკეანე	ოკეან ე
ჩადგა	ჩა დგ ა
მუსიკოსად	მუსიკ ოს ად
აჯანყებამ	აჯანყ ებ ამ
ბროსეს	ბრ ოს ეს
მაგიისა	მაგი ისა
საკუთარმა	საკუთა რ მა
ფორმულის	ფორმ ულ ის
ადვილად	ადვილ ად
მიღმა	მ იღ მა
იროკეზები	იროკე ზ ები
სტუდიურმა	სტუდი ურმა
აყრია	ა ყრ ია
იუზეფ	ი უ ზეფ
გაათხოვა	გაა თხოვ ა
მიხეილის	მიხე ილ ის
ჟურნალმა	ჟურნ ალ მა
ღმერთთა	ღმერთ თა
ერისთავი	ერისთავ ი
დაარწმუნა	დაა რწმუნ ა
ყმაწვილს	ყმაწვილ ს
მიწათმოქმედება	მიწათმოქმედ ება
სიჩქარისა	სი ჩქარ ისა
მიწებად	მიწ ებად
გარნიზონს	გარნი ზონ ს
ყურადღება	ყურადღ ებ ა
ენერგის	ენერგი ს
იერემია	იერ ემ ია
ჩაწერილია	ჩა წერილ ია
ბონო	ბონ ო
ოდისევსი	ოდის ევს ი
იმდენ	იმ დენ
ანტანტის	ან ტანტ ის
ფულზე	ფ ულ ზე
არგონავტებმა	არგ ონავტ ებმა
ხმელეთიდან	ხმელეთ იდან
ბროსე	ბრ ოს ე
ორგანოებს	ორგან ო ებს
ვაი	ვა ი
ტემპერატურაა	ტემპერატურ აა
ჯავახიშვილი	ჯავახ იშვილ ი
საფრთხობელას	ს აფრთხო ბელას
ეშლი	ე შლ ი
რიცხვითი	რიცხვ ითი
გამარჯვებულ	გამარჯვ ებულ
წინადადებების	წინადა დებ ების
გააზრებას	გა აზრ ებას
იმერეთისა	იმერ ეთ ისა
ვოკალი	ვო კალ ი
ცხედარი	ცხე დარ ი
მსახიობად	მსახიობ ად
სერბთა	სერ ბ თა
ქიმია	ქიმ ია
ჩამოყალიბებისა	ჩამო ყალიბ ებისა
ტარას	ტარ ას
თავებს	თავ ებს
კონკურსის	კონკურს ის
მატლებით	მატ ლ ებით
დედათა	დედ ათა
მოცეკვავე	მოცეკვა ვე
განცდით	გან ცდ ით
პერმულ	პერ მულ
პლანეტას	პლანეტ ას
შემოყვანილი	შემო ყვან ილი
სეისმოლოგიის	სეისმ ოლოგი ის
ალექსანდრემ	ალექს ანდრე მ
იეზუიტები	იეზუ იტ ები
გადარჩენილი	გადა რჩენილ ი
მირონის	მირ ონის
ჩინელებს	ჩინ ელ ებს
ბიჭები	ბიჭ ები
გამხმარი	გამ ხმარ ი
წიგნისაგან	წიგნ ისაგან
საკითხთა	სა კითხ თა
მოკლულ	მოკლ ულ
მსოფლიომ	მსოფლი ო მ
მუხლის	მუხ ლ ის
ლეონარდომ	ლეონ არდ ომ
რობაქიძის	რობაქ იძ ის
ინგლისურენოვან	ინგლის ურ ენოვან
ქარიშხალმა	ქარიშ ხალ მა
ხასიათით	ხასიათ ით
მაკედონელი	მაკედონ ელ ი
საღამოზე	საღ ამო ზე
თანამეგობრობაში	თანა მეგობრ ობაში
კაბუკის	კა ბ უკის
არწმუნებდა	ა რწმუნ ებდა
მბრძანებლების	მბრძან ებლ ების
სამწვრთნელო	სა მწვრთნელ ო
გათხრისას	გა თხრ ისას
დაასაჩუქრა	დაასა ჩუქრ ა
ბინ	ბინ
სასა	სა ს ა
ოსმალთა	ოს მალ თა
აღმატებული	აღ მატ ებული
ღირსებას	ღირს ებ ას
კანოეებით	კანო ე ებით
მეჯიკის	მეჯ იკ ის
ზენიტში	ზე ნიტ ში
ქვეყნდებოდა	ქვეყნ დ ებოდა
ადიდებდა	ად იდ ებდა
იულიანე	იული ან ე
აღარ	ა ღარ
გამოჩნდებოდა	გამო ჩნდ ებოდა
სოფია	ს ოფი ა
ბაზელში	ბაზ ელ ში
გავუგზავნოთ	გავუ გზავნ ოთ
კლიპში	კლი პ ში
დინარს	დინარ ს
უსიტყვო	უ სიტყვ ო
ყაზბეგის	ყაზ ბეგ ის
ქართველთათვის	ქართვ ელ თათვის
ვიცნობთ	ვი ცნობ თ
მეურნეობაზე	მეურნე ობ აზე
სენატმა	ს ენატ მა
გადაღებები	გადა ღებ ები
ღონისძიებების	ღონის ძიებ ების
ბრალდებული	ბრალ დებულ ი
ორდენის	ორ დენ ის
ანშანისა	ან შან ისა
ფსიქოლოგი	ფსიქ ოლოგ ი
შეუდგენია	შეუ დგენ ია
აფრიკას	აფრიკ ას
ზაგრებში	ზა გრ ებში
სახარბიელო	სა ხარბიელ ო
მენსტრუალური	მე ნსტრუ ალური
კომედიური	კო მედი ური
ემოციურად	ემო ცი ურად
ახალშენი	ახალ შენ ი
ბეგლარბეგი	ბეგ ლარ ბეგი
სამეგრელოში	სამეგრ ელ ოში
აპირებდნენ	ა პირ ებდნენ
კვარტალი	კვარ ტალ ი
სვერის	ს ვერ ის
ქანდაკების	ქანდაკ ებ ის
მშობლებისთვის	მშობლ ებ ისთვის
ტურად	ტურ ად
რამეთუ	რამ ეთ უ
გამონაბოლქვი	გამონაბოლ ქვ ი
სელაპების	სელა პ ების
საკრებულო	საკრებუ ლო
გააფართოვეს	გაა ფართოვ ეს
კაზაკთა	კა ზაკ თა
გამცემი	გამ ცემ ი
ჰუგენოტებს	ჰუგენ ოტ ებს
ში	ში
დიპლომატიის	დიპლო მატ იის
იუბილესთან	იუბილე სთან
ტერნოპოლის	ტერ ნოპოლ ის
გააკვირვა	გაა კვირვ ა
ჩასვეს	ჩას ვ ეს
პლუტარქე	პლუტ არქე
გულდასმით	გულდას მ ით
ახალციხელი	ახალ ციხ ელი
ელია	ელ ია
ნეტარი	ნე ტარ ი
აღმერთებდა	ა ღმერთ ებდა
კოლექციის	კო ლექცი ის
უცნაურ	უცნა ურ
ბრაუნშვაიგში	ბრა უნშვაიგ ში
ნილოსში	ნი ლოს ში
საიტ	სა იტ
რითმები	რითმ ები
ბაფთა	ბა ფ თა
პიონერად	პიონ ერ ად
ადანაშაულებს	ა დანაშაულ ებს
საცხენოსნო	სა ცხენ ოსნო
ედიქტი	ედიქტ ი
არქიტექტურული	არქიტექ ტურ ული
ნაჰუას	ნა ჰ უას
კანიონს	კან იონ ს
პისტონსის	პისტონ სი ს
გულისთვის	გულ ისთვის
თასზე	თა ს ზე
სახელმძღვანელოს	სახელმძღვანე ლო ს
წვრთნიდა	წვრთნ იდა
წარმოუდგენლად	წარმო უდგენ ლად
კეთილი	კეთილ ი
ლუი	ლუ ი
ურჩი	უ რჩი
კუნძულად	კუნძულ ად
ავენიუ	ავენი უ
ბაქანია	ბაქ ან ია
მოსპობა	მოს პ ობა
ხედი	ხედ ი
ინკები	ინ კ ები
ნიდერლანდის	ნიდერ ლანდ ის
დაშლით	და შლ ით
დამაჯერებ	დამა ჯერ ებ
ერთიანდებიან	ერთიან დებ იან
ნაირგვარი	ნაირ გვარ ი
გზაზეა	გზა ზეა
ეხლანდელი	ე ხლ ანდელი
სააგენტო	საა გენტო
ყმები	ყმ ები
პატივით	პატი ვ ით
მგზნებარე	მ გზნ ებარე
ცენტრსა	ცენტრ სა
მასწავლებლებს	მასწავლებლ ებს
ჩემპიონატებში	ჩემპიონ ატ ებში
ადგილებით	ადგილ ებით
თემო	თ ემ ო
დაპროექტების	და პროექტ ების
ლოპესი	ლოპ ეს ი
ოჯახებად	ოჯახ ებად
სთავაზობენ	სთავაზ ობ ენ
გვიანი	გვიან ი
პატიოსნება	პატი ოსნ ება
სწამს	ს წამ ს
ასოციაციაში	ასოცი აცი აში
ჯავახეთში	ჯავახ ეთ ში
გმირულად	გმირ ულად
ხრამი	ხ რამ ი
ტიციან	ტიც იან
ბჰუტო	ბჰუ ტო
მოტივს	მო ტივ ს
პროფესიები	პროფ ესი ები
სუფიქსები	სუფ იქს ები
იქით	იქ ით
არასტაბილური	არა სტაბილურ ი
თვისებებს	თვის ებ ებს
თავკაცობდა	თავ კაც ობდა
ცნობამ	ცნობ ამ
აჰა	ა ჰ ა
გამანაწილებელი	გამა ნაწილ ებელი
ჭიანჭველებს	ჭიანჭ ველ ებს
ტაშკენტის	ტაშკ ენტ ის
ხიდებს	ხ იდ ებს
სახელითა	სა ხელ ითა
უძღვნიან	უ ძღვნ იან
დაამზადა	დაა მზად ა
გაეროში	გაე რო ში
ჰაჯის	ჰა ჯ ის
გამოცხადებულია	გამო ცხად ებულია
ტაოს	ტა ოს
ვერდი	ვერ დ ი
ქირურგიული	ქირურგ ი ული
ვიტაუტასმა	ვიტაუტ ას მა
რვაჯერ	რ ვა ჯერ
ტაიმის	ტაიმ ის
ყველგანაა	ყვ ელ განაა
ერკვეოდა	ე რკვ ეოდა
თურქმენეთმა	თურქმე ნეთ მა
საზარელი	სა ზარ ელი
ფუნდამენტურ	ფუნდა მენტ ურ
ფენებში	ფენ ებში
სალხინოს	სალხ ინო ს
სფეროსებრი	სფერო სებრი
კელი	კე ლი
სიკაშკაშის	სი კაშკაშ ის
ამადეო	ამა დე ო
დაწვის	და წვ ის
კოდის	კო დ ის
მოთამაშეებთან	მოთამაშ ე ებთან
დამრეცი	დამრ ეც ი
განტოლება	განტოლ ებ ა
გადანაცვლების	გადა ნაცვლ ების
მანუელ	მან უელ
ათენელები	ათე ნელ ები
ქვეყანა	ქვეყა ნა
რეიუნიონის	რეიუნ იონ ის
გულშემატკივართა	გულშემატკივ არ თა
დამტკიცდა	და მტკიც და
გულისხმობენ	გულისხმ ობენ
მანილას	მან ილ ას
ნავებს	ნავ ებს
ანგელოზმა	ანგელოზ მა
ბარეტის	ბა რეტ ის
ოროროს	ორ ორ ოს
მიზეზებს	მიზეზ ებს
აბაშიძეს	აბაში ძ ეს
გადამამუშავებელ	გადამამუშავ ებელ
მთავრის	მთავრ ის
ბეწვზე	ბე წვ ზე
მაქსიმილიანის	მაქსიმ ილ იანის
სი	სი
ანტიგონე	ანტი გონ ე
მოშორება	მო შორ ება
ტოვებენ	ტოვ ებენ
კომუნისტების	კომუნ ისტ ების
ვეშაპის	ვ ეშაპ ის
დადგენილი	და დგენილ ი
წრფელი	წრფ ელი
გრიგორი	გრი გორ ი
აღმოსავლეთითაა	აღმო სავლეთ ითაა
საზოგადოებისთვის	საზოგად ო ებისთვის
კუნძულებისაგან	კუნძულ ებ ისაგან
გიტარისტმა	გიტარ ისტ მა
გადახრის	გადა ხრ ის
ედი	ედ ი
რეგიონალური	რეგიონ ალური
სიმონე	ს იმონ ე
დაწესებულებაა	დაწეს ებულებ აა
ნიდერლანდელი	ნიდერ ლანდ ელი
სოლომონ	სოლო მონ
კენკრით	კენ კრ ით
მერაბიშვილის	მერაბ იშვილ ის
სტილისა	ს ტილ ისა
კათოლიკების	კათოლ იკ ების
გაემზადა	გაე მზად ა
თოჯინური	თო ჯინ ური
რევოლუციონერ	რევოლუციო ნერ
ჩეხეთში	ჩე ხეთ ში
ანგარიშები	ანგარიშ ები
მაშინდელმა	მაში ნდელ მა
გამარტივება	გა მარტივ ება
ჩამოსულები	ჩამო სულ ები
წაკითხვის	წა კითხვ ის
სინდისი	ს ინდის ი
რძე	რძ ე
ჯალალედინის	ჯალალ ედინ ის
კრისტოფ	კრისტ ოფ
ორიდან	ორ იდან
სხეულებს	სხეულ ებს
ღირსეული	ღირს ეულ ი
ილორის	ი ლორ ის
ხელმოკლე	ხელ მოკლე
შესასვლელს	შე სასვლელ ს
დავიდა	და ვიდ ა
სცენებში	სცენ ებში
გარნიზონი	გარნი ზონ ი
ფრანგთა	ფრან გ თა
აეშენებინა	აეშენ ებინა
ყოფითი	ყოფ ითი
მითვისება	მითვის ებ ა
ჩეხოსლოვაკია	ჩეხო სლოვაკ ია
არჩევით	ა რჩევ ით
ირწმუნა	ი რწმუნ ა
ფეოდალის	ფეოდ ალ ის
საქმესთან	სა ქმე სთან
ოტონის	ო ტონ ის
აბრაჰამ	ა ბრა ჰამ
სამსაფეხურიანი	სამს აფეხურ იანი
სკრის	ს კრ ის
ფლინტი	ფ ლინ ტი
შენაერთს	შენა ერთ ს
ნოველა	ნო ველ ა
ბავშვებსაც	ბავშვ ებსაც
დემოგრაფიის	დემ ოგრაფი ის
ოიდიპოსი	ოიდიპ ოს ი
პატრონები	პატრონ ები
უჩნდება	უ ჩნდ ება
სავოიის	სა ვო იის
ღონისძიება	ღონის ძიებ ა
ტაძრისათვის	ტა ძრ ისათვის
გამოცხადდება	გამო ცხად დება
ტყის	ტყ ის
ისმისო	ის მის ო
ემუშავა	ე მუშავ ა
აშლილობა	ა შლილ ობა
ძვლის	ძ ვლ ის
გაბრიელის	გაბ რიელ ის
აღსანიშნად	აღსა ნიშნ ად
ყიზილბაშებმა	ყიზილ ბაშ ებმა
ლაზერის	ლაზ ერ ის
ალენ	ა ლ ენ
გასცლოდა	გა სც ლოდა
ენტონის	ენ ტონ ის
მთავრობისთვის	მთავრობ ისთვის
ცხადყო	ცხად ყო
გურიელების	გუ რიელ ების
მუქი	მ უქ ი
სტუმრობის	სტუმრ ობ ის
ინტერთან	ინტერ თან
საკუთრებას	საკუთრ ებ ას
უხვადაა	უხ ვ ადაა
წინსვლას	წინ სვლ ას
თავადი	თა ვად ი
სწავლობს	სწავლ ობ ს
გვიჩვენებს	გვი ჩვენ ებს
დაზვერვა	დაზვერვ ა
ჯერარდმა	ჯერ არდ მა
დამარცხება	და მარცხ ება
პეინს	პე ინ ს
უსწორდება	უსწორ დებ ა
მისეული	მის ეული
სოკოს	სო კო ს
ბუბლეის	ბუ ბლე ის
ხვრელს	ხვრ ელ ს
ჰოლის	ჰოლ ის
ქვას	ქვ ას
ფარავენ	ფარ ავენ
გამოგზავნილ	გამო გზავნ ილ
გაცვლა	გა ცვლ ა
მიეძღვნა	მიე ძღვნ ა
მეფისაგან	მე ფ ისაგან
სამსართულიანი	სამსა რთულ იანი
სტრატოვულკანი	სტრატო ვულკან ი
ლოიდი	ლო იდ ი
შთამომავლებად	შთამო მავლ ებად
მაისისთვის	მა ის ისთვის
კრებდა	კრებ და
ნაწარმოებს	ნაწარმო ებ ს
ემოციურობა	ემო ცი ურობა
მესხები	მეს ხ ები
წამოწეული	წამო წ ეული
ჩენდლერის	ჩენდ ლერ ის
მოკრძალებულ	მო კრძალებულ
ისვრიან	ის ვრ იან
მიშა	მი შ ა
გიმნაზიას	გიმნაზი ას
განიხილავენ	განი ხილ ავენ
ყურეში	ყურე ში
თუ	თუ
ტენოჩტიტლანი	ტენოჩტიტ ლან ი
აალტოს	ა ალტ ოს
რეაქცია	რე აქცი ა
სამწევროვანი	სამ წევრ ოვანი
აღმოჩნდეს	აღმო ჩნდ ეს
დიზრაელი	დიზ რაელ ი
აღიარებს	ა ღიარ ებს
შვებულება	შვ ებულ ება
ტირენიის	ტირ ენ იის
უჯრედული	უჯრედ ული
ოჯიბვე	ოჯიბ ვე
ნაჩვენები	ნა ჩვენ ები
შეძრა	შე ძრ ა
თავისუფლებაზე	თავისუფლ ებაზე
გადაბმული	გადა ბმულ ი
შეუდარებელი	შეუ დარ ებელი
ენებად	ენ ებ ად
სოროებში	ს ორო ებში
გლდანისკენ	გლ დან ისკენ
საზღვრისპირა	სა ზღვრ ისპირა
ველზე	ველ ზე
სანაპირო	სანაპირ ო
წამოწყება	წამო წყებ ა
აქვეყნებენ	ა ქვეყნ ებენ
ზღაპრები	ზღა პრ ები
ზოგიერთში	ზოგი ერთ ში
ენობრივი	ენ ობრივ ი
შეამჩნიეს	შე ამჩნ იეს
ცნობდნენ	ცნობ დნენ
ლეგალურ	ლეგ ალურ
დაენიშნა	დაე ნიშნ ა
დაპყრობამ	და პყრობ ამ
გადახალისების	გადა ხალის ების
ქრომოსომების	ქრომოს ომ ების
ანტონიუს	ანტონი უს
შემზარავი	შემ ზარ ავი
მანტიიდან	მ ანტი იდან
საარქივო	სა არქი ვო
არხებით	ა რხ ებით
თვალების	თვალ ების
მიემგზავრებიან	მიე მგზავრ ებიან
გაერთიანებულ	გა ერთიან ებულ
კანონზომიერებებს	კანონ ზომიერ ებებს
მოლაპარაკებებში	მო ლაპარაკ ებებში
შუამავალი	შუა მავალ ი
მისწრაფებებს	მისწრაფ ებ ებს
მეთაური	მეთაურ ი
მთავრობასა	მთავრობ ასა
ოცდასამი	ოცდა სამ ი
თავშესაფარში	თავშესა ფარ ში
პრო	პ რო
ელით	ელ ით
ციალი	ცი ალ ი
კათედრალური	კათედ რალ ური
ტენდენციების	ტენდ ენცი ების
ლითონისაგან	ლით ონ ისაგან
მაღალგანვითარებული	მაღალგან ვითარ ებული
იტანჯებოდა	ი ტანჯ ებოდა
ნაწილებსა	ნაწილ ებ სა
დახრილი	და ხრილ ი
რომელიც	რომ ელ იც
შებრძოლებოდა	შე ბრძოლ ებოდა
სახასიათო	სა ხასიათ ო
ფაღავა	ფაღ ავ ა
საზოგადოებათა	საზოგად ო ებათა
ცვლილების	ცვლილ ებ ის
ნიკი	ნიკ ი
მთლიანობა	მთლი ან ობა
რიტუალებში	რიტუალ ებში
ჰკვეთს	ჰ კვეთ ს
მატერიკის	მატერ იკ ის
ბოლესლავ	ბოლეს ლავ
მშვიდობიან	მშვიდობ იან
ბორის	ბორ ის
ჩეროკების	ჩერ ოკ ების
დადგენის	და დგენ ის
ნიმუშით	ნიმუშ ით
საყვირები	სა ყვირ ები
შეასრულოს	შეა სრულ ოს
გამოყვანის	გამო ყვან ის
განუყრელად	განუ ყრელ ად
შარდენი	შარ დენ ი
დაწესება	და წეს ება
პრობლემად	პრობლემ ად
მავრიტანიის	მავრი ტან იის
ოქტომბერში	ოქტომ ბერ ში
გრაფიკაზე	გრაფ იკ აზე
მაკედონელებს	მაკედონ ელ ებს
გაზეთისთვის	გაზ ეთ ისთვის
მაჭავარიანი	მაჭა ვარ იანი
ექსპერიმენტი	ექსპერი მენტ ი
ზაქათის	ზაქ ათ ის
სამღვდელოებამ	სამღვდ ელო ებამ
შინაგანი	შინა გან ი
უძლებს	უ ძლ ებს
მყინვარზე	მყინვარ ზე
ფრთხილად	ფრთხილ ად
მედისონ	მედი სონ
დაშორებული	და შორ ებული
სალაროს	სა ლარ ოს
ტოსკანას	ტოს კან ას
აუზებში	ა უზ ებში
ორატორია	ორ ატორ ია
ელისი	ელი ს ი
კირკ	კირ კ
კუბის	კუბ ის
მოწყობილობაა	მოწყობ ილობ აა
იერარქიული	იერ არქი ული
გადაცემულ	გადა ცემ ულ
თანაშემწედ	თანაშემ წე დ
ტელეარხ	ტელე არხ
ჩეჩენი	ჩე ჩენ ი
სადღეღამისო	სა დღეღამ ისო
იქ	იქ
პროდიუსერებმა	პროდიუსერ ებმა
სენეგალში	სენე გალ ში
პროვინციებიდან	პროვინ ცი ებიდან
ნაპირიდან	ნაპირ იდან
საკონტინენტთაშორისო	სა კონტინენტ თაშორისო
სპექტრით	სპექტ რ ით
აკვირდებოდნენ	აკვირდ ებ ოდნენ
აეროდრომი	აერ ოდრომ ი
ინდიელები	ინდი ელ ები
ჩადენილი	ჩა დენ ილი
შერთო	შე რთ ო
ოსკარ	ოს კარ
სამმა	სა მ მა
ბერები	ბერ ები
ფერმერები	ფერ მერ ები
ზომას	ზომ ას
მოკვეთის	მო კვეთ ის
მომრგვალებული	მომრგ ვალ ებული
ცდა	ც და
შესრულება	შე სრულებ ა
დათმობილი	და თმობ ილი
ისარგებლა	ის არგებლ ა
ნაწილობრივ	ნაწილ ობრივ
თბილისმა	თბილ ის მა
ვაჭრობასა	ვაჭრ ობ ასა
იაკუბ	ია კუბ
დანებების	და ნებ ების
ვანდალები	ვანდ ალ ები
სამეფოებში	სამე ფო ებში
სვამენ	სვამ ენ
ნაადრევად	ნაად რევ ად
ხანძარმა	ხანძ არ მა
სალი	სა ლი
კორპუსის	კორპუ ს ის
ბოსნიელ	ბოს ნიელ
იმისგან	ი მის გან
საგვარეულოდან	საგვარ ეულ ოდან
გილმორი	გილ მორ ი
დიდებულ	დიდ ებულ
მილიარდამდე	მილი არდ ამდე
კარლუშ	კარ ლ უშ
გაგება	გა გებ ა
პიტერის	პიტერ ის
მოიყვანა	მო იყვან ა
გადაურჩა	გადაურ ჩ ა
უილისი	უ ილ ისი
უელსის	უელ ს ის
ორს	ორ ს
გაუგზავნა	გაუ გზავნ ა
შეთავაზებით	შე თავაზ ებით
კრის	კრ ის
გასავლელად	გასა ვლელ ად
მასაში	მა ს აში
ძლიერდებოდა	ძლიერ დ ებოდა
ჯეიმს	ჯე იმ ს
მორფი	მორფ ი
ადგილასაა	ადგილ ასაა
უხეშ	უხ ეშ
ფასდება	ფას დება
გიტარების	გიტარ ების
კრისტოფერი	კრისტო ფერ ი
მკვრივია	მკვრივ ია
აბაი	ა ბა ი
ავგუსტუსმა	ავგუსტ უს მა
კოლუმბიას	კოლუმბ ი ას
გლახაკებს	გლახა კ ებს
სახედ	სა ხ ედ
გუმბათისებრი	გუმბათ ისებრი
ხედვის	ხედვ ის
შეიარაღებაზე	შე იარაღ ებაზე
მედიჩი	მედი ჩ ი
ალპინიზმის	ალპინ იზმ ის
გაჭირვებას	გაჭირ ვ ებას
ზრუნვა	ზრუნ ვ ა
ნსდაპ	ნს და პ
პროგიმნაზია	პრო გიმნაზი ა
აღორძინებისა	აღორ ძინ ებისა
ალბომიდან	ალბ ომ იდან
რაინი	რა ინ ი
ვერაფერი	ვერა ფერ ი
ბიზანტიელები	ბიზანტი ელ ები
გამოკვეთა	გამო კვეთ ა
დაიმკვიდრა	დაი მკვიდრ ა
იპარება	ი პარ ება
ლეიდენის	ლეი დენ ის
მზისა	მ ზ ისა
ეკლესიისგან	ეკლესი ისგან
მაფიის	მა ფი ის
ცხოვრებაში	ცხოვრებ აში
იზრუნებდა	ი ზრუნ ებდა
თავისით	თა ვის ით
შენდა	შენ და
დეკრეტი	დეკ რეტ ი
ვაჭრობისათვის	ვაჭრ ობ ისათვის
ჩარკვიანი	ჩა რკვ იანი
ჰოლი	ჰოლ ი
გაცემის	გა ცემ ის
ნიკოს	ნიკ ოს
მი	მი
აქტი	აქტ ი
ბანაბას	ბან აბა ს
მიზანმიმართულად	მიზანმიმა რთულ ად
ჯაზისა	ჯა ზ ისა
მხარისა	მ ხარ ისა
კათოლიკები	კათოლ იკ ები
პარტნიორების	პარტნი ორ ების
შეესრულებინა	შეე სრულ ებინა
იკურთხა	ი კურთხ ა
მონაკვეთებში	მონა კვეთ ებში
ფილოსოფიაში	ფილოსოფ ი აში
ასოთი	ას ოთ ი
ტირაჟი	ტირ აჟ ი
გაბნეულ	გაბ ნეულ
ერთადერთი	ერთად ერთ ი
სტრასბურგის	სტრას ბურგ ის
ტორტი	ტორ ტი
შარვაშიძეთა	შარ ვაშ იძეთა
გამოიყო	გამო იყო
უცხო	უცხო
უზრუნველყოფის	უზრუნველ ყო ფის
შურისძიებას	შურის ძიებ ას
გამოეცათ	გამო ეცა თ
შეუცვლელად	შეუ ცვლელ ად
ბრძოლებს	ბრძოლ ებს
მუზეუმისთვის	მუზეუმ ისთვის
ქცეულ	ქცეულ
